Generation: 168 | maxFitness: 3,670536 | maxFitnessGen: 1,658692 | maxFitnessGenBuf: 1,677905
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 13 | Name: car 8 | Brain Type: RandomParents | Fitness: 1,484324 | BrainData : 1,002851;1,422631;3,702138;0,4055555;3,066954;-0,5704871;4,271374;0,4641778;-0,2346122;-1,24978;-3,81141;-4,129164;3,320433;-2,591289;3,582274;-3,275254;4,677075;1,57407;-1,307043;-4,454991;-0,7291182;0,06430695;-1,092642;1,354024;-2,743171;3,960927
Index: 14 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,475933 | BrainData : 0,9539576;1,456675;3,674402;0,4080429;3,102145;-0,5418725;4,319447;0,3897895;-0,2005795;-1,167371;-3,847859;-4,1562;3,38196;-2,575598;3,631861;-3,239478;4,811542;1,606816;-1,178215;-4,432873;-0,8369018;0,06053741;-1,137464;1,330191;-2,747663;3,932062
Index: 15 | Name: car 32 | Brain Type: TOP2 | Fitness: 1,47463 | BrainData : 0,9985414;1,422631;3,674402;0,4080429;3,058057;-0,5259333;4,297894;0,4252696;-0,2732782;-1,195663;-3,862911;-4,125171;3,38196;-2,591875;3,627251;-3,263299;4,763486;1,571083;-1,175658;-4,446339;-0,7874299;0,0812142;-1,059911;1,323556;-2,758738;3,953121
Index: 16 | Name: car 29 | Brain Type: TOP2 | Fitness: 1,473782 | BrainData : 0,9600587;1,39241;3,711713;0,4080429;3,102145;-0,5259333;4,32044;0,4012446;-0,2105303;-1,180774;-3,89234;-4,094626;3,404105;-2,549881;3,631861;-3,236989;4,754804;1,571083;-1,191397;-4,446339;-0,86154;0,07554424;-1,108949;1,305632;-2,769822;3,932062
Index: 17 | Name: car 36 | Brain Type: TOP2 | Fitness: 1,471302 | BrainData : 0,9985414;1,422631;3,673957;0,4080429;3,130019;-0,5259333;4,273751;0,3897895;-0,192522;-1,167371;-3,894385;-4,171957;3,360104;-2,531322;3,631861;-3,273052;4,734994;1,571083;-1,175658;-4,446339;-0,8117723;0,0812142;-1,108949;1,31557;-2,769822;3,959226
Index: 18 | Name: car 44 | Brain Type: TOP2 | Fitness: 1,46842 | BrainData : 1,041843;1,422631;3,647247;0,4080429;3,102145;-0,5259333;4,319447;0,3897895;-0,2831616;-1,167371;-3,857313;-4,126153;3,38196;-2,549231;3,612506;-3,273052;4,763486;1,580256;-1,175658;-4,446339;-0,8117723;0,06698276;-1,108949;1,329457;-2,753134;3,933144
Index: 19 | Name: car 28 | Brain Type: TOP2 | Fitness: 1,467649 | BrainData : 0,9714671;1,422631;3,674402;0,4080429;3,102145;-0,4936352;4,319447;0,3964422;-0,2120393;-1,182426;-3,847859;-4,126153;3,333667;-2,575598;3,626856;-3,275818;4,763486;1,580435;-1,175658;-4,446339;-0,8558869;0,1208311;-1,108949;1,333546;-2,722866;3,894525
Index: 20 | Name: car 42 | Brain Type: TOP2 | Fitness: 1,433095 | BrainData : 0,9985414;1,38956;3,674402;0,4080429;3,102145;-0,5259333;4,319447;0,3576632;-0,2702777;-1,180945;-3,859373;-4,126153;3,342539;-2,563428;3,631861;-3,268552;4,798388;1,571083;-1,206073;-4,446339;-0,795666;0,09877812;-1,108949;1,333546;-2,794794;3,932062
Index: 21 | Name: car 46 | Brain Type: TOP2 | Fitness: 1,369421 | BrainData : 0,999208;1,422631;3,636582;0,4080429;3,102145;-0,5266268;4,272014;0,3897895;-0,2402174;-1,167371;-3,822253;-4,140382;3,381229;-2,587619;3,631861;-3,273052;4,7974;1,555441;-1,142797;-4,446339;-0,8117723;0,0812142;-1,079654;1,368827;-2,769822;3,932062
Index: 22 | Name: car 9 | Brain Type: RandomParents | Fitness: 1,297367 | BrainData : 0,9985414;1,431358;3,683083;0,4215491;3,011932;-0,5700389;4,334702;0,4044626;-0,2154793;-1,200911;-3,809943;-4,090351;3,346989;-2,59724;3,59615;-3,29833;4,663923;1,597389;-1,236195;-4,414551;-0,7288879;0,1104615;-1,12987;1,342012;-2,76382;3,919804
Index: 23 | Name: car 41 | Brain Type: TOP2 | Fitness: 1,178636 | BrainData : 0,9985414;1,422631;3,642335;0,4080429;3,106739;-0,4893721;4,336877;0,4161586;-0,2402174;-1,140213;-3,847859;-4,09656;3,427773;-2,575598;3,631861;-3,273052;4,7532;1,600793;-1,175658;-4,415039;-0,8117723;0,09015976;-1,060782;1,368589;-2,769822;3,932062
Index: 24 | Name: car 47 | Brain Type: TOP2 | Fitness: 1,103788 | BrainData : 0,9985414;1,468539;3,674402;0,3733144;3,078418;-0,5259333;4,319447;0,3897895;-0,2402174;-1,121928;-3,881213;-4,114921;3,38196;-2,531808;3,681814;-3,273052;4,763486;1,571083;-1,191515;-4,446339;-0,843774;0,1302393;-1,151892;1,333546;-2,760859;3,932062
Index: 25 | Name: car 7 | Brain Type: RandomParents | Fitness: 1,095306 | BrainData : 1,059074;1,457017;3,643472;0,4542806;3,011932;-0,5258019;4,290101;0,4260135;-0,1675036;-1,152214;-3,87608;-4,10911;3,337919;-2,632689;3,557033;-3,266953;4,658453;1,613496;-1,22617;-4,433804;-0,7367132;0,06408302;-1,136211;1,320775;-2,731236;3,904029
