Generation: 957 | maxFitness: 3,670536 | maxFitnessGen: 2,020797 | maxFitnessGenBuf: 2,441903
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 13 | Name: car 1 | Brain Type: RandomParents | Fitness: 2,212438 | BrainData : -2,362525;0,1687566;-2,009741;0,02268324;-3,346223;4,408513;-0,02928744;3,512273;2,154523;4,520031;0,9251152;-4,76437;-4,464007;2,245685;-2,413405;-3,599016;-0,3001697;-4,394074;4,500467;-0,4504791;-3,929559;-3,187874;2,249129;-2,210453;-1,832526;4,153633
Index: 14 | Name: car 43 | Brain Type: TOP2 | Fitness: 2,190763 | BrainData : -2,395693;0,2020515;-2,079547;0,02222941;-3,348127;4,298252;0,05432358;3,493962;2,166317;4,597853;0,9227366;-4,70907;-4,39119;2,146949;-2,382633;-3,602104;-0,3058736;-4,444398;4,524184;-0,4531809;-3,923839;-3,227189;2,247524;-2,26576;-1,864294;4,227299
Index: 15 | Name: car 42 | Brain Type: TOP2 | Fitness: 2,182901 | BrainData : -2,405075;0,2007563;-2,033697;-0,01640121;-3,365131;4,300243;0,04090169;3,498985;2,161959;4,577683;0,9532791;-4,70907;-4,352399;2,146949;-2,406174;-3,625093;-0,2742113;-4,444398;4,524184;-0,4257681;-3,968812;-3,271744;2,247524;-2,261966;-1,864384;4,145338
Index: 16 | Name: car 31 | Brain Type: TOP2 | Fitness: 2,178751 | BrainData : -2,434736;0,2007563;-2,000707;0,02222941;-3,328624;4,300243;0,01484654;3,495043;2,166317;4,577683;0,9542565;-4,745352;-4,3479;2,111108;-2,357226;-3,6133;-0,3058736;-4,444398;4,524184;-0,469104;-3,885983;-3,258415;2,262957;-2,279162;-1,833198;4,188775
Index: 17 | Name: car 28 | Brain Type: TOP2 | Fitness: 2,147133 | BrainData : -2,423682;0,2418752;-2,032553;0,02222941;-3,322551;4,300243;0,04090169;3,495043;2,166317;4,60654;0,9227366;-4,70907;-4,378161;2,146949;-2,382633;-3,625093;-0,3058736;-4,407339;4,534483;-0,4257681;-3,923839;-3,258415;2,292072;-2,310844;-1,82624;4,236739
Index: 18 | Name: car 39 | Brain Type: TOP2 | Fitness: 2,098268 | BrainData : -2,356055;0,2166305;-2,032717;0,02222941;-3,322551;4,27192;0,04090169;3,495043;2,212372;4,577683;0,9071891;-4,70907;-4,426511;2,16853;-2,419601;-3,625093;-0,3058736;-4,444398;4,524184;-0,4515094;-3,923839;-3,258415;2,237028;-2,218865;-1,893614;4,188775
Index: 19 | Name: car 41 | Brain Type: TOP2 | Fitness: 2,026356 | BrainData : -2,405075;0,2007563;-2,07476;0,02222941;-3,322551;4,300243;0,04090169;3,530297;2,123908;4,603244;0,9629819;-4,712392;-4,393772;2,146949;-2,382633;-3,625093;-0,2893758;-4,476049;4,511022;-0,4190378;-3,967551;-3,258415;2,218104;-2,216019;-1,855149;4,188775
Index: 20 | Name: car 11 | Brain Type: RandomParents | Fitness: 2,010601 | BrainData : -2,340598;0,1671057;-2,039461;0,0357658;-3,367465;4,400709;-0,01396031;3,458082;2,133546;4,639682;0,9788651;-4,744744;-4,393382;2,231663;-2,351549;-3,553712;-0,3014693;-4,427443;4,564785;-0,360843;-3,933285;-3,280593;2,234586;-2,250175;-1,865834;4,113399
Index: 21 | Name: car 10 | Brain Type: RandomParents | Fitness: 2,003917 | BrainData : -2,389147;0,1789817;-2,00496;0,05756107;-3,308877;4,318991;-0,04455227;3,446273;2,142341;4,590341;0,8593683;-4,839237;-4,383509;2,24852;-2,434896;-3,566119;-0,2180001;-4,406481;4,505704;-0,3834896;-3,940821;-3,284596;2,18638;-2,258035;-1,85782;4,153633
Index: 22 | Name: car 2 | Brain Type: RandomParents | Fitness: 1,946417 | BrainData : -2,411764;0,1347148;-1,959594;-0,002070446;-3,296981;4,318991;-0,003972612;3,459294;2,134978;4,632522;0,9332464;-4,769929;-4,375289;2,20198;-2,39453;-3,621678;-0,3152698;-4,395497;4,567507;-0,4570994;-3,926789;-3,318217;2,247524;-2,237568;-1,836022;4,055741
Index: 23 | Name: car 37 | Brain Type: TOP2 | Fitness: 1,913387 | BrainData : -2,405075;0,2104141;-2,040288;0,02222941;-3,322551;4,257742;0,0682072;3,495043;2,186002;4,574227;0,8863909;-4,737417;-4,381319;2,146949;-2,363112;-3,625093;-0,3058736;-4,476055;4,524184;-0,4331302;-3,887181;-3,258415;2,247524;-2,261966;-1,902107;4,188775
Index: 24 | Name: car 33 | Brain Type: TOP2 | Fitness: 1,912254 | BrainData : -2,41513;0,2274508;-2,032553;0,02222941;-3,345883;4,300243;0,04090169;3,455206;2,166317;4,577683;0,9227366;-4,711638;-4,41434;2,146949;-2,345325;-3,625093;-0,3264041;-4,462257;4,548715;-0,4257681;-3,923839;-3,262021;2,247524;-2,261966;-1,899729;4,181902
Index: 25 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,743168 | BrainData : -2,405075;0,2007563;-2,023645;0,02222941;-3,322551;4,304199;0,04090169;3,537642;2,200591;4,577683;0,9464396;-4,666182;-4,431151;2,184657;-2,377424;-3,584889;-0,3058736;-4,478659;4,538689;-0,4730045;-3,880127;-3,216063;2,287806;-2,256061;-1,875304;4,188775
Index: 26 | Name: car 21 | Brain Type: TotallyRandom | Fitness: 1,742529 | BrainData : 4,513159;-1,0317;-2,47734;-2,023566;-1,855939;0,9495072;3,689913;2,142777;4,731322;-0,3496747;3,873256;-3,297219;3,922263;-2,004381;-0,5759888;4,013937;0,6272693;-1,378936;-1,18009;-3,473396;2,314844;-3,62527;3,268126;0,4908733;-0,6430335;3,80403
