Generation: 500 | maxFitness: 3,670536 | maxFitnessGen: 2,010599 | maxFitnessGenBuf: 1,944509
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 0 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,944509 | BrainData : 0,6568565;1,333967;4,105557;0,5718554;3,349373;-1,058836;4,200823;0,9885972;0,01605808;-0,8645723;-3,49387;-4,238988;2,999903;-2,3692;3,979299;-2,890938;4,85448;0,9570051;-1,215876;-4,486516;-1,402904;0,2110976;-1,441438;1,10838;-2,871154;3,773195
Index: 1 | Name: car 12 | Brain Type: RandomParents | Fitness: 1,943666 | BrainData : 0,6087577;1,312929;4,015485;0,5654967;3,316679;-1,085183;4,184623;1,015168;0,01583233;-0,8978316;-3,503056;-4,211657;3,007904;-2,40585;3,938736;-2,917079;4,952505;0,9178883;-1,203189;-4,466749;-1,342528;0,1947932;-1,527747;1,135059;-2,868764;3,797244
Index: 2 | Name: car 33 | Brain Type: TOP2 | Fitness: 1,943168 | BrainData : 0,6528389;1,329465;4,073994;0,604855;3,349373;-1,06806;4,175519;0,9603217;-0,02666499;-0,8645723;-3,49387;-4,201512;2,965961;-2,388619;3,967482;-2,858847;4,867347;0,9684455;-1,215876;-4,486516;-1,368325;0,2341959;-1,403885;1,086778;-2,871154;3,773195
Index: 3 | Name: car 49 | Brain Type: TOP2 | Fitness: 1,941568 | BrainData : 0,6295612;1,25673;4,065557;0,5610186;3,349373;-1,102742;4,18731;0,9885972;0,01605808;-0,8645723;-3,539538;-4,24905;2,961876;-2,346173;3,967482;-2,890938;4,934815;0,9570051;-1,199129;-4,531889;-1,368325;0,2110976;-1,436806;1,10838;-2,871154;3,765455
Index: 4 | Name: car 47 | Brain Type: TOP2 | Fitness: 1,941314 | BrainData : 0,6000081;1,288211;4,115607;0,604855;3,3325;-1,011642;4,243603;1,002506;0,0569047;-0,8645723;-3,49387;-4,227185;2,963968;-2,388619;3,953964;-2,914418;4,890408;0,9570051;-1,191968;-4,486516;-1,416661;0,2110976;-1,433164;1,111282;-2,871154;3,773195
Index: 5 | Name: car 30 | Brain Type: TOP2 | Fitness: 1,940114 | BrainData : 0,6638201;1,245532;4,073994;0,6358209;3,379045;-1,058836;4,200823;0,9686611;0,01605808;-0,8645723;-3,49387;-4,211349;2,971142;-2,388619;3,967482;-2,889177;4,856342;0,9570051;-1,205246;-4,486516;-1,368325;0,2101483;-1,480456;1,10838;-2,895275;3,790377
Index: 6 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,925098 | BrainData : 0,6295612;1,288211;4,073994;0,604855;3,349373;-1,058836;4,200823;0,9885972;0,01605808;-0,8542429;-3,49387;-4,244797;2,938421;-2,342964;3,967482;-2,890938;4,890408;0,9786206;-1,217954;-4,486516;-1,319005;0,2110976;-1,44976;1,103654;-2,871154;3,770172
Index: 7 | Name: car 8 | Brain Type: RandomParents | Fitness: 1,923946 | BrainData : 0,6940702;1,261892;4,040272;0,646326;3,367511;-1,140655;4,170548;1,002052;0,02232224;-0,866872;-3,5511;-4,208567;3,04679;-2,422123;3,973188;-2,875426;4,909126;0,9608151;-1,233291;-4,521098;-1,297518;0,1954614;-1,418588;1,088061;-2,96184;3,795391
Index: 8 | Name: car 32 | Brain Type: TOP2 | Fitness: 1,923243 | BrainData : 0,6295612;1,297984;4,073994;0,6143047;3,38475;-1,058836;4,218254;0,9585001;0,04722963;-0,8645723;-3,49387;-4,24905;3,00251;-2,410824;3,967482;-2,912496;4,890408;0,9570051;-1,215876;-4,467852;-1,413859;0,2110976;-1,428633;1,10838;-2,87367;3,784577
Index: 9 | Name: car 26 | Brain Type: TOP2 | Fitness: 1,848191 | BrainData : 0,6309682;1,268578;4,073994;0,604855;3,349373;-1,058836;4,200823;0,9885972;-0,01613334;-0,9044893;-3,515206;-4,272358;2,971142;-2,374113;3,918529;-2,862395;4,857985;0,9570051;-1,174137;-4,472096;-1,3722;0,2006849;-1,436806;1,10838;-2,877922;3,773195
Index: 10 | Name: car 45 | Brain Type: TOP2 | Fitness: 1,845583 | BrainData : 0,6238256;1,288211;4,067287;0,5639836;3,349373;-1,08947;4,194968;0,9885972;-0,008482505;-0,8562208;-3,49387;-4,225329;3,017943;-2,347713;3,999328;-2,855535;4,85617;0,9570051;-1,215876;-4,486516;-1,398993;0,1882956;-1,436806;1,10838;-2,895871;3,773195
