Generation: 527 | maxFitness: 3,045833 | maxFitnessGen: 2,717171 | maxFitnessGenBuf: 2,796465

Index: 18 : -1,154523;4,811152;-1,738463;-2,867251;-3,587583;4,811152;-1,738463;-2,867251;-3,587583;4,847361;-1,738463;-2,867251;-3,587583;4,847361;-1,738463;-2,867251;-3,587583;4,847361;-1,738463;-2,843796;0;0;0;0;0;0,0008027963 | Fitness: 2,726926
Index: 19 : 2,321147;1,520518;-4,579666;1,485812;3,432744;1,520518;-4,579666;1,485812;3,432744;1,520518;-4,579666;1,485812;3,432744;1,520518;-4,575664;1,485812;3,432744;1,520518;-4,575664;1,457196;0;0;0;0;0;0,009239689 | Fitness: 2,703674
Index: 20 : 2,662918;2,972387;-1,060207;-0,3508357;4,074357;2,972387;-1,060207;-0,3508357;4,074357;3,003087;-1,060207;-0,3508357;4,074357;3,003087;-1,122364;-0,3508357;4,074357;3,003087;-1,122364;-0,3508357;0;0;0;0;0;0,04614738 | Fitness: 2,650097
Index: 21 : 2,298729;1,534511;-4,582248;1,38522;3,401399;1,534511;-4,582248;1,38522;3,401399;1,552488;-4,582248;1,38522;3,401399;1,552488;-4,582248;1,38522;3,401399;1,552488;-4,582248;1,37484;0;0;0;0;0;-0,086014 | Fitness: 2,405119
Index: 22 : 2,259905;1,517964;-4,515898;1,3995;3,318951;1,517964;-4,515898;1,3995;3,318951;1,522933;-4,515898;1,3995;3,318951;1,522933;-4,570026;1,3995;3,318951;1,522933;-4,570026;1,429534;0;0;0;0;0;-0,03354147 | Fitness: 2,021106
Index: 23 : 4,424433;0,506299;-1,175397;-4,006843;-1,935563;-4,465481;1,860728;1,443257;-4,810907;4,145153;3,805442;4,800253;2,177654;4,527072;3,694154;-1,259158;-3,474022;-2,662183;-3,872477;-3,573083;-4,968393;-2,998564;-4,93643;3,746592;2,274549;4,195399 | Fitness: 1,686733
Index: 24 : 2,29113;1,476578;-4,570241;1,419306;3,362826;1,476578;-4,570241;1,419306;3,362826;1,522933;-4,570241;1,419306;3,362826;1,522933;-4,527033;1,419306;3,362826;1,522933;-4,527033;1,3995;0;0;0;0;0,03375629;-0,0269919 | Fitness: 1,671565
Index: 25 : 2,269833;1,570053;-4,430975;1,479701;3,367583;1,570053;-4,430975;1,479701;3,367583;1,570053;-4,430975;1,479701;3,367583;1,570053;-4,460748;1,479701;3,367583;1,570053;-4,460748;1,479701;0;0;0;0;0,04683889;0,02589301 | Fitness: 1,662948
Index: 26 : 2,285515;1,507084;-4,602923;1,447816;3,397975;1,507084;-4,602923;1,447816;3,397975;1,505327;-4,602923;1,447816;3,397975;1,505327;-4,596606;1,447816;3,397975;1,505327;-4,596606;1,424988;0;0;0;0;-0,01152825;0,03036665 | Fitness: 1,621461
Index: 27 : 2,640058;3,003087;-1,08552;-0,3748344;4,053239;3,003087;-1,08552;-0,3748344;4,053239;3,003087;-1,08552;-0,3748344;4,053239;3,003087;-1,057403;-0,3748344;4,053239;3,003087;-1,057403;-0,3508357;0;0;0;0;-0,00471466;0 | Fitness: 1,620697
