Generation: 1 | maxFitness: 0,1453288 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1453288
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1453288|0,1564507;-1,974537;1,94131;-3,901573;0,3161592;-1,679618;0,5001144;4,082514;4,742807;-0,8705993;2,798885;-2,486255;3,910538;1,280721;-0,9120483;4,554315;0,665987;1,246101;-4,310208;-1,039246;-4,816689;2,649171;-0,6724052;1,365338;-3,360829;4,094324;-0,5875425;-1,323281;-2,95305
1|TOP2|0,1102736|-4,617987;-1,184864;-3,391585;-3,310219;1,488912;-3,359738;-4,981669;-2,346985;3,213785;2,759742;1,873602;-0,9620733;-1,778826;3,753303;2,982458;4,825307;-3,06761;2,917604;3,200872;-0,6384225;3,50419;0,4583235;4,736043;-4,250102;-3,657727;1,386748;-3,962408;-3,362984;3,258585
2|TOP2|0,1073372|-3,694305;-3,755312;-4,42922;2,563584;0,4546599;0,3046722;4,590497;0,9274979;0,4620342;-2,721779;-3,422948;-0,1659327;3,345533;-0,1199346;-0,329905;-1,391398;-1,925409;-1,413276;-1,439839;3,814058;1,261481;1,057126;2,852263;1,929353;-2,789364;4,573251;-3,808634;2,785531;-1,443088
3|TOP2|0,1056891|-0,4579086;-1,072685;1,665784;-2,444418;3,951883;1,277001;-2,520106;-0,3240423;2,364539;-2,085252;0,4262133;2,321795;0,5165501;0,670063;4,296807;0,1197;3,349073;-1,830856;-2,667476;1,993247;-2,755399;4,639375;0,9752374;-0,6931953;1,591266;-0,7873063;1,110241;-2,844624;-2,815278
4|RandomParents|0,1007694|-2,812177;-2,384537;0,5507307;3,620989;-2,016185;2,432625;4,168016;1,764216;1,515063;1,822684;2,998174;0,2963786;0,486341;-2,73302;-1,61953;-4,971238;3,436979;4,148236;2,442877;-2,921691;2,398629;4,257305;4,622684;-3,009384;0,7765727;2,718033;-2,182231;-0,6728511;-4,871503
5|TOP2|0,08883404|-2,224775;2,703167;-2,346038;-2,240097;0,4333539;0,3927307;-2,598975;-0,2955012;-0,327559;0,5531783;-2,966592;4,403284;-3,274799;3,878149;3,321675;1,257312;-2,118747;-2,702851;3,899973;-4,909555;0,9596152;0,9205742;-1,75175;2,199962;3,878932;1,9347;-0,2955775;2,742529;-4,067062
6|TOP2|0,08807057|-1,927355;-0,343657;-4,742147;4,145151;1,896668;-4,180527;0,8417912;4,712453;-4,575907;-3,289393;4,388699;4,288568;-4,762796;-0,7258887;4,381704;-0,5419989;-2,078743;-1,018621;1,973197;-2,987466;-2,668389;4,459871;-0,4854827;-0,1536398;3,459333;3,305722;1,671069;0,8970184;-4,071746
7|TOP2|0,03217801|1,322064;-3,468609;-1,752882;-0,5281453;1,248217;-0,9588881;0,009681702;-3,719803;-1,093387;-4,603956;-4,709173;-4,673368;-0,4129834;-3,453484;3,275851;4,656891;2,074121;4,804664;-1,317759;-4,602323;0,497623;2,556606;-4,729258;-3,64962;0,2343531;4,740649;0,591361;2,541031;-2,9452
