Generation: 1 | maxFitness: 0,221245 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,221245
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,221245|0,7690973;-0,9131165;3,130387;0,1542692;-1,185779;2,837659;2,783806;-2,128524;-4,923002;-4,940287;-4,548244;4,638204;2,882119;4,325702;2,406137;-0,9812646;4,879475;0,1719718;2,463675;1,361899;-4,862211;-3,014326;-4,979672;-1,273754;-1,251357;-0,2154021;3,961252;2,891865;-3,192227
1|TOP2|0,1323296|-1,594226;-4,73115;-0,3275914;1,018775;0,4009609;3,354645;3,271841;-3,994598;-4,597265;-2,395079;1,939691;0,6618114;-2,85653;-0,9771795;3,648342;-0,2660985;-0,7985158;4,185511;-0,2346416;0,4619269;2,360322;4,458515;2,192067;3,957014;0,6425281;-2,547699;-4,910979;2,885095;3,660684
2|TOP2|0,1289857|-2,901054;-4,669739;2,831465;2,204813;-2,41682;2,774974;0,7995458;2,589856;-1,973936;3,646546;3,695616;-2,506775;-0,7729335;-1,127841;4,345604;3,344321;0,2106695;1,015635;-4,262153;1,085716;2,073252;-4,609507;-0,541007;-3,533887;2,297932;-3,251267;-2,307171;-4,048396;-0,9801097
3|TotallyRandom|0,1045117|-4,036285;3,979272;4,80911;3,139148;-2,819364;0,1364212;1,485256;-0,2075796;-0,7487555;2,407326;4,17017;-1,568789;-2,766466;-3,189814;-1,032166;-4,957531;-1,227598;-1,065204;-1,931822;-4,701161;1,517744;-1,741524;-2,89057;2,685894;4,797098;1,313885;-4,479227;4,847078;-4,307514
4|TOP2|0,09669124|-4,34042;-3,312673;2,265314;1,436085;4,4989;2,473117;-3,703805;-4,548589;-2,888655;2,470225;-4,580833;0,7446308;-1,492751;-3,597922;-1,681602;2,980283;-0,5495234;2,626256;0,1780443;-2,543533;-0,4897814;3,055304;-1,152112;4,332706;2,718199;3,438875;1,040139;1,479094;-0,6476088
5|TOP2|0,08149206|-0,5898113;-3,813005;-2,198166;-3,096313;-1,919449;-1,190707;-4,089999;-1,335835;-4,137804;1,033535;-1,115671;4,845506;1,051096;3,7316;-1,419309;2,486795;4,153594;2,757213;-1,928936;2,471617;0,2705951;-0,2667136;-0,5846982;2,93486;-1,436563;1,479828;3,870933;-2,357332;0,2079349
6|TotallyRandom|0,03296098|-1,716907;-3,30745;-1,518182;-0,1143842;3,699231;-1,057983;-4,410992;-4,052687;4,97313;1,393535;-3,314613;-0,7405047;3,96562;-3,614855;-1,420791;2,818007;2,476915;-4,053898;-3,074091;0,3183837;-1,969621;-2,884916;-4,132517;1,542977;-0,3295069;-3,167295;1,516033;3,144479;0,9028058
7|RandomParents|0,0242524|-4,777881;-2,79111;4,941742;-1,789957;-3,606547;3,377955;-3,098292;-0,1408739;1,727445;2,706687;-2,485161;-4,180789;-4,471198;4,342608;2,148273;2,195307;1,912588;-1,657636;-0,2734594;-2,119293;-1,543181;-1,281913;-0,6297903;-4,190177;-1,588108;3,122635;3,317829;1,099086;0,5833249
