Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,07677455
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,25

Index|Brain Type|Fitness|BrainData
0|TOP2|0,07677455|-1,113306;-4,353515;-1,096504;3,698497;-0,5880384;-3,298387;0,5256848;4,397492;-3,819281;-1,548753;0,6471367;-3,991479;-1,605695;4,079304;3,76112;0,7923527;-1,316723;-2,843559;-0,01202393;-0,6544824;0,9372897;-0,9643502;-3,866707;-3,412133;-4,825468;0,04478741;-1,135321;-3,067965;4,547331
1|TOP2|0,03031134|-2,035299;-1,093216;-0,272562;0,8198757;4,014739;3,291586;3,386892;2,744993;4,199524;-4,928015;4,223128;1,222849;-2,346491;1,053885;1,53613;3,223577;0,2950687;0,459383;2,78088;-4,717276;-2,40962;0,440485;0,7275076;-3,348269;-0,3588109;4,764618;2,051415;-3,134287;-3,728313
2|TOP2|0,0169938|3,766563;-2,87326;0,04042339;1,098814;3,658846;-1,226261;3,487712;1,526145;-2,840828;-4,81151;-1,253787;4,920198;0,6457467;-1,194473;-4,703733;-4,259207;-0,2249379;-0,2073054;-0,4453211;-0,9373088;1,704282;0,008678913;3,929576;-0,03744793;-0,5555992;-4,509079;-0,4542713;3,499788;3,455166
3|TOP2|0,01378827|1,124777;0,3002243;-4,851969;1,809344;3,275071;-0,3710837;-1,047073;4,909848;4,211239;3,93332;3,190526;-3,153707;3,082645;1,134483;-3,427707;-1,617548;-1,535392;-1,657149;-4,383087;-3,418977;-4,987115;0,2318711;0,912487;-0,5909867;-2,854213;-0,02219725;3,742134;-3,753552;-4,029265
4|TOP2|0,0116768|-3,737607;-2,618824;2,637042;2,795362;-0,5228515;-4,44645;2,996596;1,89559;2,793221;1,565717;-3,428016;-2,982387;1,760355;-0,04169035;-4,397898;1,574878;2,265244;2,550689;-4,650425;2,550674;-1,380832;-1,956928;1,446422;-0,9453325;-2,366707;-1,429036;2,197785;3,30762;-4,119369
5|TOP2|0,0101821|-0,4703002;2,636886;-3,65315;-0,5820556;-4,34595;-3,320199;0,4814105;4,044287;-3,111244;-2,706585;-3,450747;-1,892864;2,676917;1,932708;0,6303124;-4,706225;-3,102253;0,9502225;4,324021;3,683716;0,176466;0,08978415;-0,2329235;-1,063416;3,227519;-1,054313;-1,638474;0,7503123;4,029269
6|TOP2|0,01005898|0,07465076;-3,137446;4,109582;-1,985988;3,550895;2,514026;3,722248;1,825597;0,4271002;2,499555;-3,801532;-3,297436;-3,421972;3,611395;-2,076845;0,6621189;-0,06387997;4,245336;4,259419;-3,59927;-3,365374;-4,557972;-3,797145;4,985247;-1,243093;3,332191;-4,494905;0,7717509;0,9257846
