Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1530678
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,25

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1530678|-2,464755;-4,595228;1,482123;0,332026;2,977184;2,292181;-1,646727;-3,800323;-2,344542;-0,9853654;2,074862;-0,1578994;-3,425622;-3,682611;-4,912032;3,022959;3,523431;1,029137;-2,225987;-1,92458;1,783249;4,110571;4,985051;-2,27178;3,684532;-2,297311;-0,150878;-1,592067;2,282048
1|TOP2|0,09580187|0,6188602;3,678238;-2,372451;1,234115;2,316512;1,522163;-1,382723;-1,672613;2,467929;0,703084;1,174783;-2,796856;3,83541;4,289152;-3,292296;4,491848;0,1616092;2,136573;-1,628109;1,785371;-4,845599;4,508276;3,144648;-3,753239;-4,398848;1,189525;2,745403;-0,9872098;0,5889874
2|TotallyRandom|0,08687949|3,398872;3,224319;2,407266;0,2868037;4,861678;1,13067;-3,860836;4,640057;-3,999069;2,220744;3,144908;-0,3925471;-4,88009;3,774227;3,138821;-1,38367;-4,944778;1,437459;1,868118;1,651101;2,057924;3,454058;0,1396065;-2,954673;3,914982;-4,284369;-1,316761;-1,009157;3,968947
3|TOP2|0,0443536|0,5907493;-4,516898;-4,302669;-3,529796;-2,203579;-3,449023;1,956606;1,491099;-0,7768588;4,368371;0,5654912;4,945149;-4,343434;-0,7018332;-3,195907;-0,2152605;3,528188;-4,028793;0,6115298;-0,7678418;-0,4076619;-2,446293;-3,493868;2,172515;-1,677982;-0,1171227;-3,446484;2,41483;0,3025384
4|TOP2|0,03682771|-3,953261;-1,167166;0,5718379;-2,139079;4,328948;-4,130473;-0,411201;-2,411726;4,685626;-0,552475;0,3142529;4,181589;2,494853;-2,296283;4,102005;-3,907244;-2,802969;0,9571486;0,2391987;3,429074;0,9646077;1,309396;-1,983812;3,047571;-1,566577;-0,4512591;1,175969;-3,566845;1,309336
5|TotallyRandom|0,03424281|4,920833;0,8595591;2,487131;-1,453078;-0,8793278;-2,682315;-3,973652;0,7436175;-1,095247;3,648754;1,391587;-3,098385;-0,001237869;1,506014;-1,38962;1,318589;2,979534;-2,872038;-3,308098;0,3981824;-0,1844459;-2,639326;-0,5818768;-3,206791;4,975114;-3,029251;1,407239;-1,923816;-4,019164
6|TOP2|0,03354249|0,3579168;-0,2482743;-3,515274;-2,129664;4,04339;1,480915;-3,724961;2,129908;0,7256622;1,328262;4,577403;-2,907981;-3,427848;-1,785645;3,220648;-1,687227;-4,009636;2,558831;3,84348;4,497507;-0,9223418;3,01298;-3,61906;4,478816;2,925175;-1,391541;2,700339;-2,290878;4,568444
