Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,02243002
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,25

Index|Brain Type|Fitness|BrainData
0|TOP2|0,02243002|-4,886298;-4,483347;-1,705971;-1,386477;3,026019;-3,585786;2,526531;3,748125;-1,758416;2,381359;-2,18568;-4,213675;3,164021;3,460103;0,6561203;1,961713;-2,513205;0,09936857;0,8694477;3,563815;4,380333;-3,827659;3,091337;-1,13828;-1,759037;1,968422;1,955521;0,8538337;1,401857
1|TOP2|0,01931308|-1,32763;-1,031478;0,8153172;-4,834087;2,012115;3,190044;3,247389;2,823814;3,976022;0,191;4,966706;-2,673072;-2,481764;-4,703374;3,524475;-4,046769;0,2207012;3,415949;1,209478;-4,09013;-1,251921;-2,564547;-4,15078;-3,980937;1,103299;2,770306;4,037356;2,835828;0,706418
2|TOP2|0,01858551|-3,933969;-0,992909;3,290635;0,721467;4,920677;4,211266;-4,881155;4,375196;3,650955;1,001966;2,76898;-0,8953066;3,419734;-2,299737;4,433059;-1,018784;-0,8413796;4,222941;-3,05894;-3,631859;1,849267;-1,663218;0,2808137;-3,651259;-0,596612;-2,872911;-1,60225;4,727563;2,360254
3|TOP2|0,01646887|2,352458;-0,3021507;1,58085;-0,04666138;-4,565224;-1,644125;1,057262;-0,9341807;2,727878;2,368206;2,714572;-0,5681581;-1,524444;-4,791822;-2,744328;-0,7420917;-1,078179;0,380178;-0,9346576;3,41532;2,6547;2,171415;-0,139082;-1,906968;3,145542;-2,710388;-4,391314;3,884559;-1,214036
4|TOP2|0,01471446|-4,713959;0,4695039;2,309239;2,798485;-0,1311045;-0,2308507;3,85468;0,7951765;-1,031809;-1,924437;-2,432123;-4,273015;-1,311303;1,977612;0,359704;0,694737;-4,368284;1,818664;-2,656041;4,617964;-3,166249;-0,6397443;-3,024657;0,05921793;2,822085;1,807387;2,757633;2,579313;-0,8927913
5|TOP2|0,01402069|-1,663964;-1,650064;3,18174;3,694311;-1,881866;2,306545;2,430764;3,475513;-4,559994;-3,875718;1,637795;-3,062921;-4,749144;-4,212378;-1,068225;4,225755;-3,40246;-1,912629;4,926453;0,6533365;3,068591;-2,797781;-2,239657;-1,623357;0,03654194;-1,538112;-4,545651;-3,929134;-0,9488339
6|TOP2|0,01340367|3,138039;-1,348834;4,037604;-3,060922;-0,4607697;-1,157632;3,902177;-2,273369;0,1144714;-2,166601;-3,694125;1,967342;-1,659486;-0,9919734;1,087811;3,958101;-3,577038;-1,50626;0,9233122;-0,977561;-1,128316;0,4196148;0,9740024;-0,9145112;-1,401457;-4,635911;-1,295467;0,5580015;2,27541
