Generation: 1 | maxFitness: 0,1460757 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1460757
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1460757|4,149351;-3,15035;2,447156;-4,614143;-1,770358;3,842283;0,3753848;3,446794;-4,244379;-4,594144;4,629373;-2,95233;-1,872742;-4,460396;1,677873;2,846906;-4,297532;2,285776;0,539319;-3,201018;4,779617;2,887876;-0,3799348;-2,100893;-0,2501984;-3,994673;-3,463152;3,918259;1,812818
1|TOP2|0,1390676|2,345479;-1,441211;-0,8500581;-4,752054;-1,870981;3,760608;-3,421053;2,732571;0,3996034;4,437262;2,608629;-4,331599;-0,6735592;2,719333;-2,624978;0,3215508;4,300309;0,1892586;-2,745208;4,743463;-4,284101;-1,463942;-2,703834;2,12793;0,21702;-0,9248071;-4,13775;-1,643532;4,785524
2|TOP2|0,123891|-1,245146;1,632736;3,036609;1,191065;-1,070595;3,821641;-3,46208;-1,967899;-1,633479;-2,79062;3,110542;-3,543986;2,962178;1,614824;3,004092;-2,097189;3,113709;0,8558936;4,425849;-1,017209;2,159653;2,850196;3,800684;0,22335;-0,7186742;-2,625729;-4,331756;1,814896;3,712682
3|TOP2|0,09818028|4,667893;0,6754513;3,798311;4,302078;4,428457;-0,2673297;-3,680203;4,030524;-0,8492608;4,858126;-0,8656473;-2,419464;0,8877749;-3,821312;-1,517853;-1,636327;4,832699;0,5296187;-1,011235;-0,3166766;-0,1535482;0,5777912;1,472989;0,2105899;3,982517;-2,998245;-3,412893;-1,356303;-3,082108
4|TotallyRandom|0,09652865|3,324373;-3,679633;-0,672514;1,769157;2,875569;-4,603012;-1,123521;1,846762;3,532957;0,8067684;2,744031;0,153758;-2,923807;-1,89827;-4,121161;-4,233887;4,477434;-2,525779;0,4951816;3,229022;1,600528;-1,195049;-3,939443;-2,105479;-3,099053;4,898448;-4,699661;2,558148;-4,122306
5|TOP2|0,09390707|-2,776875;2,413026;3,067579;-0,2277441;-2,325551;-1,26189;-0,1470346;-1,553829;3,854984;-0,805202;-1,17135;-0,1085429;1,132534;3,175183;3,926263;-4,527577;0,6438117;4,433054;0,7324748;3,150482;-4,669038;0,6718855;-0,5141277;0,1579638;0,4809933;-3,898354;-1,063419;-3,985125;0,1818318
6|TOP2|0,09348802|-2,10449;0,8016391;3,015863;-4,009878;-0,7763844;1,475278;-4,98612;-1,442407;3,68201;3,951891;-2,332304;2,001728;-4,00751;1,964864;0,9032326;3,303226;-3,769301;1,953698;-1,140065;-4,758254;-4,990474;0,7728262;0,8267908;-4,010462;4,756113;3,465148;1,470109;2,089518;-4,436693
7|TOP2|0,07969834|-1,506457;2,363981;1,005558;-3,063474;-3,370749;3,44552;4,908987;1,084738;-3,495208;3,460016;-1,292451;1,616518;-4,366623;-4,300667;-4,244351;1,361927;2,957134;3,107097;3,589908;-3,583624;1,11032;-3,627236;-0,5555577;2,130035;-4,448895;-3,203727;0,8594398;-2,883112;3,489914
