Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,06578106
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,25

Index|Brain Type|Fitness|BrainData
17|TOP2|0,008582189|-2,239445;-0,7331328;2,405391;-2,448418;-0,6468182;-3,800155;-3,629837;0,9125133;-0,9830551;1,350609;4,588476;-4,213876;-3,504491;3,846622;1,059869;3,986511;-4,686379;-0,6520252;-4,33702;3,421216;3,799401;0,6362896;-2,105951;0,9133844;3,558286;-1,864459;1,398853;-2,121567;-1,526751
18|RandomParents|0,008579203|0,2457709;1,007529;-3,632913;-1,548261;0,3398709;-1,848621;2,193046;4,112318;-4,935247;-0,6236272;1,190505;-3,101265;4,801301;-4,709747;-1,918502;2,202401;-1,802781;0,3199129;-1,486066;-3,078065;-3,611986;3,95264;-4,288771;-2,070699;-1,820646;1,162844;0,5990391;-2,89706;4,348997
19|TOP2|0,008339135|-3,860158;-4,287852;0,3694229;-0,2916427;0,174654;2,131258;3,490347;2,155678;1,819413;-2,553531;-3,511525;2,22079;-2,089529;4,710518;0,3401546;-0,07750559;3,331418;4,796486;4,535372;-3,783259;-0,4806881;2,989662;-2,796168;-2,524508;2,738625;3,266109;-1,244671;2,268883;1,249897
20|TOP2|0,008331697|-3,431965;-3,360095;-2,100881;2,931594;-1,910214;-0,3225045;3,746614;-0,6604977;0,9928079;-1,168855;4,382168;-0,1736255;3,659979;-4,391279;-0,4689927;-3,111037;-2,293074;-3,721746;-2,422003;3,957067;-4,372679;1,261452;3,79509;1,61736;-4,741087;-1,259368;4,110627;-0,2735858;-2,490893
21|TOP2|0,008316844|-3,219151;1,542357;3,123097;-4,802255;-0,4700465;1,733229;2,160349;-1,442005;1,081038;-0,9939952;0,3191419;-2,908485;4,138381;-2,394963;-0,3799601;-1,19926;-2,68358;1,498975;0,3424768;3,771621;0,08145618;-2,810436;-4,552487;1,725328;0,03725481;-1,542542;0,5374556;3,983295;4,604303
22|TOP2|0,008297867|-3,756317;3,205451;-0,8395295;0,2852087;-3,403584;-0,7996864;0,2152104;3,402054;4,905697;4,849779;-4,26196;3,59721;2,70083;2,506714;3,018084;2,808312;0,0849576;4,064016;-2,810442;-4,785769;1,62545;4,395275;-0,1100688;3,960527;-4,665418;2,821686;-4,29984;0,9992533;2,627398
23|TOP2|0,008286354|0,2871318;-2,1872;-1,073079;4,975975;3,305596;-3,257244;1,89351;2,148858;-2,526166;0,2603178;-1,417872;-0,8607488;3,502675;0,3080578;3,209265;2,327385;-2,152478;-4,19907;4,502134;-1,008183;3,051897;-3,306294;3,159704;4,174647;4,863502;-2,015546;0,8324008;-0,4382997;-3,830857
24|TOP2|0,008208347|1,348642;-2,524204;0,6163912;3,024736;4,725045;2,767752;-4,326258;-3,720155;-0,8522816;-4,173112;-1,260913;-3,122647;-3,599253;1,869438;2,547419;4,503107;-2,966351;0,6660466;4,864137;4,035122;-0,7724733;-2,003157;2,006795;-3,468328;-1,310823;4,156481;4,386116;2,055793;3,880402
25|TOP2|0,00804492|2,974538;2,054196;0,6102343;1,521616;-3,77125;-4,716297;1,730615;2,212471;0,2709861;-3,569048;0,4040427;2,301706;-3,201538;3,050396;1,491135;-3,475334;-2,396198;1,024402;-1,660802;2,826694;-1,82445;-0,4382281;-4,371089;2,411413;2,556791;0,2663727;2,703653;4,28807;4,90951
26|RandomParents|0,007936981|4,539158;-1,980255;-0,2537365;-0,2441888;-1,122399;1,709923;0,8222132;0,9535236;-3,281479;0,3758483;-1,904197;-3,673883;1,184652;0,9089141;2,949011;0,1389141;-0,3141303;3,716942;4,905468;3,081869;4,881372;2,372142;3,046827;-4,93515;-0,07999372;4,591516;1,424982;-4,484177;3,575349
27|TOP2|0,007912817|-3,435597;-2,250704;-1,494141;-4,083866;-0,9063511;1,188092;1,511749;0,1681976;0,6316643;-2,124149;-1,115095;-3,78442;3,663701;1,840248;3,530301;1,221278;4,869474;1,787749;4,999605;0,2797313;4,845972;3,343988;0,9060459;1,833389;0,3458471;4,30951;2,337325;-0,3946166;1,603788
28|TotallyRandom|0,007834076|3,673492;0,05745697;1,73593;0,6188436;2,684486;0,93226;0,358767;-2,669381;1,911168;-1,911138;4,768974;0,9649916;1,93686;-2,955451;0,8054872;2,594235;2,353114;-2,393243;4,446079;-3,220553;0,861053;0,7401137;3,684849;4,741825;4,085848;-3,279017;4,267194;1,326651;-0,6831055
29|TOP2|0,007795591|-4,981727;3,88914;0,1629682;-0,5591183;0,9487767;2,961888;4,586859;-0,3655477;-0,543695;-0,5976181;-1,46494;-1,301587;1,563651;-1,674839;-0,5805473;-4,741906;-0,1831837;1,55826;-2,597954;-2,987444;-4,572644;-0,1736207;1,680337;-4,500025;0,09523106;-2,918004;-3,59367;-3,783403;3,755879
30|TOP2|0,007763559|-0,7655544;3,270685;-1,661767;1,288308;1,374577;3,646375;0,1628737;0,3014536;1,017418;4,661583;0,01091051;-0,6133003;1,497036;4,953879;-3,939871;-1,134314;-3,339108;-0,424047;-2,954657;-2,145741;-1,752308;4,824696;4,290118;-1,246219;4,555927;1,083838;4,317375;-3,370887;1,996891
