Generation: 1 | maxFitness: 0,2877593 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2877593
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,2877593|0,4047508;-4,821404;1,513886;2,767426;-2,05264;-3,027239;0,8880396;1,918585;-1,42533;0,7305913;3,150942;-4,875278;-2,430968;-0,2153878;-4,325396;-2,241418;0,05010653;0,4991655;-1,863923;0,2495427;-1,682844;2,883897;-0,4478188;-4,420953;2,753646;3,075032;2,92784;0,7068415;-2,85048
1|TOP2|0,1480906|-0,9747128;4,160581;-2,251663;-0,5892901;0,7853918;-4,207376;3,015591;3,959771;1,859181;2,451893;-1,97589;2,651953;0,6706576;4,797546;2,495627;-2,716235;-3,646708;3,017956;4,732653;-4,691889;-3,283876;-0,7269592;4,150512;-1,390748;3,884939;-1,027209;4,336057;0,09182882;-4,086595
2|TOP2|0,11981|2,930384;-0,8343153;-0,1909833;-4,978689;-2,889977;-3,720352;-0,146801;-3,298035;-4,857455;-1,715994;-1,832879;4,632856;-3,351452;-2,988513;0,8921022;2,299017;-4,071913;-3,322258;-1,338156;2,211691;1,955885;4,299942;-4,376701;1,423615;-4,762383;-1,465363;3,468633;0,4543929;3,492397
3|TotallyRandom|0,108443|-4,103108;-3,622093;4,200182;-4,670168;-0,8207684;-2,816584;-2,982944;-0,4164667;3,473673;2,217715;-4,763973;-2,872516;1,069381;3,201274;-3,590628;-0,8834844;-4,793654;-1,187164;4,65234;-4,617359;3,24715;-1,34275;-2,243755;-2,750137;-4,410323;4,785383;-0,6205516;2,775159;-3,006139
4|TOP2|0,1044378|1,433435;0,05595636;0,8125548;1,996802;3,12479;-2,375412;4,539076;2,492678;-0,7800465;0,007133007;-4,745686;-4,313182;-1,427806;2,713104;0,217114;-0,4625373;-3,738809;1,355949;-4,098957;4,204345;4,895662;4,173966;4,653318;-2,941575;-0,490766;-3,647715;4,797274;4,057375;0,3813882
5|RandomParents|0,09822886|4,706034;-1,709202;3,422539;-3,098967;-1,158738;-1,043821;4,576261;0,8234782;-2,269516;0,994782;-0,8929605;-1,86483;-2,351524;-2,939003;1,582868;0,5575724;1,897323;4,868181;0,9831958;2,739874;3,40834;-0,1461558;-3,973166;3,383421;2,222338;2,08408;-0,9864612;-4,054661;0,2519064
6|TOP2|0,0718991|1,674186;1,416378;0,1679082;-1,780054;2,316277;-1,58411;-3,153317;2,842622;-0,7371097;2,954459;-2,939062;4,813918;-3,707186;0,02081823;-3,285235;-4,871714;-3,417146;-4,300313;2,702098;4,993338;-1,642414;-2,403598;4,121311;3,129774;1,685138;-2,617516;-4,271025;-2,561034;-0,9970207
7|TOP2|0,0592941|4,673586;0,3692179;1,938444;2,163501;-4,357498;3,490306;0,00740242;0,5904751;4,566413;-1,560815;-3,396339;-2,757782;4,099481;3,427392;3,471943;0,06614876;4,354309;-3,903646;0,09607363;4,131698;0,9754438;-4,822045;4,297742;-4,437714;2,606249;4,063401;-2,630807;-3,116194;-0,3391962
