Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2170649
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,25

Index|Brain Type|Fitness|BrainData
0|TOP2|0,2170649|0,9375863;2,410016;-3,482822;3,543611;2,170279;-0,2586789;-1,556184;4,320025;-1,913567;2,340566;0,2012067;-4,367779;0,7842402;3,474188;2,515391;-0,756834;1,944557;-0,3663592;-2,405827;4,047256;4,808893;2,152195;2,68865;3,621531;3,168665;-0,6419592;0,450489;-1,198035;-2,360425
1|TOP2|0,2130775|1,502404;2,415731;-3,68442;2,429185;2,436371;-3,356538;-4,8114;-3,619482;0,9373336;4,676781;4,45911;-0,5347829;0,4728122;1,159001;0,9663029;-0,9805112;-1,948898;-2,565718;-0,4088659;4,171542;-1,707706;4,779661;1,124502;3,912697;-1,174995;1,006449;4,606705;-4,11303;-4,172359
2|TOP2|0,08375444|0,9415908;2,755587;-4,380698;-4,283413;-2,411716;4,43244;3,584824;-3,557665;-0,2188997;0,3667526;3,581564;1,297108;3,905388;-4,296046;0,2247815;2,244478;1,293021;1,071128;0,2544732;3,306154;3,547974;3,260926;0,6888347;-0,3823547;1,657412;2,501037;-2,580459;-1,01489;2,011882
3|TOP2|0,08254576|-3,889112;-4,334769;-3,081606;3,484817;0,1667504;-3,741369;0,05566549;2,509754;0,2185721;-0,5142446;4,874065;1,57207;2,073181;-2,59451;-3,867887;0,1836605;-2,031652;4,433776;-1,921677;3,878975;1,760638;1,332246;0,5904837;0,2791972;3,341143;-1,103495;1,034823;4,660803;-2,222102
4|TOP2|0,08132558|-3,219216;-3,499117;-1,095317;3,427439;-2,040023;-3,187465;-2,892772;-2,49085;-0,7699795;4,531486;0,1758571;4,460847;-2,080869;2,340274;-2,452297;-1,733618;-4,134473;-1,462323;4,347834;-4,756523;3,924652;1,971757;-0,4615469;-1,183186;3,113644;0,4518299;-0,9311242;2,893519;-3,282376
5|TOP2|0,08088863|9,012222E-05;1,399499;4,186845;-4,51227;2,674512;4,010721;0,6240659;3,410069;-4,072309;4,95409;-2,514293;-1,41323;-2,203155;2,087238;-2,018411;-4,040881;-0,6979828;1,116162;-3,711658;2,316475;-4,328947;-3,840365;0,5573411;-0,5712028;1,479206;-4,173586;4,661674;-1,354237;4,094195
6|TOP2|0,0702767|-2,653867;-0,5709167;4,979338;1,176181;-3,448351;1,542446;3,714098;0,9530454;-2,751255;-2,382741;-1,867616;-2,384582;-1,27462;4,61775;0,1164098;3,180207;3,121084;3,161229;-3,344487;-2,661974;-4,584974;-2,183096;-1,446657;-4,969963;-3,897158;-0,3914313;-1,36466;3,519286;-3,091387
