Generation: 5 | maxFitness: 0,1710014 | maxFitnessGen: 0,1710014 | maxFitnessGenBuf: 0,2145347
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,2145347|1,94114;-4,328754;1,137564;2,814723;-3,497966;4,465257;-3,246677;4,591152;-5,159023;-0,5732255;0,9993383;-0,9684861;-1,927568;3,20096;2,035794;-1,787442;0,2706657;0,9241936;-2,92876;-3,680347;3,459454;1,322098;-0,1312236;-0,5145166;2,766145;-2,336869;1,187424;-3,273002;-1,736124
1|TOP2|0,2137826|1,94114;-4,328754;0,7878884;3,489857;-3,261384;4,465257;-3,04714;4,814698;-5,072;-1,494621;0,5949996;-0,9684861;-1,927568;3,20096;2,035794;-1,787442;0,310899;1,295555;-3,002825;-3,666092;3,03552;1,593249;-0,01281217;-0,5519019;3,085253;-2,336869;1,187424;-3,135332;-1,319711
2|TOP2|0,2137216|1,94114;-4,328754;0,4761852;3,193855;-3,261384;4,632091;-3,04714;4,824854;-5,382828;-1,163634;0,789062;-0,8228202;-2,408523;3,088221;2,035794;-1,787442;0,310899;1,44517;-3,078203;-3,680347;3,079218;1,634114;-0,2316568;-0,1752035;2,918256;-2,336869;1,187424;-2,616969;-1,771125
3|TOP2|0,1932589|1,94114;-4,328754;0,7920694;2,77525;-3,261384;4,465257;-2,749643;4,591152;-5,382828;-0,8217595;0,789062;-0,9684861;-2,292034;2,929413;1,95895;-1,787442;-0,1639601;1,295555;-2,92876;-3,680347;3,03552;1,595107;0,005375952;-0,2731104;2,918256;-1,947987;1,527687;-3,336837;-1,322939
4|TOP2|0,1839056|1,663034;-4,29623;0,8274418;3,193855;-3,537496;4,299417;-3,010222;4,435058;-5,382828;-1,466213;0,789062;-1,251732;-1,927568;3,20096;2,035794;-1,787442;0,310899;1,592253;-3,34503;-3,356988;3,03552;1,593249;-0,2316568;-0,804045;2,887885;-2,336869;1,187424;-3,055183;-1,322939
5|TOP2|0,1830991|2,098228;-4,67451;0,7878884;3,55747;-2,869091;4,465257;-3,04714;4,591152;-5,097241;-0,6782875;0,5738801;-0,9684861;-2,370855;3,119498;2,035794;-1,507059;0,310899;1,607016;-2,92876;-3,680347;3,500022;1,593249;-0,2316568;-0,5519019;3,346412;-2,336869;1,187424;-2,964955;-1,282664
6|TOP2|0,1830834|1,719632;-4,328754;0,7878884;3,230724;-3,261384;4,465257;-3,04714;4,591152;-5,382828;-0,9691786;0,789062;-0,9684861;-1,927568;3,20096;1,773422;-1,787442;-0,092217;1,192699;-2,599593;-3,489589;3,228708;1,675584;-0,2316568;-0,5519019;2,991966;-2,501271;1,127016;-2,964955;-1,638564
7|TOP2|0,1826956|2,384542;-4,613121;0,4135602;3,490603;-3,261384;4,563116;-3,04714;4,591152;-5,441687;-0,8981777;0,789062;-0,9684861;-1,927568;3,20096;1,646439;-1,787442;-0,01810113;1,697197;-3,126676;-3,192636;3,03552;1,532485;-0,3677759;-0,4361874;3,119643;-2,336869;1,187424;-2,856527;-1,526785
