Generation: 1 | maxFitness: 0,2903308 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2903308
N TotallyRandom: 0 | N RandomParents: 0 | N Top2: 0 | Min Mutation: 0

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,2903308|4,298978;2,45046;4,945908;4,020457;-4,356366;-4,314569;4,760334;-2,538835;0,7261496;-3,082782;1,562621;1,087453;2,152425;-1,096633;-2,809104;3,806684;4,45176;-2,478276;-0,7948141;3,573018;-3,822016;-4,882776;1,069236;3,516498;0,1800079;-0,02141905;3,973415;-1,431374;3,037579
1|RandomParents|0,1273765|0,5879827;3,836122;-2,385619;-0,6273885;0,07984209;1,5501;4,586532;2,711532;-2,259209;0,8023353;-1,252707;3,505985;1,289282;3,203558;-4,575636;0,1862078;-3,474382;-0,09219122;-2,360981;4,156746;4,385308;3,761824;-3,198909;-1,743097;-1,60358;1,537157;1,234394;-2,984423;4,0517
2|RandomParents|0,1146453|-4,962765;-1,619387;1,058051;3,298999;4,338651;-3,197676;-3,500504;-0,8739238;-3,876285;3,608883;3,978578;0,4393835;-2,076337;4,705393;4,989573;-1,608656;-3,04446;-3,905885;0,6959076;-2,271492;-0,5155869;0,03770876;-2,696596;-0,9563847;4,146378;-0,5657463;0,2749114;-1,922491;-4,633348
3|RandomParents|0,1094465|3,094672;3,393252;-4,459801;-3,947817;-1,905098;-4,081584;-0,5510001;-0,7315726;2,576204;-1,947248;0,6768684;1,644768;3,593366;-3,250847;-4,53244;1,07115;2,02739;1,177516;-2,263129;-3,724344;3,468883;-1,99908;-1,520668;2,913746;-0,325727;-0,5985599;-0,1696258;-0,04956913;1,899736
4|RandomParents|0,1065899|0,5626922;-4,438605;-3,315245;-3,402494;0,8332915;-0,7563167;-1,734076;2,407012;-0,9649558;4,517484;3,886718;1,566924;-0,3309698;3,642899;-4,964324;-3,223481;-1,186444;-0,8266373;4,547105;0,4732065;-0,3040938;-1,378152;-1,017941;-2,410526;4,105928;0,5873532;-2,831264;3,095354;-4,459281
5|RandomParents|0,1016063|3,269616;0,7420583;4,781299;-4,963651;-4,137457;-2,466157;2,437533;-2,526917;1,842573;-0,2308421;-1,918654;-1,324969;-0,3664799;3,808758;3,646322;-4,454707;2,999724;-3,157732;-1,695896;4,290966;-3,074993;-0,01466703;-3,123266;-4,382158;-1,109376;0,7240491;2,343608;1,488511;1,307129
6|RandomParents|0,09978418|0,7473869;2,425263;-4,249191;1,613428;-2,402653;-0,4790645;-3,378104;-4,928507;-1,688779;0,7379751;-4,742306;-4,342655;0,8996658;4,867449;-0,1453476;-2,629287;-0,03246737;-0,6966753;1,104267;-3,989818;1,730964;-3,399538;3,765364;1,55873;0,5501623;-0,5433125;1,889279;-1,548106;-1,47914
7|RandomParents|0,09908259|-1,669884;1,405573;1,154144;-0,2940197;-1,852806;2,440827;-0,2109761;-1,70067;-4,976458;3,288858;-2,08904;-0,2654691;4,25447;1,637962;-1,90526;2,99562;1,510988;-3,00069;-3,54231;1,525061;3,392899;-2,914113;3,396273;3,95376;-4,60339;-3,342554;3,701087;-2,148835;0,1447682
8|RandomParents|0,09807163|-1,22083;0,384366;2,757705;3,143484;-2,412479;1,282802;-4,69262;4,744398;-3,417162;3,939734;-3,374266;-4,106134;-1,282751;0,6865449;-2,277632;2,102475;-0,7436843;-2,761278;-1,666544;-4,546546;2,80105;-1,046385;4,77869;2,156154;3,987343;-3,36928;0,7187896;-4,696047;-0,03511715
9|RandomParents|0,09438415|4,123115;2,799214;-4,407844;-4,974061;1,222992;3,648019;-4,888422;-1,366059;-0,7061143;-2,486763;3,137818;-4,913342;-2,741157;1,910487;-2,274286;2,173281;2,490453;4,204027;-1,517549;-4,985591;-1,025606;-1,286702;1,977863;2,820855;4,09238;-2,094894;-0,2754564;-3,943237;4,877872
10|RandomParents|0,09370662|-0,9641533;-2,083288;3,046788;-0,9004016;-0,5481048;2,555862;2,184454;-2,600492;2,704148;-3,632732;-2,417851;1,102991;-2,101604;-0,890872;3,841669;0,2214808;2,180717;0,5965118;-0,4612823;1,433347;2,966805;1,128996;1,849218;0,3315086;2,068539;2,086155;3,407463;-2,861051;-0,9365921
11|RandomParents|0,0830856|-4,595328;-3,044638;4,559828;3,755335;-0,5545397;-0,613337;-1,736484;4,84129;0,5052443;-3,053375;4,269747;-0,07732105;-1,545941;-4,261038;2,637775;2,068239;-0,9453697;0,4192276;-0,1833611;1,048513;0,7139473;0,9305482;1,885369;-2,158052;3,756982;-1,944943;-1,597669;-4,35109;-4,139568
12|RandomParents|0,05528956|-4,057179;2,795106;-3,117971;0,51544;-2,896205;-4,84621;2,561346;-4,901932;3,474073;4,781365;-1,60924;2,673395;0,8681898;-4,782386;-2,336089;-0,1207404;-2,399892;0,0535984;1,398823;-4,7817;-1,427951;1,045328;2,964581;2,382437;0,4541807;-1,403916;4,101151;-0,4487915;-0,09793472
13|RandomParents|0,04246741|-2,205634;2,126676;2,912861;2,112556;-1,023407;-4,55476;0,1757903;-1,854558;3,185957;-4,69936;4,270052;3,176577;0,06526279;4,088229;2,543647;-3,901042;1,968086;-3,051462;1,231298;-4,665088;-2,260273;-4,979772;0,4986901;0,5175381;-4,815656;3,539575;1,779411;-3,445532;0,3195577
14|RandomParents|0,03223431|-0,8749814;1,755426;-0,3902559;2,49003;2,28181;-3,290477;-0,2764745;1,759112;-0,3895302;3,929543;-0,2949209;-4,770283;3,189626;-4,605186;-0,5464382;-1,562155;4,360233;-1,62332;0,3927402;-1,466434;-0,9580021;4,862244;-0,2460475;-1,678777;0,08298683;-1,621325;-1,428588;-4,867782;2,439444
15|RandomParents|0,03120495|1,426816;-4,357282;-1,303318;0,1136069;-1,376377;1,712942;2,27892;0,41997;-3,320726;-0,6585078;-1,602376;-1,226046;0,8906727;-1,431555;-3,816445;1,20728;1,785829;1,88285;3,502751;-2,746138;0,7936387;-2,619328;0,7520218;0,9204679;3,691312;0,1449304;3,85376;2,007741;-4,592189
16|RandomParents|0,03118525|1,253241;-4,334562;1,725128;-2,417726;0,3479381;-1,518251;4,173813;-1,634379;0,6755466;2,652342;1,253869;-3,937023;-3,81014;4,073412;-1,918352;4,6213;1,361812;4,202297;-3,571721;-4,122659;-3,61126;-1,032764;-4,88943;2,261109;3,466855;-3,273146;1,942689;3,745521;1,195388
17|RandomParents|0,02075364|-2,844368;3,278196;4,98345;-4,277039;-2,818096;3,767493;-3,910085;-4,700428;-4,456438;4,137463;1,444601;4,982205;2,52053;-4,762488;1,018972;-4,9701;1,426764;1,98207;1,370763;0,7164769;3,701111;0,3286152;1,243362;4,336277;-1,924991;2,103687;1,337452;-3,085562;-2,916603
18|RandomParents|0,02004359|-2,603868;-4,32667;4,820819;0,06761122;-2,766565;-4,789599;0,6780787;1,209832;-1,159536;-0,5796914;-4,483667;4,665556;4,794754;-3,30587;-2,684138;2,624463;-1,605216;4,204794;0,1795487;-2,40638;-1,929029;-4,484118;-1,452008;4,415395;0,04781199;-1,115416;2,431643;3,50524;2,402601
19|RandomParents|0,01994629|-4,948591;0,592391;-2,77684;-3,068278;-2,311459;-4,905709;2,207414;2,115058;0,3491621;3,143912;-3,754089;4,768497;-2,390139;-0,8823423;-2,529998;-0,88481;1,203575;-1,419671;-3,908731;-2,603385;4,168016;3,375879;3,643918;4,681464;1,259345;0,7570653;-3,155054;0,4668159;-1,058848
20|RandomParents|0,01976743|1,375482;3,932888;4,085374;2,176751;3,023706;2,054037;0,3174858;-0,6462307;0,196075;-3,122101;-0,903626;0,5994887;-1,430071;-2,818394;0,2832956;-1,318362;2,821668;3,321193;1,70315;4,880818;4,776917;-2,424629;-2,34512;0,4377003;4,675767;2,579265;0,2631063;-4,795162;-1,668229
21|RandomParents|0,01858973|-0,1581793;2,107516;-2,460678;-3,147533;1,193242;-3,802997;3,353802;2,965246;-4,28911;2,179291;2,82275;-2,970302;2,459612;-0,352705;-3,076328;-0,1859922;-4,958553;-2,165806;2,992849;3,27098;3,333866;3,202606;-2,114996;4,795048;-4,497694;2,232237;3,825064;3,613193;3,614942
22|RandomParents|0,01819305|-1,848479;4,153504;0,4362421;-1,78618;-0,6025691;-3,264085;-0,7795482;4,414653;3,708182;0,8143396;0,4717584;2,93968;-3,320261;1,615892;-4,027592;1,729884;-3,217984;-0,9288411;2,525532;-3,332438;-3,791543;4,786913;4,328725;-1,619548;3,411489;4,25538;1,130862;-0,2641277;4,855026
23|RandomParents|0,0170599|-2,991;4,6175;4,545139;0,4739518;-3,183789;4,790909;-2,857168;2,313117;4,887029;1,286139;-4,761405;-1,151039;3,856022;0,4261498;1,735266;-3,423871;3,516241;-1,932149;1,739079;-0,795712;0,001499176;0,467649;1,992161;4,437525;-1,093177;0,1385932;3,796578;-4,223667;-0,5101342
24|RandomParents|0,01687548|3,560629;-2,665882;-1,721808;4,413929;-1,782156;4,565174;3,369144;2,123854;0,2681727;-1,501143;-1,19477;-4,732881;1,359799;4,000272;-1,110723;0,6289034;2,361057;-4,445142;0,8168025;1,445665;-3,502316;1,784718;-3,077357;4,072104;-4,199457;3,35506;0,04336882;-0,207109;-4,060314
25|RandomParents|0,01664621|1,194797;-3,358426;-4,45262;4,105495;3,689304;-1,636513;4,019011;-0,2611046;1,102694;-4,956117;0,6825204;0,4024773;-2,837013;-0,36938;0,7453566;-1,173193;4,414053;-2,754394;-0,6154304;-0,6722469;3,648162;-1,689709;0,8547454;4,762245;3,1262;-3,240659;2,968736;-0,4471989;2,378651
26|RandomParents|0,01664187|0,3543954;-0,1434236;2,828961;-3,914548;3,214904;-1,086051;-2,289918;-2,225461;0,7560177;4,027229;-4,387626;-3,424999;4,3348;-0,5703635;2,684259;4,189242;1,745438;-4,153131;3,826371;-1,320066;-1,909418;0,1764007;2,167502;0,3933744;4,18224;-3,111443;-0,6395288;4,16967;-3,617513
27|RandomParents|0,01662254|2,853273;0,1342149;-2,185585;-2,023124;0,8668475;-3,338375;1,887038;-3,237391;-2,332608;2,722099;-0,8905954;3,729145;-3,24745;0,5437093;1,413313;3,697258;-1,830991;-2,082799;4,572252;1,114175;-2,503823;-3,826916;2,187863;1,546006;3,970917;3,613053;0,09408426;2,724212;1,306251
28|RandomParents|0,01662047|4,735458;0,397027;3,231386;4,819961;-3,748928;-2,405464;-2,67754;-4,398792;3,977097;4,330173;-4,927078;-3,637327;2,371626;3,904982;-1,609617;-3,420573;2,150484;3,671374;-1,469028;-0,3111644;2,604724;-2,442731;2,968096;-2,759375;4,518279;3,261411;-2,847508;-4,158281;-1,011474
29|RandomParents|0,01662019|-3,434639;-3,424303;3,717552;1,863938;0,5500083;0,2725773;2,371864;-4,27868;2,680545;2,615075;-1,411824;3,410336;1,75094;-0,2482586;1,098385;4,748266;0,7380991;2,441106;1,484133;1,954532;0,9246092;-2,577307;-3,127705;4,771658;-2,700796;-4,123131;3,470739;3,958969;4,791498
30|RandomParents|0,01661869|4,606544;-1,591151;-4,022331;4,366114;2,664089;-2,62591;3,572657;-3,995618;3,73194;2,804084;4,548161;-2,865136;3,801588;-4,057794;-2,723813;1,532615;-0,2452259;1,826854;2,501321;1,738001;1,785581;1,873002;-3,563267;2,524278;2,866088;1,873491;4,542213;-2,848886;-2,992308
31|RandomParents|0,01661806|4,486452;-3,882556;0,4049759;0,9754281;1,503754;-3,514751;-2,860031;0,2586479;-1,700575;-0,09472418;3,680295;1,519536;-3,029014;-4,441918;1,655183;-2,449019;-2,994049;3,267237;-3,256773;2,73867;-0,455945;-0,8793311;4,144211;1,536059;2,23311;3,169923;2,627688;2,729592;-1,358188
32|RandomParents|0,01661774|1,584634;-0,03607082;3,964983;3,344902;4,936933;3,164806;3,193363;-0,6232424;-4,267376;0,2708168;-2,902202;-0,4613261;0,8480744;3,358769;-2,582576;-1,644619;-3,764744;1,32234;-4,19968;3,49063;-0,749846;-4,792192;3,515612;-4,484447;4,944551;2,002547;-1,297405;-2,616491;4,280176
