Generation: 1 | maxFitness: 0,1228463 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1228463
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1228463|-2,397024;-2,255958;-3,803991;1,811229;-2,681987;-0,05479527;1,045002;-3,957872;-4,136023;1,767576;-3,999658;1,447946;-3,431465;1,544075;0,6330724;4,169497;-1,620441;-4,201945;-4,117013;0,8014541;1,994235;-4,218287;-0,3781943;-2,295545;1,495581;-3,2728;2,891185;1,968694;-1,37119
1|TOP2|0,1207509|-1,099489;-1,760582;2,088846;1,65657;-4,17411;-1,367381;4,707141;-3,326635;1,315992;-3,079517;2,434684;-4,932333;-1,009531;-0,941834;-3,278508;1,037093;1,952251;-3,534747;2,473029;-3,022714;4,969024;4,77096;-2,38808;2,375116;-3,98045;3,306967;4,926565;-1,375819;-1,147313
2|TOP2|0,1127016|-1,767114;-2,291688;3,428209;0,2600269;-0,1022558;1,845329;0,229394;2,176069;-4,918832;2,388589;-1,511047;0,945354;4,862262;-4,716445;2,437909;-4,321761;-3,380519;2,352512;3,168949;-3,792646;1,770836;-3,886949;-3,068396;0,490437;-4,871169;-1,300395;0,7180591;-0,8080916;2,237213
3|TOP2|0,09456131|-1,96491;-0,4844828;-2,827146;2,274958;2,236581;-2,855961;2,427361;-2,225326;3,824854;3,174584;-4,355076;3,97398;-4,87075;-2,869445;4,281379;-3,118812;0,4734116;1,086552;4,934808;-4,050632;3,726094;-1,117685;-4,205395;1,363406;2,573562;1,053412;-2,630954;3,303289;-1,254128
4|TOP2|0,09310518|2,982703;0,9322662;-2,583524;-4,17778;-3,324505;-0,413074;1,309616;4,2617;1,488434;-3,776771;-4,193554;4,805624;0,2759118;0,6249504;-1,782384;0,1554041;-3,917016;0,6409354;-0,8231382;3,976855;-3,513845;-1,212948;-1,373916;-0,6043773;1,109895;-4,643439;-0,5384235;2,503882;1,035264
5|TOP2|0,0443316|-4,75622;-0,09807158;-3,95226;-1,208219;-3,440336;-4,532484;-4,804353;1,809816;2,320357;4,388908;1,158912;-2,545238;2,570644;0,7741661;-1,957398;-1,868927;0,7152014;-2,34118;0,7033019;2,079468;-0,7021947;-1,087525;-3,171909;-2,266689;3,347051;-2,633265;-2,547596;-2,910238;0,2361817
6|TOP2|0,02557771|-3,442148;4,783094;-4,392448;-4,763365;-1,386449;0,4843564;-1,104204;-2,595659;2,031604;1,09243;-4,672856;-4,394898;0,2656932;0,4383273;-3,813625;0,8333616;-3,87599;-1,207466;4,249324;-3,337956;-4,702463;-2,834287;-0,5817776;0,03945303;-1,539517;3,968094;-1,002478;-0,1177101;0,5264015
7|TOP2|0,0252556|-2,750232;1,77937;-3,189564;1,345667;-3,410586;0,5293159;0,4927354;-4,969439;-1,423135;0,5281944;-1,726397;2,081452;0,5677133;4,212852;-2,106845;-4,364912;3,288397;-4,654587;1,912513;-3,542128;3,415434;-2,855309;-0,32093;-1,499084;1,108854;-2,875976;-2,179478;1,576486;-0,3471236
