Generation: 1 | maxFitness: 0,2269851 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2269851
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
17|TOP2|0,01553039|-4,422446;-0,6524544;0,3522925;-1,974206;-4,746014;-2,78993;3,32599;-3,894301;-0,9256272;1,720337;-1,32375;-2,547169;4,825161;4,685184;-3,587091;-4,270367;2,807938;1,390231;-2,566327;2,355326;4,740852;4,823022;1,928129;2,40374;3,562989;-0,9560041;0,2392049;-2,786522;-1,529315
18|RandomParents|0,01548685|0,2817588;-1,731806;-4,151461;-4,294348;-2,170866;-0,498908;-2,681043;-1,16272;0,2519436;4,181012;-0,7169719;-1,583801;-3,264409;-3,645987;-2,839258;1,191607;1,069293;-2,400086;-3,987005;-4,043069;0,04567909;-2,279844;3,541837;3,27899;2,551452;-2,886266;-2,469383;2,305067;-4,696898
19|TOP2|0,01542475|-1,136071;0,2868848;1,854386;-1,796167;-3,793006;-2,828586;4,18483;0,9087496;-0,6916957;-3,564182;0,1074128;-3,032651;-3,671838;-4,227102;-2,948433;4,831127;4,259934;3,47798;-2,853922;2,335899;-4,941584;-3,245718;-3,884078;1,592777;4,838421;1,873528;2,417825;2,860203;-4,840022
20|TOP2|0,01501296|3,201002;-3,214705;2,604475;1,530823;-0,07109118;-4,542436;0,1719923;2,294205;-3,197483;2,7607;-2,762964;4,978928;1,571803;0,8906226;-2,708004;4,931544;0,04945087;-1,713943;2,514818;4,121447;3,134407;3,702594;3,251448;0,5724602;-4,125788;4,986835;-2,239964;4,935099;3,551943
21|TOP2|0,01499908|3,922563;-4,135303;-3,798556;0,5381994;-3,905502;0,4238815;1,288833;-4,811209;-2,068691;1,025045;1,914958;3,701118;-0,2259011;0,4638319;1,113684;-2,692109;-1,084075;-2,571731;2,16154;4,61319;-0,1526432;-4,998622;-3,855906;-1,795537;-1,252537;0,1449294;1,6409;1,667938;4,358856
22|RandomParents|0,01493915|-2,904813;3,104307;4,099455;-2,065671;-3,219999;2,653855;3,075477;-0,8168597;-4,42626;2,046301;1,839474;3,044896;-1,559801;-3,65061;-0,4734726;-1,246708;-3,952372;1,593941;-0,9135013;3,202698;3,575267;3,354118;1,027976;2,083136;0,6639724;1,843331;3,110826;3,286372;-2,965559
23|TOP2|0,0149384|0,1610665;-0,9553676;2,429495;-2,789402;-0,0230937;4,35638;-1,563346;-0,9361796;4,782013;-3,205886;-0,0870986;3,671964;0,6657596;-1,876471;-3,635188;3,137277;-1,083632;2,325311;3,109629;-4,998102;1,963929;-2,617516;4,968575;-2,549734;4,058639;4,320716;0,8613033;-0,9130116;-4,1033
24|TOP2|0,01483468|1,89216;-3,426046;4,509803;-1,105795;1,067243;-3,73538;2,478658;4,638057;-4,771523;3,626745;2,634596;2,401629;-3,121824;2,46143;0,8051343;0,7203455;-2,003223;4,984729;0,6655483;-2,004016;4,693184;3,044443;1,702096;-4,054956;-2,425665;-1,822665;1,313132;2,465683;0,4211302
25|TOP2|0,01483374|-1,002018;4,316761;-3,600523;-1,282602;1,817536;2,906369;-3,225054;-3,870733;-2,38786;3,086877;4,695654;4,055281;4,125422;-2,326211;-2,800925;-3,599195;-1,828625;0,945416;0,3046017;-3,187819;-4,256605;4,588927;-1,692737;-0,8003073;3,328911;-0,9446316;2,353203;-3,287206;2,44891
26|TOP2|0,01483294|0,4540305;-0,0502367;0,2034731;-4,575222;2,675103;-3,575602;-2,214329;1,791323;0,8906274;0,4888983;3,229605;-0,1204662;-3,24024;0,5790706;3,581566;3,242307;1,988664;1,010528;4,72128;-3,707386;-4,319105;-4,643741;1,305967;-0,8864541;0,2319722;-0,9791608;-0,2286024;1,917555;-2,130552
27|TOP2|0,01483208|1,083042;1,533197;-1,529929;1,231174;3,157936;-2,756048;-2,886381;-3,292188;2,724977;1,552625;3,087267;1,713416;-4,576925;-2,962274;-0,1124339;1,251594;-2,948512;-4,358814;0,8640509;2,943823;-4,448431;-1,787677;0,07272196;3,866979;2,529877;0,1437016;4,026596;-1,371901;1,712407
