Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2853018
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,25

Index|Brain Type|Fitness|BrainData
0|TOP2|0,2853018|2,74015;0,8518047;1,319559;3,921306;2,283539;0,7084937;1,8944;-3,401493;-4,78532;-1,308003;0,1986737;-2,1057;3,014917;3,542278;1,666927;-1,163542;2,058333;-0,04744816;-1,060867;2,373911;-2,790665;2,710229;4,051967;0,7628684;2,143083;-4,064011;4,642242;-4,128511;1,295208
1|TOP2|0,165791|4,445087;2,083117;-2,799455;-3,212438;4,573476;0,3913193;2,012852;0,5691533;3,823946;-3,624573;-2,381663;4,05048;-3,94878;2,110114;3,016053;-4,153113;3,315632;-3,880228;-4,726183;-0,760066;-3,286475;0,03989267;-1,116294;2,03186;-1,927106;-0,778758;2,926665;3,965164;1,068545
2|TotallyRandom|0,1479817|4,839358;-2,908821;0,6543593;-1,687445;-4,009929;-3,123949;-3,132784;4,632879;1,432304;3,731046;-4,978783;0,1938386;-3,829617;-4,911423;1,55932;4,270581;1,957263;-3,463374;-1,899629;-2,655154;-4,460603;-3,527405;3,393576;-4,542102;-0,4825444;-4,463836;-4,328039;2,30506;0,7607932
3|RandomParents|0,1268206|-3,427753;2,746802;4,175081;-0,2846642;1,815846;-0,4081969;3,602549;-0,3231292;4,581294;-1,076347;-2,510314;-2,716561;4,120813;-4,359171;2,787002;-4,961864;-1,925909;4,172945;1,509611;-0,3202252;3,386035;-2,743812;-1,325589;0,4878669;-3,719411;4,245434;-4,38707;3,139554;-2,368062
4|TOP2|0,1096815|0,221457;-0,9420567;3,635478;4,114442;3,223206;-0,199533;3,49593;-2,560952;2,1075;-4,930354;-3,156674;1,951095;-2,315869;2,37373;-3,396361;3,143324;2,967063;-0,6492834;-2,01435;-0,1663332;-3,189251;1,212233;2,024357;-3,816898;-0,2925162;-0,9436278;0,8693833;0,3123231;-1,584622
5|TOP2|0,1057329|-3,916224;4,094716;4,703535;1,52466;0,675519;-4,794221;-4,71067;-1,264822;-1,705973;1,791729;0,6691985;2,443933;-3,939079;0,6705947;0,03705692;-0,1910729;-2,180166;4,012786;-4,242249;-4,077339;1,856263;-0,6711035;4,12653;-2,72508;0,3421049;-2,397191;-2,606269;1,078721;-3,275997
6|TOP2|0,1017717|-0,4031043;3,587219;-4,083978;3,9812;-0,1589518;-3,233995;-3,958026;1,152446;4,073609;4,626882;0,3151746;-2,620411;-3,858454;-2,342813;-1,753842;-3,519249;-1,191852;3,316125;-1,604237;4,898237;-2,262337;0,9749012;0,8174663;-1,459821;-2,052398;2,686576;1,239357;-2,63265;0,5242152
