Generation: 1 | maxFitness: 0,1028593 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1028593
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,1028593|-2,486748;-2,748426;2,558297;1,386441;-0,5061002;-2,432065;4,971258;-3,227198;-4,347992;3,054881;-3,196631;2,811465;0,4530306;-3,324732;-0,4701109;-2,614558;-0,7137923;2,499399;-3,074898;-1,632309;-1,351836;1,203557;-2,752199;0,8448668;2,155624;-3,636428;1,922841;-0,05708408;-4,846927
1|TOP2|0,09536233|1,211772;2,028154;2,262858;4,959907;-4,468126;-3,595745;2,547405;-1,205048;1,024978;-0,07144403;-0,4411798;4,528607;2,879827;-2,413528;-2,694989;-0,7728558;2,265443;0,78865;-4,85922;2,167314;-2,192947;-4,994278;-1,908605;0,3221064;-3,581051;2,929535;3,227996;-4,82821;-1,61757
2|TOP2|0,09436906|2,360941;-0,08572054;-3,465421;-1,256222;-3,012388;-4,052843;1,16644;4,556638;-1,995682;4,387529;-0,484858;4,97787;1,95424;2,674797;2,825655;-2,506642;-4,943112;4,753661;3,981495;-0,1387973;4,752268;4,803197;-1,526266;-4,72402;-1,56981;-1,020675;-3,684757;3,668184;-0,2483101
3|TOP2|0,08889006|3,293;-4,422134;-4,127374;-2,704224;-4,640924;3,760413;-4,645853;-2,641598;-0,4655271;1,191315;0,667872;3,24528;0,03543329;0,4183798;3,76532;-1,640602;-1,697538;-4,205504;-4,554372;-4,525051;-0,831172;3,804961;-4,007019;1,063452;-0,8321209;0,6002312;-4,294987;3,463309;3,6957
4|RandomParents|0,06520505|-2,190558;-2,743833;-3,675344;-0,6774516;-2,657912;-2,183041;2,49023;-4,554356;0,8760672;3,165225;3,964026;-1,630414;-0,07272911;4,357349;3,982626;-0,6028013;2,085958;-0,6813912;-0,3279238;1,181441;4,090251;1,019527;1,846114;-1,537779;-2,531149;4,010813;1,085352;-4,326272;-3,235353
5|TOP2|0,03167592|-0,5846338;2,980929;-3,655422;-2,682186;-0,03862572;4,965821;-1,581316;1,19195;1,470795;-1,271169;-2,589841;3,251821;0,3628926;3,819237;-2,182746;-2,134827;-1,448214;4,070865;-3,574162;-3,095027;-4,449333;-4,402942;1,791856;-4,994126;-4,94708;4,016201;-1,005447;-1,031573;-4,56576
6|TOP2|0,03122715|-3,093703;-4,976007;-1,373171;-3,937763;0,2529378;-3,064219;3,848163;3,025914;-3,924913;-3,283203;1,844622;4,330191;4,663758;-0,9875493;4,122571;-4,970245;4,752109;1,561751;-4,906281;3,341671;3,610846;1,483238;1,291188;3,085586;3,306628;-4,066334;1,021843;-3,972652;0,6698031
7|TOP2|0,02978663|4,711155;-1,30115;1,441308;1,868927;-3,387514;-1,67948;-4,458642;1,703271;3,749299;-0,6464295;1,943646;3,914217;3,114553;0,2043729;-3,776914;2,821804;1,712084;-2,920452;-4,231894;-1,509826;4,410538;3,33485;3,498678;-0,3684311;-0,4674907;3,945936;-0,3096504;-1,198139;0,07608366
