Generation: 1 | maxFitness: 0,1454794 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1454794
N TotallyRandom: 20 | N RandomParents: 20 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1454794|3,470273;-2,025509;-1,812667;-3,955009;2,983871;-0,9909601;1,987704;4,818103;-1,789432;-3,39954;-1,803446;-0,235116;-0,3134756;-1,425483;4,292676;3,805511;-2,518602;-1,477837;2,704909;-1,963078;3,620142;-3,953531;-2,642144;0,4102273;-1,475912;-0,4715438;0,1968331;-1,598228;2,15597
1|TotallyRandom|0,1278815|-1,682051;-2,270104;2,063924;2,917892;1,51194;-3,370724;0,6670923;-2,476792;0,860198;-1,675369;-4,938143;0,9891481;3,74228;0,7756419;3,311493;2,355226;0,2326446;-0,3824182;1,618709;-2,134002;2,843386;-0,5409093;-1,100969;3,572025;0,6055312;-4,339953;3,010132;4,923087;-3,13692
2|TOP2|0,1220516|-1,424242;3,778945;4,412993;-4,509659;-4,581393;-2,016602;-0,2244778;4,325686;3,582736;2,722334;-3,507037;2,439752;4,647858;2,336207;-1,038136;-2,505002;-1,313664;1,444931;-2,113328;1,567016;1,077573;-3,528194;-3,622666;-1,287903;-4,564605;0,8808036;2,902046;-1,552599;-2,348335
3|TOP2|0,1090213|-4,285357;-0,1053138;2,307266;2,554226;-1,8153;0,5524807;-4,765142;2,446303;4,259586;-0,5723448;2,887764;1,353134;-3,151304;-4,138668;-4,66246;0,05126524;-0,1539178;0,5615921;0,369627;-3,944296;3,695061;4,619851;4,733647;0,1062698;-0,9308;4,194834;-0,01804638;-0,6743603;-1,625134
4|TotallyRandom|0,1015058|-4,472717;1,999635;3,63818;3,48749;-1,946051;3,850754;4,65987;0,6880932;2,797607;-0,5431004;3,632934;1,10769;3,158277;-0,2017136;-0,6539588;-2,948194;0,08162785;0,07528734;-3,289263;4,162527;0,5462379;-2,800175;1,313256;-3,95849;-0,2311988;4,48805;-2,200437;-1,642471;-1,31732
5|TotallyRandom|0,09948431|3,703023;-2,155464;1,204464;-3,385216;-0,5387683;-3,81904;1,986363;1,864028;1,894315;-1,17654;-2,571587;-0,2410131;2,372787;-2,606894;0,5763049;-3,192299;-4,688921;3,049394;-1,901339;3,814235;0,8434777;2,133687;-3,759659;1,140821;-2,439956;2,959632;2,874074;4,317476;2,287489
6|TotallyRandom|0,06083557|-4,064327;1,010532;2,08571;-4,184957;4,443297;4,173704;-3,095359;-1,469949;-1,020672;-1,270142;0,7044725;4,576797;-2,563888;1,187727;-4,214496;0,4840679;-2,708995;-3,363748;0,6039329;3,343835;-0,7247691;4,483562;-0,718854;-2,988744;-3,452153;2,269205;-3,592255;-1,343067;3,960696
7|RandomParents|0,03350016|1,427669;-3,974771;-2,157655;-3,225412;-3,088288;1,220421;3,029205;0,4111333;4,19015;-2,146619;1,393503;2,966499;1,767669;2,366625;-0,9978623;4,557869;4,662628;4,690477;2,031349;-4,667311;-2,727133;0,6469612;-1,423796;-4,917915;-3,35703;-4,507206;2,988887;4,230174;-1,647764
8|TOP2|0,02833127|-0,9454517;-2,639919;0,9549088;2,98305;1,356121;-2,668943;1,869426;-4,481635;0,1676421;-2,145703;-1,018024;1,810751;-0,4320221;4,391247;3,139162;-1,887843;-2,942133;0,8361344;-1,604192;-2,463475;-2,418232;2,057381;0,08641291;-2,572175;4,573503;2,160141;-2,379148;-0,989377;-1,640801
9|RandomParents|0,02435587|-2,017643;-2,978592;2,763429;3,402741;-2,711267;-0,74472;-0,8495994;0,4382391;2,446131;-4,753254;-1,574626;4,999204;-2,405793;-3,145399;-0,7781239;2,87293;1,234088;-0,6738858;1,30564;2,712195;4,871708;-0,3910608;-0,5552225;1,947071;-4,645709;3,454064;-1,836676;-3,494583;1,025155
10|RandomParents|0,02198265|1,312537;1,222182;-4,371313;-3,515416;-2,718977;-4,44891;-3,433199;-4,75767;-0,3099246;-3,363766;3,706046;-0,2790565;3,792695;0,4484577;3,830197;-4,76541;-4,370971;-4,541653;4,567699;-4,624439;3,015313;-2,834076;-0,8743687;1,727004;-0,1501565;0,346251;2,266327;3,086314;2,079177
11|RandomParents|0,02169297|-2,154594;3,509635;1,031298;-1,42797;-4,670714;-1,462236;-3,41178;-1,745644;1,112335;3,97326;-2,812674;0,1204805;-1,844833;3,315569;1,764774;-2,939139;-3,087042;-3,332314;3,451178;4,335258;-0,6582112;-0,3387971;2,194178;-0,4464502;4,787122;2,192331;4,085138;-1,655024;1,677077
12|TotallyRandom|0,02137784|-4,534719;-3,413163;-3,055005;-4,85844;4,775349;-1,785836;4,710042;-4,67517;0,9253387;0,3188901;1,186753;1,121057;-2,11236;2,227715;2,102312;-0,7299118;2,934602;-3,690697;3,074645;-4,740052;-2,901016;-2,15878;-4,060131;4,491928;3,632749;-0,4392929;2,411999;0,572495;2,296667
13|RandomParents|0,02081064|-1,322167;-4,914838;-2,18815;4,614635;-4,292152;-4,921021;-3,969594;-0,07070255;1,24684;3,165012;-2,343447;-0,1153727;4,982572;2,013745;-2,532863;1,887969;-4,560853;2,983572;0,8800955;3,720284;4,720788;-2,399964;0,7642002;2,898926;-4,066944;2,230221;-1,897882;-4,605727;3,124139
14|RandomParents|0,02066695|-4,162184;0,6499081;3,848256;1,304386;-0,4992647;-3,7007;-3,362914;2,176271;0,1160102;-2,839653;4,980823;-0,9017544;-3,132435;-2,234765;3,680198;4,819583;-4,595394;-4,68192;-4,87715;-4,008132;3,871427;-1,917994;-3,33434;4,801545;4,168206;3,475792;-1,942516;2,709856;3,323225
15|TotallyRandom|0,0206482|-1,128425;-2,50156;1,597421;0,3735538;1,251105;-0,6429358;1,790284;-0,3497343;3,649922;-3,813566;-1,748457;4,4909;-0,2544646;2,37556;-4,017441;3,115972;1,27072;-4,909637;1,801981;0,06099653;2,485101;3,682903;1,402416;-4,963546;0,7644649;3,670082;1,724514;0,613287;2,676938
16|RandomParents|0,02025495|0,9989376;-1,50341;-4,873396;-2,714253;-4,642874;-0,2759547;4,07715;-3,742838;-4,963068;2,814758;-3,542146;-3,295166;1,659509;3,563795;-0,3732996;-3,12775;-4,016518;-4,608459;1,615059;3,051291;-1,957336;-3,562798;3,231306;1,465971;0,673595;-2,317746;0,5983763;0,8857555;4,108764
17|RandomParents|0,01968804|-2,198747;4,556886;1,819742;2,559397;-0,753922;-0,5269032;-4,179168;3,352304;-1,503543;-3,769672;-3,184446;2,55513;-3,371524;0,03852558;3,171982;-4,847278;-3,142933;2,730265;-1,71619;-0,4406209;-2,006112;4,868385;1,142017;0,299818;3,684945;-2,697947;-0,283999;-3,683949;4,788471
18|RandomParents|0,01965072|-4,853612;3,125511;-2,842222;0,5208926;1,286597;-3,315515;2,719718;1,691142;4,359351;4,369621;1,445187;-1,799714;2,525299;0,6534772;2,987814;4,309608;-4,945354;-3,413305;-4,421909;-3,893743;1,319754;-4,103895;-2,422884;1,276809;-2,046483;0,1016622;1,794929;0,3751688;4,595087
19|RandomParents|0,01944012|-3,459109;-0,9116478;-3,79447;1,092678;-1,440141;4,228383;4,230533;3,132084;1,361902;-0,8677106;-2,691883;4,733633;-2,897593;0,7582874;-1,832903;-0,490324;-1,539175;1,966028;-4,376903;3,074747;-4,171034;3,27803;-1,027151;-1,248228;-0,06694031;0,9119968;-4,165421;-4,301085;0,3632979
20|TOP2|0,01856543|0,78548;0,1179891;0,1502986;2,374015;3,220261;-4,714695;-2,495734;-0,1043777;4,798552;1,04891;1,56772;-0,3230624;-4,417849;4,488201;-2,389721;3,528739;4,556856;-1,878485;3,944741;-0,02535391;4,614316;1,444796;-3,680696;0,1153679;0,8263116;2,98997;-0,5865602;-0,326293;-4,178402
21|TOP2|0,01853018|-2,137325;0,3680472;-2,115786;-0,8814473;-4,504652;-0,6621485;-3,148123;4,771523;2,590408;0,8297153;2,13326;-0,8542747;1,239182;3,857095;2,868407;-4,445086;-0,8279972;1,980013;2,308329;-4,648056;-1,613316;-0,1049643;0,9607964;0,6416278;-1,603612;-4,705266;2,050248;4,817977;1,795025
22|TotallyRandom|0,0181627|4,584272;-0,5225568;-3,993482;-1,509009;-0,3572111;-1,569869;2,983724;2,092315;-4,569355;-3,267125;4,606699;-3,28772;1,062703;0,9550519;2,989655;-1,195455;-2,367842;-3,261938;2,15343;-3,688462;-1,938335;-0,1079874;-3,911537;-0,03848505;-1,544797;2,353925;4,256988;2,000511;-0,9894471
23|RandomParents|0,01809929|-2,380893;-4,492353;-0,2676659;1,141703;3,659272;0,9094744;2,901356;-0,5282145;-2,373593;0,1202683;-2,17623;-2,151131;-4,388957;0,3963642;2,797585;4,771969;-3,842947;2,092338;0,02690744;0,1419277;-4,941516;-2,664648;-0,7351809;0,6457334;-0,160913;-1,827111;3,699041;1,612693;4,505501
24|RandomParents|0,01799301|-3,713689;-4,898458;0,6705661;1,039482;-3,79838;4,815675;1,765826;2,77179;1,904014;4,07535;-1,308072;4,884272;-3,346557;-3,770791;0,9323568;4,09922;0,1564713;-0,3631229;3,090168;2,090108;-0,716476;3,333739;4,350053;-3,898888;-0,1527328;-2,956879;3,142399;2,963817;-1,647082
25|TotallyRandom|0,01798644|4,808301;4,109902;-3,719818;2,19516;-0,89467;-0,2955155;-1,816459;3,404796;4,295792;0,4289861;0,1195674;0,9188719;0,1928596;3,677159;-2,538928;-4,728375;2,884982;-1,112062;-2,414341;-0,7599049;2,513256;3,917801;0,5534081;-0,2984304;-1,344116;2,922884;1,911372;-3,275381;1,437383
26|RandomParents|0,01798621|1,159052;-2,872813;-0,3797774;4,148482;2,104266;1,827714;4,861459;-2,172489;-1,856013;3,225353;-1,707594;-3,243512;-2,476873;0,5475693;1,942506;-1,316879;-2,166179;0,2536983;0,8806105;1,267909;-3,727299;1,093456;-0,3906589;3,994816;2,11798;1,815176;1,679653;-1,304799;4,966642
27|TotallyRandom|0,01798617|4,861731;1,310271;3,876619;-4,524036;-0,8368821;4,650964;-2,536999;-2,588863;-4,99544;2,113166;-3,55813;0,8625059;0,116065;-2,042335;1,863292;-2,006621;-3,82443;2,25253;-0,4723067;-3,227315;-2,337723;4,226436;-1,551482;-2,401324;0,8124204;2,236546;-0,1109643;-0,6223555;-0,9051733
28|TotallyRandom|0,01798388|-0,1526909;-0,9590764;2,340082;0,8814259;-1,016839;-0,7476087;-3,986249;-3,651171;3,216676;1,594867;2,593707;-4,788875;2,459319;1,048308;-4,074999;4,429345;1,914444;-3,511662;2,982953;4,292979;-3,544618;-1,383245;1,299237;1,518946;3,194281;-4,984768;-2,762051;4,106495;-2,558559
29|RandomParents|0,01798276|-3,756386;-4,333097;4,39372;-2,519046;-3,054005;4,780113;-2,689912;2,317814;2,271287;3,626614;2,890509;-3,414334;2,91521;-4,939854;1,976262;4,812969;4,634573;-3,094791;4,456557;2,200012;2,254465;1,895848;4,058846;-3,353779;0,8712478;-0,4014306;0,06014633;1,973417;2,79838
30|TotallyRandom|0,01798052|-1,478062;2,882782;-3,766639;-4,712204;-1,227444;4,014871;2,816483;-4,448575;2,219964;3,367914;2,595223;-2,08342;-1,721857;-4,250381;3,803848;-3,833626;3,213958;-2,320628;1,740126;3,634417;4,586726;3,870968;3,747427;4,258541;-0,3670545;0,3780274;4,911257;0,03039312;-0,6242805
