Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1866976
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,25

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1866976|-1,672315;1,977301;-1,723296;-0,6205468;-0,02707529;-0,8533769;-1,243231;-4,999209;2,773582;1,999416;-2,001603;4,877061;3,952098;0,3738384;-2,2909;-1,227379;4,591931;-0,7422276;4,297291;0,3784471;-2,477911;4,802008;2,692542;-4,961599;3,0016;-1,802706;-0,5634909;0,6972022;-0,1526756
1|TotallyRandom|0,157567|0,4464407;-1,662536;1,53346;-4,721577;-2,429034;2,642914;-0,7345133;-0,2804904;-4,402115;-4,972905;1,340204;1,361276;0,9506435;-0,07562208;4,137078;1,520086;4,358881;-4,761573;-4,599434;0,6330938;-0,4876904;2,792066;-1,086795;-2,329648;-4,369539;-3,014109;1,407596;-1,906962;1,525782
2|TOP2|0,1217965|-3,943445;3,885981;-2,039826;4,668472;-4,01523;4,214387;0,08441639;0,5951829;-3,771126;4,661459;-1,828936;-2,902275;-3,813497;-1,727882;3,273085;-1,045975;-3,37516;-3,820581;-3,382369;-0,4990931;-2,29114;0,04489231;2,086167;3,475808;4,869699;-2,777868;0,1003485;-1,031126;1,081998
3|TOP2|0,09255511|2,172127;-3,781239;0,9655266;-2,744454;4,006891;1,875876;0,8798079;-1,42925;2,999969;0,961967;-1,939137;4,866766;1,879119;2,901611;-4,299502;1,926269;-3,845043;-3,008299;-4,155597;-0,7448106;2,266637;-0,6187673;0,07107306;1,74479;4,665165;-0,5166798;1,428296;-3,981651;-0,06741095
4|TOP2|0,07834599|2,51048;-0,7043476;4,126753;-0,7984619;-0,4962392;1,110058;-0,1203065;-3,380151;-3,564434;2,082788;-1,365084;0,8378773;4,077205;1,033742;-1,127699;1,577301;3,439765;-1,111801;4,839844;-4,22686;-4,000731;-4,972409;-4,69453;-4,152862;-3,765805;-0,2590866;-1,334087;1,009941;-4,059978
5|TOP2|0,07800879|-0,7035036;-2,64187;-4,98484;1,612509;1,330337;-2,387881;-3,520213;2,486034;-1,006463;2,541313;-2,281672;1,755478;3,355161;1,860991;0,6761603;4,595627;1,770031;2,254705;-3,553529;-1,273983;4,555312;2,633241;-0,3296714;-1,125236;3,599625;1,911876;2,084701;4,460336;-1,515457
6|RandomParents|0,02587733|-3,874271;-2,628502;2,856298;4,35677;-3,034295;3,780103;2,795261;3,915845;-2,236642;-2,278077;2,078907;0,2995305;-0,3669567;-3,816466;-3,839532;4,971337;-0,991127;-4,06458;3,200617;3,574034;-3,366417;1,473278;0,6121688;-3,445802;1,61324;-0,6330628;2,836557;2,701486;-2,72306
