Generation: 1 | maxFitness: 0,1689455 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1689455
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,4

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,1689455|2,359374;0,447547;-3,391399;-2,297019;-3,366746;-4,518823;-1,784181;-2,689265;3,856528;2,925894;-2,364974;-4,201572;3,002386;3,442734;1,356143;4,717154;-2,200804;3,018196;0,1651959;-3,021617;0,8356194;0,8522172;-1,68675;1,911814;4,696698;-1,658284;-2,777592;3,447948;-0,3148646
1|TOP2|0,1638124|1,608224;1,495603;1,162123;-4,288284;2,451552;-1,384802;-0,4995985;-1,526173;-2,290353;1,626953;-2,930062;-2,148986;-3,012102;-0,5902152;-0,9563022;-2,889574;-4,140702;-1,065833;-4,949787;-1,590371;-1,28293;-3,794007;-1,25803;-4,810687;1,007821;-3,085164;2,953658;-1,910968;-1,253796
2|TOP2|0,1178963|1,943936;-0,7125502;3,109284;-1,096557;3,427361;-2,724097;-2,203176;-0,06249475;3,756324;-0,6019421;-2,818164;1,500798;4,116413;3,398343;-0,2369328;-2,790953;4,20884;3,603338;3,576455;-3,484406;-3,154417;-1,797361;3,970986;-4,01177;-4,718423;2,942265;4,452446;4,433323;1,296346
3|RandomParents|0,106519|-2,169837;2,10391;2,934823;2,400123;-4,883007;2,424753;3,981795;-1,477354;-2,230871;-2,656195;-4,668148;-2,125106;-0,3515072;1,761628;-1,713209;0,5054231;-2,886965;-3,846836;-2,114424;-4,585271;0,8361287;-0,8201079;0,07354546;1,723592;1,866728;1,907675;1,711769;4,207973;-2,878672
4|TOP2|0,09822236|-3,354269;1,502273;-2,017222;3,030899;2,27371;1,062803;-3,948261;3,45122;-2,663369;-1,690982;-0,2369146;-1,080472;3,240237;-1,18001;-3,911338;-0,9385757;4,246278;1,495229;4,881746;-4,764457;0,9158974;2,622708;3,95977;2,048755;4,105755;1,036968;-4,670126;1,189553;-4,751969
5|TotallyRandom|0,09224236|-3,045224;0,5183535;3,959918;0,9216099;4,704176;0,492403;-0,6204267;-2,443566;1,772414;3,188689;2,312475;-1,935766;4,916745;2,825747;4,766864;-4,694771;0,338078;-4,53739;4,545515;4,056197;-1,305897;-0,6188912;4,249126;1,817179;3,451877;2,495013;-4,544482;3,063285;-4,13353
6|TOP2|0,07620227|-4,125136;-2,339243;4,13784;1,629719;-0,2355714;2,204236;3,722996;-0,9216576;-1,46843;3,657911;-3,619286;-2,229212;1,832802;-1,927363;3,208236;-3,65519;1,654386;2,659839;4,372015;-2,109026;2,374454;-4,331057;3,059505;-3,21225;0,06110716;-1,145561;3,002276;3,925128;-3,482429
7|TOP2|0,06854587|-2,703218;1,521669;-4,960793;2,918566;-4,277044;1,19173;-4,003828;1,531734;0,1900549;-4,524426;-1,855466;2,038492;-4,514646;4,528299;4,616393;-0,2001886;-4,659313;4,495968;-2,775012;-0,5790348;-0,6942301;2,075486;2,055066;2,708488;1,979904;-2,907374;4,549343;-0,1213555;-3,391315
8|TOP2|0,05502951|-0,2744956;-0,6803708;2,759269;-1,227236;-3,265836;-1,298859;0,6219726;-3,398608;-3,576964;-1,086352;-2,016661;3,761731;3,694955;2,617432;-2,881405;0,8273072;1,389081;3,267616;2,340472;-2,908144;-0,4617267;-0,004775047;-2,951701;3,747183;-1,831348;3,502247;1,887852;-1,717256;-0,1771779
9|TOP2|0,02943168|-3,926382;-4,829292;-0,03840494;-1,779015;4,000267;-3,19651;1,402072;2,712475;4,688004;-0,289175;3,061325;-1,230468;2,399135;-1,136427;-0,8109374;1,495324;3,064094;-1,340851;1,583167;3,294495;-2,281547;1,048513;-1,906468;-1,294582;-1,855381;-4,302302;3,041332;-4,227394;0,8579226
10|TOP2|0,02940362|-1,967628;-2,119455;1,226664;-3,94071;2,046551;4,376159;1,483807;4,231882;-4,639564;0,4423947;4,336086;4,745741;-4,767419;0,9528918;4,510934;3,86539;4,316229;-4,350218;2,34197;-2,350102;4,265123;3,940974;4,331581;3,135553;-2,935573;-2,201888;-0,7607217;1,827035;4,354715
11|TotallyRandom|0,02153622|-2,470601;-3,622603;2,271033;-0,3842754;1,990399;-3,116688;4,453059;-0,7664781;-1,288106;-2,872908;-0,8921628;0,9392672;-1,070738;-3,488075;3,065187;-2,75598;1,802536;4,592772;0,9938221;-0,5883627;3,891201;-3,052604;-4,451221;-3,238158;4,291306;-0,1235108;2,596824;1,724841;1,039171
12|TOP2|0,01973483|2,622122;-3,260191;1,151742;-0,8299642;-2,317099;2,243934;2,365538;0,2776308;4,784112;0,1823239;-2,411134;-1,78718;-4,398161;-4,844237;3,976137;2,967958;-2,167453;2,048508;4,197332;1,049111;4,345302;1,573812;-3,881497;1,134171;-3,640537;-0,06908846;-4,52833;2,484106;-3,667918
13|TOP2|0,01900699|-3,936429;-2,771641;-3,377659;-2,486563;-4,747843;4,376029;0,6107731;-4,205818;-0,4155283;1,498195;-1,791944;1,783199;3,731552;-0,1027317;-1,925461;-1,564286;4,919391;-1,716691;2,664852;-1,355339;4,548215;-3,470807;-4,669479;2,633536;-2,019871;-4,350515;2,644292;-0,7033663;-1,017513
14|RandomParents|0,01866304|-0,4244442;-1,766588;0,02626133;3,694028;-0,6223445;-2,486351;-1,381367;-1,58102;-4,616361;-4,934399;-0,2115541;4,419432;3,621252;-1,299646;-0,6035919;-4,449039;3,000914;1,753905;3,121618;-1,787615;1,325003;3,961619;2,811244;3,444472;-0,4600234;-1,959719;2,775662;3,599622;2,626494
15|TOP2|0,01809169|-4,629493;0,6448455;3,494999;-3,981248;-1,101375;-1,053836;-4,577628;-0,815701;-3,184137;-4,509901;-4,650726;-4,674531;-0,2773685;-2,174914;-1,207954;2,192396;3,929341;3,978506;0,07667828;2,103415;0,2466493;1,118274;4,359081;-3,076484;3,844694;4,971352;4,215183;-3,699947;3,136753
16|TOP2|0,01806248|-3,655883;4,616538;1,350682;-1,806972;1,595445;2,35798;-2,239556;-1,060361;-0,6504173;-0,9610062;0,636683;0,07626247;-3,832453;4,635406;-4,277157;-0,4930096;4,453302;3,336237;-2,593809;-4,392101;-3,357088;-0,8645992;-4,291533;2,814426;3,285676;2,258216;-0,5085154;-0,1601319;2,619205
