Generation: 1 | maxFitness: 0,2720931 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2720931
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,2720931|3,791244;0,1783509;0,9408002;-2,44171;-3,142557;-0,4544454;2,622473;-2,719866;0,6539459;4,558829;3,288022;2,036475;-1,969655;-1,988259;0,2569513;-3,408452;-0,6052475;-4,773342;1,966784;-4,883951;0,6384377;3,932866;1,067312;-0,6721945;2,889705;1,942088;-2,327427;2,848949;1,088392
1|TOP2|0,1035455|-0,5126686;-4,610012;0,316432;-3,22019;1,96328;0,5024295;3,609148;-3,799703;4,894332;0,8275847;3,073904;0,200016;-4,757126;1,413427;-1,570653;-0,4483776;3,979374;0,3077703;-3,434294;3,124939;4,91496;-0,8223562;-3,832822;-0,6588311;2,647854;2,683109;0,3724546;-4,328208;-0,6387539
2|TOP2|0,09548567|-0,7194347;3,539982;-4,856864;-3,91242;-1,272456;0,1755528;-3,805901;-4,070461;3,934422;4,013394;4,455619;-1,215465;-1,186463;-2,994443;0,489922;-1,973434;3,133114;-0,7526822;-1,043272;4,087583;3,67071;2,314168;-0,5209012;-3,650107;1,82981;-3,566181;-2,903076;2,080636;1,175906
3|TOP2|0,09080633|2,770658;-1,142148;-0,1358552;-4,595127;3,018939;2,672115;-1,994364;2,093968;-3,886519;-1,176207;-3,553205;1,421899;-4,206805;-1,542251;-4,170418;1,588603;1,230406;-0,4218798;4,622073;-4,041636;0,5516653;-2,250453;-1,20158;-1,573501;-3,198909;-0,5874796;1,403464;-1,490438;0,7983489
4|TotallyRandom|0,08541046|-4,973328;-2,94629;-2,269941;0,1930861;-2,919071;-4,356014;0,1000886;-2,118608;4,857893;-0,4800897;2,853681;-2,339022;-4,559076;2,53354;4,271846;-0,5607276;-0,1061373;-0,7501693;3,781036;-4,079865;2,881723;-3,051827;4,352809;4,337831;-2,295003;3,74838;0,04794884;2,155624;-4,677964
5|TOP2|0,08403099|-0,1005583;-4,690608;4,827212;-0,01284075;0,3153796;4,293375;-3,550892;-4,695758;0,4726748;1,562835;-2,775732;4,719724;-3,647623;-2,020933;-0,3310127;0,3315372;1,521296;2,929984;1,844383;-2,14616;3,653493;-3,84501;-1,452644;4,198944;1,780999;-2,041228;1,305531;4,321337;3,170721
6|TOP2|0,07914203|2,451485;3,345546;3,392826;-3,223895;-2,918736;-4,762315;-0,4184837;1,214121;-1,478522;-2,413535;-4,711713;-3,557548;2,178514;-2,198994;1,220727;-2,604465;-1,994972;4,043597;-0,3252463;2,476448;3,836159;0,384459;-3,279833;2,998226;-1,716888;1,089103;2,847715;-3,614167;1,061394
7|TOP2|0,06220075|2,76814;-3,434243;-2,676772;-3,296762;-4,361291;-4,21265;3,059287;-2,830606;2,104255;-3,121946;3,897609;-0,6852155;-0,4836054;4,628748;-4,979173;-1,517689;4,611959;-3,709545;-2,560561;-0,5761356;4,341501;-0,5055852;-4,504074;1,084697;4,355803;-3,723649;-2,779087;-3,243057;-0,1851301
