Generation: 1 | maxFitness: 0,3082468 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,3082468
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,3082468|-1,71611;-1,046441;-3,586857;2,741803;2,370152;-4,913128;0,09677935;-0,251996;4,122465;3,943428;2,683905;0,3987293;-1,961438;1,947827;-3,285357;3,689607;4,533255;-4,869551;-2,090144;-2,619849;3,984009;2,347462;-3,445503;2,384657;-4,612817;-1,088174;4,467001;0,4266553;-3,081171
1|TOP2|0,2627622|1,103755;3,883425;-0,4989691;0,9183474;-3,407331;-1,494647;-4,970679;-0,3935404;-1,309375;3,014073;-0,4789405;-3,241611;0,3697138;-2,421439;3,225541;1,508485;2,670078;0,6490641;-1,4479;1,490851;-4,138393;4,469719;-0,4029889;2,686172;0,7800336;-1,666277;0,8352189;-1,482098;2,802833
2|TotallyRandom|0,1653802|-2,010607;2,933607;0,7328124;-0,8490343;2,026964;-2,980592;1,395249;-1,149471;-4,323935;4,780684;-1,746846;-1,739268;-0,0836544;0,523767;-1,146988;2,913673;-3,417297;4,393341;-4,034035;4,298505;-3,049074;-1,771188;-4,338646;0,6646795;0,2400417;-4,037333;2,898253;-0,9618764;3,643478
3|TOP2|0,119496|4,401092;4,175711;3,34011;-1,415568;-0,576498;4,106956;-0,9626169;-4,192258;-0,7211084;0,2664204;-3,408623;-1,627095;-2,014549;-1,695349;3,545593;-2,522435;2,940036;-3,450537;4,666504;-2,437133;3,677246;3,957314;-2,458685;1,067612;1,302595;-0,6301446;-2,52935;0,7713513;-1,946501
4|TOP2|0,1156202|1,068151;-2,353224;3,566675;3,664882;3,406152;-3,526887;1,1945;-4,822018;-0,7112117;2,866797;2,05166;-1,885168;2,98955;4,056261;2,413434;-3,079796;-1,196358;-4,197434;-0,1793342;-2,535726;-2,628121;-1,87869;3,975794;-3,240898;-3,298024;0,9113927;2,236416;3,408304;-3,889075
5|TOP2|0,09844593|0,9686775;1,815625;-3,401237;0,7486458;3,114663;3,916197;-4,265308;-0,3568487;-0,1104717;2,647322;-1,959908;2,619126;-2,326173;-1,655225;4,761779;-0,6020517;1,633411;-4,762211;3,747997;3,974529;3,345524;-2,906029;1,028026;-3,013942;0,1010566;2,352276;0,7361884;-3,129922;-2,060926
6|RandomParents|0,09322718|3,811601;2,725639;1,486727;2,341964;-4,312656;-1,158094;-0,3651814;-0,1161904;-4,667292;1,287874;4,216991;1,404672;-2,173317;-2,938511;-0,9953256;4,590147;4,338498;1,85956;-0,2555103;-0,2764945;4,416781;-0,4968734;1,131596;-3,932738;3,82702;-2,54418;1,984533;-3,241714;1,293396
7|TotallyRandom|0,09210254|-0,7447357;-2,928892;1,917465;3,472558;-4,711061;-3,528786;1,886946;-1,958948;0,2546902;0,5569963;-2,131416;-0,7718868;-3,212021;1,728706;-3,071629;0,3287501;2,772357;1,661944;2,585169;3,569753;1,329497;2,53124;-2,518399;0,5159278;0,3060942;-1,540164;-0,2229338;4,859124;-1,44595
