Generation: 1 | maxFitness: 0,2957542 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2957542
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,2957542|1,619506;-3,198833;3,074511;-0,8056278;4,787492;-1,577954;-0,6681256;3,545103;2,471633;0,1452713;-3,676075;-0,332963;-3,254812;2,425588;-4,95531;4,140182;1,757786;0,9765248;4,533464;2,275759;0,5353742;-0,7638817;-4,571481;1,439219;-3,751782;1,223789;3,894392;1,959994;3,865107
1|TOP2|0,2446512|-0,6010361;-4,805056;-4,638054;3,828609;-4,087806;3,799556;0,9253149;4,452129;-4,111206;-3,852005;-4,513297;1,720508;-4,678329;3,925565;-2,467483;2,1087;-3,473099;3,52147;4,78282;2,395635;-3,725685;-2,624703;2,533642;-4,098939;-2,036357;-0,706368;-3,203269;4,926554;-1,664172
2|TOP2|0,1073663|-1,04474;-3,788222;3,82885;-2,306297;2,512592;-0,4742999;-3,828226;3,286513;4,136477;-2,119565;-3,096699;-2,837568;3,801528;-4,859428;-4,953444;-1,919346;-1,06919;3,66556;2,078529;2,994988;2,25563;1,382297;4,149232;0,3987212;-2,962081;-0,8036108;-1,715081;2,876159;4,579572
3|TOP2|0,08979037|4,093079;2,143589;-2,110905;-1,917707;-3,492495;-3,680674;-3,268349;-4,021183;-1,056082;0,103435;-0,08808327;-4,947687;-0,9315391;-2,149064;-3,671761;-1,725393;-0,7908516;4,770792;2,199486;3,590684;-0,6828327;-1,08812;-4,801965;-2,446216;-4,157599;-2,776217;2,237768;-0,7133799;1,025447
4|RandomParents|0,08892717|-0,6591053;-0,1378779;2,125381;0,101438;0,1266928;3,233484;-4,733103;0,2848334;-4,058209;0,4919057;-2,568497;3,544143;1,487926;1,109292;-3,191442;-0,03971386;2,123655;3,967695;-0,05838203;-3,392858;-2,806451;3,078458;-1,60472;1,482835;-2,724578;-1,740951;2,662849;1,674852;4,394039
5|TotallyRandom|0,08115792|-4,030505;-2,555036;0,11342;0,7286768;-0,2124934;-4,744744;3,055506;-0,3111048;-2,203876;2,795789;-0,04077625;-3,521635;3,901737;1,974603;3,074347;4,704776;-1,212485;-2,173558;4,291983;-3,152632;-4,808199;-1,67487;0,07427883;-1,350425;-0,109014;-1,480914;-1,762528;1,172032;-1,4375
6|TotallyRandom|0,06179856|0,5043383;1,669737;-4,907364;0,1062922;-3,574445;1,820803;-0,7017426;1,130657;3,041291;1,617958;-2,031693;4,994674;3,777188;4,002652;3,392707;2,235842;0,2063351;-0,8716888;-2,001822;-4,813615;-1,271375;2,418648;2,115135;2,090149;-3,6082;1,78491;-4,296746;3,053795;-4,137464
7|TOP2|0,02924988|3,976742;4,833246;-2,480956;-4,227523;2,439573;-2,741257;3,486705;-2,185545;3,783946;0,8841138;-4,738507;4,319414;4,185534;0,6572695;0,7074447;-0,07943678;-2,704122;0,6131368;3,395731;-4,068953;4,947291;1,083441;-2,433781;-2,252166;-0,3681417;0,7861609;-4,299995;3,741329;1,20276
