Generation: 1 | maxFitness: 0,2189263 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2189263
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TotallyRandom|0,2189263|2,728856;-4,609465;-1,704112;-2,703705;-1,503114;-4,693394;1,5505;-1,034644;-4,779244;1,2394;0,6540112;2,387934;0,1660137;0,52772;1,226954;4,00774;1,197493;3,02055;-2,656585;-1,578073;1,732703;-4,768763;-2,818938;-1,574199;-2,543972;2,75053;-2,430106;-2,655782;3,206356
1|TotallyRandom|0,09984145|1,347225;0,6327419;0,05742741;-0,9112625;2,577357;-2,271419;0,2617435;-2,566113;-0,2435117;4,28508;-2,639402;3,82909;0,3607817;-0,1636939;2,603343;-1,572845;-4,809341;-4,796796;2,921406;-2,367162;0,04675436;0,704164;-2,540771;1,944324;-1,111329;-4,382839;-1,203402;3,23514;1,975857
2|TOP2|0,08876783|3,567725;-1,012815;1,223121;-4,647751;3,032939;-4,402208;0,7564549;-2,82558;-1,148811;0,9823756;2,84268;-2,399101;-1,455045;2,813235;-4,238676;-3,579895;-3,256912;4,156183;3,587214;-4,565443;3,232422;-0,6200094;4,186035;2,157872;-1,319391;2,747328;-0,4036088;3,633164;1,679726
3|TOP2|0,08658616|-3,118793;3,71913;-4,326803;4,643737;0,8502717;2,706369;-4,389133;-2,664343;-4,49896;-1,188765;-4,468598;3,889423;0,1120586;-3,927823;-3,641748;-3,300942;4,537648;-3,358319;0,9693785;-2,232144;-4,195338;-1,490211;2,034864;3,474514;3,172106;-2,111757;-4,0173;-1,309884;-2,802596
4|TOP2|0,07191483|-3,032276;-2,086893;1,533037;4,954892;-3,54721;4,774928;-3,568132;0,4723616;-1,950062;2,327566;-0,3427057;-1,722469;-1,932418;3,043346;-2,888465;-4,558969;-0,1039891;-4,575969;4,184401;2,598437;0,7020955;-1,485407;3,047498;-4,276234;-0,9753485;-0,04496622;4,270411;-2,974439;-1,516747
5|TOP2|0,06350679|-2,600011;2,629467;3,720809;2,333365;0,07249546;-4,713807;1,177887;2,529749;-2,46654;-1,605889;0,5789332;4,701692;1,537734;-4,917312;3,169926;-3,857332;0,2694421;2,075624;0,5862265;4,682178;4,111253;0,3128319;-0,4515738;0,2107458;-0,9566264;4,456884;-4,147259;3,63111;0,157506
6|TOP2|0,05391231|-3,975452;-3,960124;-4,809776;4,906143;-1,618478;-2,373353;0,9941177;2,122711;1,927911;0,2772398;-4,04656;-1,159958;-1,130012;-2,047368;-3,552481;-3,350518;-2,58586;-1,852577;2,115353;-1,183546;0,6808634;-4,352417;2,899578;4,123504;3,122045;-2,198464;-0,72856;3,265763;-2,778536
7|TOP2|0,0320642|-1,789563;4,464743;4,689879;-4,411383;3,295582;1,347868;2,330933;-4,45649;-1,975691;0,7525687;0,9865923;2,533062;2,086187;-3,291838;0,2175694;-2,722573;3,282603;3,561667;-3,307673;3,148504;1,80717;-0,1290126;4,214736;1,141015;-2,305557;-3,176455;3,472233;-0,7857723;4,060248
