Generation: 1 | maxFitness: 0,268136 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,268136
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,268136|-4,527578;4,609929;-0,1228948;3,742933;-0,8388786;1,024428;-0,4529519;0,3258376;1,23524;-3,971891;1,48007;2,052033;2,041386;0,2061028;3,994944;-4,160467;-0,6728477;1,016949;0,5213671;-2,173757;-2,595747;3,179123;-2,338169;2,677133;1,91763;1,795391;2,191284;3,250696;-1,306808
1|TOP2|0,1936386|-1,521821;-2,233736;1,523263;-2,509483;3,403131;-0,7132883;-1,771664;-4,252673;1,087696;3,002048;0,1811414;-1,099661;-0,6073217;-1,787541;-4,882118;4,014615;1,781058;1,167278;-2,399568;3,121089;3,181593;4,601418;0,03539848;1,537252;-0,96772;3,776511;-1,892473;-0,4234629;1,266008
2|TOP2|0,1364274|2,49391;3,219396;1,332277;-3,590582;4,850714;3,965392;-2,420485;-4,814406;1,303716;2,684017;0,4366713;-3,67127;0,861661;-0,3894024;3,12165;-1,511591;-2,992121;-2,109659;0,8675785;1,190472;-3,012877;2,184235;-1,512024;-3,539262;4,091581;-2,842818;-1,410814;-4,633528;4,753771
3|TOP2|0,1201284|-1,320315;-0,4636412;-0,9175463;-1,491255;-1,040515;-1,860067;3,191704;0,9295459;-1,210356;-0,6648345;1,171585;1,878424;2,684059;-2,20882;-3,980785;4,68369;2,123961;-3,403401;2,703375;4,844505;-4,833471;2,886854;-2,066172;3,21356;4,582054;0,1203113;-1,487121;-3,184711;3,449899
4|RandomParents|0,1053599|-0,5225782;2,649392;4,118409;-3,561226;0,748096;-3,419175;-4,210369;1,97347;4,136679;2,170115;-1,997376;2,70411;-1,267524;-3,491634;-4,647025;1,332531;-0,609303;3,748217;2,655315;-4,166721;3,731989;-0,4689817;3,52874;0,5083866;-2,037817;2,353117;1,24988;-4,503971;0,738184
5|TOP2|0,1013271|-4,695761;-3,420242;-1,235785;2,054582;-4,181246;-0,2922673;-1,111169;-1,123611;-1,614857;4,982743;-3,006577;2,69837;2,026919;3,661936;3,910618;4,093795;3,092666;0,05692291;-2,999648;-3,789234;-0,4832501;1,983145;-0,0539608;-4,839296;0,008595467;-2,451066;3,806542;-1,144752;-1,982704
6|RandomParents|0,09956863|4,295454;-3,642482;2,438832;3,253286;4,598413;3,630434;3,101551;4,548998;0,518002;3,813001;-4,839457;-3,020712;1,919361;1,939291;1,147168;3,506939;-4,792797;3,533469;-3,50297;-2,430439;0,8147449;-3,659971;0,8057923;2,230076;-0,57198;-3,521557;4,797975;-1,352001;-1,555784
7|TotallyRandom|0,08910397|2,143854;-2,912518;-1,724108;-4,479971;0,9639235;3,099716;-0,2225618;-0,6471019;-0,3754492;-1,94163;1,115131;1,464747;4,427891;0,8499484;-0,8417659;2,173959;-3,823187;1,027701;-3,521663;-2,626723;3,694258;-3,301268;0,8735304;3,345151;1,356591;0,1618319;-2,769871;0,7813497;1,260077
