Generation: 1 | maxFitness: 0,1776364 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1776364
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TotallyRandom|0,1776364|1,057053;-2,240966;-0,07815886;-2,590794;4,85794;3,203858;-2,161793;-4,212407;1,835081;-4,167566;0,3260489;1,865737;-0,4851933;3,454244;0,1998787;1,075776;4,943996;-3,128226;1,68172;-1,571509;1,329795;-4,595428;-4,83886;-1,599153;-4,471138;-3,701706;-3,132625;3,498769;4,89911
1|TOP2|0,1691128|-0,435843;-1,221821;3,44461;1,865687;0,5690308;2,541473;2,037191;1,362946;1,554421;4,065268;-2,722555;2,424984;-0,6286149;-3,455782;-2,96855;4,301754;1,122453;-1,392498;0,7636971;0,7532768;-4,848303;-3,911653;-2,465796;2,068541;-2,029821;4,100417;2,112661;-3,930714;1,283263
2|TOP2|0,1045077|-3,902412;-0,4943342;-0,8807464;1,301474;0,764677;-4,059812;-3,920239;-3,994711;-1,946661;-0,8105059;3,90296;-3,950067;-4,906855;-2,809844;-4,562366;0,1215463;-4,449149;2,478775;1,271427;0,9156017;0,2774138;0,5798645;4,541684;2,972262;1,96018;-2,15663;4,574896;-4,50193;-3,649969
3|TOP2|0,09631126|1,812605;-4,172363;-3,394938;0,2837033;4,853046;4,899698;-4,014874;-3,020476;-1,782586;2,21909;-3,048562;-0,3946285;1,160667;-0,2393837;0,8651896;-2,871123;0,1614256;-4,513392;-4,923021;0,4720612;2,540354;-3,684992;3,741232;-4,348669;-0,7841392;1,62972;-2,614974;1,457047;2,749081
4|TOP2|0,09374844|-0,3716393;-2,455008;-1,371038;1,592505;-4,709487;2,345471;-1,704602;-1,341537;0,9954863;-3,808382;-2,660911;-2,679505;0,7679157;-0,441391;0,4209285;-2,232029;2,745355;-0,7239909;-3,894916;-4,085682;1,629151;-3,672545;-3,886654;-1,782879;0,2962022;4,00036;-4,609469;1,670328;-4,380314
5|TOP2|0,09336755|-1,791708;-0,4687281;4,592953;-4,756823;2,132246;4,242663;1,493285;3,655031;3,222504;4,155456;-3,296005;4,754939;-1,667328;2,637335;4,283628;-3,990071;1,980785;-0,1591926;2,349239;-3,186346;-3,485671;2,804585;1,567714;0,1822667;-1,69653;-3,873986;3,087223;-0,2027507;4,770602
6|TOP2|0,09241237|-4,880854;1,504764;-2,463334;3,128332;0,2298994;-3,923493;-1,066621;-3,062657;-3,641177;4,837975;-4,804768;2,818897;-2,244975;4,588389;1,237347;-3,413641;-0,6520505;-4,664337;0,7756286;-1,430938;-2,967658;-2,257481;1,988239;-4,515039;-0,0998826;-4,166459;4,579009;-3,904667;-4,370722
7|TOP2|0,08876003|-0,2166181;3,254484;3,813715;0,181653;1,205348;0,6097288;-0,5544086;3,900769;2,087612;2,844396;-2,111552;-2,754864;4,336887;1,280628;3,907658;-0,7593017;2,571987;3,215111;-4,174352;-4,84337;-3,119434;-0,9610515;1,56826;-3,579068;1,388501;0,7210703;0,2479143;-3,147824;-1,636438
