Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2097992
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,25

Index|Brain Type|Fitness|BrainData
0|TOP2|0,2097992|0,916491;-0,5919142;3,307305;-0,208971;4,393423;-2,00316;2,422717;-0,0827198;1,396708;3,056919;1,391801;-1,653373;2,685727;2,070491;-1,233902;-4,535721;3,495291;4,901782;-1,741541;2,696677;-1,307859;-2,863995;4,369938;1,771892;-1,424771;-2,67328;1,892559;0,9815903;2,523271
1|RandomParents|0,115564|1,926205;-2,995878;0,5764003;-0,131474;-1,656769;1,16126;0,05110216;2,542233;4,064495;-0,05037022;2,392976;-3,66763;1,886597;-3,243814;-4,729427;4,393834;1,878374;-0,4536204;-0,9123225;2,328733;-4,778416;-3,1176;-1,944258;3,033665;-1,199832;1,551891;-3,773446;0,4212756;-2,737265
2|TOP2|0,0918786|-2,731642;-3,636337;-3,529283;-1,854064;3,997514;-3,2997;0,6751447;3,627889;3,573745;4,273349;-0,5246181;0,9235625;3,130045;2,854173;2,331449;1,241694;-4,276484;-3,881149;-3,830781;1,8513;-0,4408617;2,612453;-3,486246;0,3850107;-4,584013;-0,8344789;4,920095;0,3272181;-1,049932
3|TOP2|0,08312081|-1,094179;-2,914598;4,155293;-3,697151;-2,550738;3,005259;-0,1933889;3,421674;0,6902571;-0,6265383;-3,764831;3,391656;-3,028937;0,7353859;-2,189207;1,216833;4,749258;0,1534133;-2,453482;1,855707;2,129521;-2,890748;0,782537;-0,501265;4,724326;-2,244212;-1,182863;0,184557;3,645091
4|TOP2|0,08177833|0,2490597;-1,799199;2,168671;-1,990917;-2,688632;-1,975359;1,3033;-2,400424;3,591187;3,861772;4,504413;-0,480413;-2,767977;-4,431857;1,613885;-3,779609;4,346548;3,728493;-1,9099;4,743525;-2,577547;3,636297;-2,244738;-4,270196;-3,378695;0,4634266;-4,033548;-0,04603577;-2,511795
5|TOP2|0,08088432|-0,04601669;-0,7754202;2,121909;4,76252;-3,330111;-4,166823;-0,3370624;-4,024918;4,799978;3,924404;-3,527173;-1,508432;-3,60849;0,9055977;-3,44873;-2,386097;0,1134486;0,02025318;-2,483292;-2,760481;1,520338;-2,835683;-1,073149;0,7108741;-1,904962;1,368577;1,427553;-2,332766;-2,110844
6|TOP2|0,08039325|0,4905872;4,341976;2,398616;0,09690094;-0,8599658;1,430793;-3,751955;0,6383209;4,319072;3,125536;-3,260073;-0,1415534;-4,60268;1,423845;0,7417707;0,9846063;2,957375;-0,8190675;-0,6246619;-3,451212;0,6781845;-4,427563;-3,636883;2,280928;-4,820804;0,62149;2,373813;-0,4650908;-2,423923
