Generation: 1 | maxFitness: 0,198458 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,198458
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,527

Index|Brain Type|Fitness|BrainData
0|TotallyRandom|0,198458|-1,665067;-0,7797842;1,079259;-2,121616;-2,073336;0,5414348;-0,9665747;1,854265;-4,772917;3,15338;2,812985;2,362614;1,989539;0,3209777;-0,8723264;-0,8944898;3,258224;3,510159;1,88957;-4,566162;2,332769;3,167675;0,711935;4,390989;3,102835;2,824836;-2,853078;4,15625;3,629099
1|TOP2|0,1402197|3,695897;0,1597123;-4,701529;-2,66244;-4,019762;-1,92746;4,683311;-1,747915;-0,04884291;-0,7522507;2,780203;-4,2068;1,76777;0,9827538;0,1267381;-3,000008;1,126666;-2,90511;0,8670325;2,871909;3,812832;-2,549708;-4,61236;0,6149621;-1,43884;1,865045;0,1651783;-1,509184;2,935868
2|TotallyRandom|0,1184011|-0,7821436;-1,253178;1,443472;2,851756;2,473953;3,965122;3,775702;-4,344122;-4,41761;0,2391319;4,362347;-3,292836;-1,814007;-2,179112;4,712535;3,609181;-3,10173;-1,099065;-4,785614;1,244494;1,842193;0,07167149;-0,02839756;3,716598;1,788093;-2,13264;-2,7674;1,425375;4,749027
3|TOP2|0,1038191|-2,267386;3,406077;-4,765716;0,8111305;3,801737;1,215155;4,076015;-1,298337;3,032862;-2,507177;-0,2570705;3,964933;-1,122782;4,635056;-4,810408;-4,821624;4,591801;4,406323;-1,487215;3,007797;-0,3598185;-0,4458241;-4,130877;4,650249;3,746805;-3,560023;0,754406;3,240711;4,319654
4|TOP2|0,100488|-3,426161;-3,330641;-3,412662;3,297985;0,546382;-1,233987;2,84394;-2,184568;4,433413;3,542619;-0,2433772;-0,4685359;-1,219154;-3,87372;2,941624;2,704819;-1,365463;-4,881717;-1,363693;3,064795;2,051568;-3,743101;4,085507;-4,487386;4,136772;4,608169;-0,123672;-0,8989458;-4,134435
5|TotallyRandom|0,1002195|-3,933565;2,596966;1,764109;2,325244;3,447742;-3,25754;-3,757571;-0,3425879;-3,062853;-4,06296;-4,287506;-2,860636;1,465186;-0,3550024;-2,884809;-4,37296;-2,196315;1,218925;-4,810344;1,382162;3,651092;3,939196;2,62988;-0,6378121;3,563703;-1,831798;1,806975;2,592634;0,1546078
6|TOP2|0,09832805|-4,617267;-1,789077;-4,259633;4,974725;1,548643;2,340825;-0,05845022;4,38426;-2,09366;-0,3516455;4,96603;-1,063783;1,671239;4,226617;3,446933;0,7296247;-0,5068235;-3,62256;-3,369112;2,773389;1,17766;3,772286;0,5668097;0,919879;4,602968;-3,382087;0,6615405;-1,656484;-1,101833
7|TOP2|0,08982664|0,1322622;-0,3643064;-1,361204;4,93003;0,8470111;-2,386611;0,6381674;1,634999;2,270806;2,241654;2,881666;-3,592199;-3,101061;-4,847582;1,896558;-4,016881;4,855585;-0,7792063;-2,64372;-2,508733;1,756484;-1,21517;-2,215622;2,212725;0,8849745;0,1965909;-1,36859;3,511801;-0,2771516
8|TOP2|0,04817804|-2,313065;-1,118858;-3,244127;1,387715;4,556417;-1,059956;4,522602;-3,297217;2,314644;4,795687;-2,00654;2,055989;3,354805;3,95472;-1,119229;-1,32592;0,9729452;-1,196945;-4,27389;4,258711;-4,103779;-0,3962107;-4,94803;4,116272;-2,563577;-1,688606;-4,112023;2,975588;3,445469
9|TOP2|0,0293579|4,870586;-4,902113;-2,284904;2,264442;-3,905025;0,66433;4,042189;4,388753;-0,6762724;-4,958329;1,186526;-0,6559463;-2,489199;-4,10283;0,782506;-4,065515;4,450789;-4,185003;-2,51972;4,890509;1,598018;2,170172;-1,549435;2,401392;-4,076559;2,941056;-0,1858897;0,20366;3,502599
10|TOP2|0,02252981|-4,592398;-3,860673;4,689092;3,87017;4,964706;-4,140169;0,9582205;-3,553487;0,2194281;-4,517321;-4,676254;0,2627916;4,307881;-4,999057;4,435615;1,492681;2,378105;4,595109;2,312799;-4,396462;-1,939395;1,091792;3,832565;-2,597392;1,563483;-1,867952;3,898833;-3,231737;0,9983296
11|TOP2|0,02103016|-1,632332;3,939354;2,836487;1,693295;2,514416;2,243205;-3,407012;-0,7332225;0,1012535;-3,689451;-3,180967;1,674882;-3,369152;0,994441;-3,991909;-3,494964;3,054608;-0,4953294;-1,35993;-2,116549;-4,86755;3,171667;-0,8196621;-0,5625076;-1,532931;1,806583;2,247312;1,936226;-4,328433
