Generation: 1 | maxFitness: 0,1688614 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1688614
N TotallyRandom: 0 | N RandomParents: 0 | N Top2: 0 | Min Mutation: 0

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,1688614|2,741747;-1,488004;2,381463;3,892346;4,091491;0,8344383;4,375963;2,000117;3,141366;0,3495092;-2,492059;0,9274321;-3,026361;0,9830456;-1,500159;0,87362;3,250562;-3,512503;3,856339;-1,470201;1,590378;1,090298;-3,309452;-0,9247489;-0,2828426;-3,586104;4,2929;1,303191;-1,650078
1|RandomParents|0,1478171|-1,22009;0,433126;3,579034;-0,7813339;2,204238;-2,060582;4,928703;-1,13584;4,98803;2,891564;1,066498;3,583133;2,932712;2,276218;2,536322;0,01021576;-4,439272;3,54293;0,9841757;2,197433;-4,571313;-1,601549;-4,011811;4,970055;2,530976;2,100526;-0,04761028;-0,5889816;2,784143
2|RandomParents|0,1011639|-1,313756;0,1143975;3,70832;-1,542701;-4,800243;2,717843;1,146725;0,189815;3,187037;4,077798;-4,75747;-3,723741;-3,166156;1,976084;-4,191498;1,668483;-1,042259;-0,1994987;3,744839;-2,62209;4,922977;-1,189534;2,465614;0,300848;3,945534;-2,75756;-3,697225;3,697858;3,244989
3|RandomParents|0,094942|-4,425059;0,00617075;3,038526;1,2256;3,556177;3,843471;-3,556314;4,921942;-4,143268;1,60131;3,596788;1,805252;4,478517;-3,529095;0,5674238;-3,29113;-4,923979;-1,182034;4,100989;3,929168;2,294888;2,900915;-2,71595;2,798753;3,355171;4,727616;-4,695478;-4,225368;-2,389553
4|RandomParents|0,09469853|-3,909378;0,9462996;-2,809669;-2,762915;-4,34491;2,65496;4,987344;4,821768;2,364784;-0,843708;2,267215;-3,575501;-3,621892;-4,412613;0,8092303;2,309345;1,734813;0,282064;2,019244;-1,763084;-0,5187793;-4,927734;2,001677;-2,002575;0,619926;4,77533;0,8859677;-0,6457429;1,77296
5|RandomParents|0,09055588|2,229861;4,834519;3,866154;0,5406718;-4,406425;0,9775906;-2,465565;3,516804;-1,959824;-0,1671572;-2,009401;-4,899343;-2,666771;2,261667;2,063414;1,427693;4,342275;1,752918;-4,459752;2,640748;1,698305;4,067633;-3,544745;0,7628398;4,348527;-0,8928771;-0,2602024;-4,159955;-2,910341
6|RandomParents|0,07877664|0,08062887;-1,880726;0,8175368;-0,8068042;0,4739742;1,68797;-0,7710056;-1,162212;4,790229;-0,6812782;-3,900181;4,763552;1,138095;-4,836215;-3,272326;4,342952;-4,491881;-1,486914;-1,887298;-1,065457;2,36738;-1,57423;4,635258;0,6587486;3,449447;0,1141114;-3,105;-2,831557;-3,026423
7|RandomParents|0,06178854|-1,437318;-0,3278918;-2,516331;-0,2284784;-0,2816839;1,267265;-3,045691;-0,2847738;1,370078;-2,093106;-2,575468;-3,017822;4,893405;2,643968;-1,31119;0,420013;-1,73949;-2,318868;-1,647964;4,463022;4,277599;-3,754855;1,886204;2,507545;-2,039576;1,527404;0,7249575;-4,891095;-0,4343028
8|RandomParents|0,04887847|-0,445282;-0,6847949;-4,05801;-4,727076;-4,470616;-2,702541;0,9325094;4,644948;-2,837139;-0,6187634;4,968536;4,757422;-4,887251;3,146844;-0,3314252;0,02627802;3,817971;2,569214;-3,143;1,107013;-4,465932;4,467588;-2,234462;-4,45201;0,07173729;4,726282;3,109087;3,075653;-1,818893
9|RandomParents|0,04627764|0,9401827;2,041763;4,900784;-1,892368;2,779284;2,312324;-4,931692;0,1887245;1,209445;1,000273;4,517989;4,431467;2,834357;0,935256;1,498981;-1,432329;-1,267917;-3,208991;-4,598095;-0,06392431;-1,854162;-3,913713;3,263204;-3,979331;-1,901123;-4,218977;0,4236369;-3,794947;0,1957889
10|RandomParents|0,02561253|-1,923339;-2,553545;-2,829188;-3,754778;4,057529;2,720834;0,7860489;-4,00024;-0,658669;-1,113665;-2,644348;4,157854;-0,358345;0,1166553;4,562275;-2,44625;-1,306582;0,8874922;2,380714;2,186341;-4,576319;0,1523013;-2,518748;-2,011035;-2,031898;4,875794;0,2701216;-3,868846;2,395976
11|RandomParents|0,0211324|1,501517;-3,205178;-2,360432;-3,969422;-0,7187815;0,4384131;-0,5463905;-3,692102;-4,531814;2,455297;0,1059847;-4,843575;-0,7082028;-4,489771;-0,1471739;-2,018899;-0,7772212;2,159474;-4,336567;-4,613792;0,02296257;-4,271836;2,065669;3,832349;-2,419164;-3,215517;3,359186;-0,3632207;1,689013
12|RandomParents|0,0186191|3,322456;3,515631;2,976756;-3,540168;0,0665803;0,1186318;1,721723;-2,884732;-2,846925;0,5270596;0,8032589;4,902448;-0,3901596;-1,138435;-2,278208;1,319614;0,3516812;0,2852888;-1,891045;-2,288886;0,9347563;3,988973;2,366527;3,261759;0,7319384;-0,431766;3,925508;-4,235024;-2,014013
13|RandomParents|0,01780547|-3,228662;3,161802;-4,542217;-4,41659;0,2488728;-4,144985;2,419461;-3,321993;-1,017982;-1,702728;-3,742859;0,1288886;-2,498265;1,011319;4,639603;0,06680441;1,344919;2,149101;0,1975341;4,757478;-0,3128023;-1,306885;2,532688;0,4746981;-0,9387918;0,7332129;3,018994;1,4036;2,076517
14|RandomParents|0,01751534|-1,778133;-3,60458;-3,696308;-3,186006;-3,896713;-2,865225;-4,479904;0,3467698;-1,376204;-0,6684227;0,352674;1,052356;2,880423;-3,585935;-1,565935;-1,635897;2,736443;2,133787;-2,016735;4,265598;-3,10358;1,34434;3,599949;-0,5541129;-1,206289;-0,6654124;-2,973473;-2,795945;2,509096
15|RandomParents|0,0165081|-1,694633;2,825027;0,3271513;0,8135576;-3,804958;-1,175735;-0,6886368;3,477104;-1,716229;4,458584;3,087614;-1,953614;-1,474476;1,472337;-4,576397;-3,853097;-0,6891174;2,63925;-3,198178;-4,046973;1,330991;1,370591;-2,056422;4,329;-3,551654;2,303746;2,022414;2,70429;3,493216
16|RandomParents|0,0163928|-2,857226;0,5356913;-4,423162;-1,694365;4,239447;-3,911777;4,245101;-4,172621;-4,357461;-4,953949;2,578431;4,806838;2,351949;-3,637268;-4,217661;1,262642;3,997003;-1,974291;-3,631586;2,799194;-3,231135;-3,879193;2,561607;3,910504;3,749232;-4,385925;-1,976209;1,749524;4,443369
17|RandomParents|0,01576034|-1,876065;1,729421;-3,480157;-2,378432;0,128202;4,3302;1,368295;1,667536;2,41142;-1,898481;-0,839438;4,664069;1,777062;-1,784939;-4,225775;-4,751791;1,863968;-2,294434;-2,180659;1,790497;-3,90067;4,374435;4,760055;3,938912;-1,465698;0,11203;2,129766;-3,636557;2,475158
18|RandomParents|0,01575491|1,472787;-0,07646132;1,169171;2,173504;-4,208181;-4,79178;-2,767949;0,1073785;-1,486905;-3,10097;2,289873;-4,134436;2,250856;-3,267413;2,143834;1,27789;2,278214;-4,976665;0,9492855;-1,096439;-2,91411;4,62686;-2,521049;-3,743695;4,409208;-3,305914;-0,7791333;4,745552;2,537426
19|RandomParents|0,01560779|3,817913;0,4640489;0,7080693;-1,617107;-4,081596;-4,765769;0,885263;-0,7414298;-3,126721;-1,697624;-3,284513;4,28831;-3,164303;3,195455;4,397438;-0,7959909;0,03928137;-0,3357463;-4,935764;3,893099;1,758717;-0,1433902;-4,940706;0,52599;-4,65073;-1,836271;-2,638;-4,997265;-0,2056427
20|RandomParents|0,01551868|0,5869694;-3,078806;-2,28537;-1,122053;-2,933795;-0,8424826;3,641648;-1,353386;-2,166853;4,54467;-3,571708;3,752163;-2,278263;-4,121511;0,2699547;4,856403;1,644134;-1,615629;-2,92479;-3,382535;-2,886248;0,05843115;-1,705067;0,4351087;-1,341426;2,71461;1,103335;-3,326993;-4,431767
21|RandomParents|0,01546083|4,05297;2,910074;-1,868488;0,6880026;0,1491756;4,168653;-2,799399;3,534492;3,038822;-3,458259;-1,028568;-3,758557;2,21376;1,976458;-2,642256;-3,483296;2,027822;-2,860207;1,893611;-2,540635;-2,710303;-4,796244;-2,25102;1,244843;3,113394;-3,348657;4,769068;3,846587;2,625974
22|RandomParents|0,01533257|2,763715;-4,475237;1,004611;3,434266;-1,727744;2,790327;-2,788753;1,359905;2,369804;-0,9303908;-4,954735;4,947263;-0,4434915;1,677866;-4,934267;-4,1066;-3,071707;2,323533;0,1096015;-4,959858;3,14087;2,826617;0,6404095;-2,578334;3,26306;1,343224;2,878965;4,698243;4,764414
23|RandomParents|0,01529028|-4,65041;-0,01518297;-0,7274823;-1,421351;2,672279;4,736172;-1,105521;-0,04235697;1,87557;-2,504003;1,97458;4,350874;-0,09081793;1,262993;1,632629;-1,637561;-4,340114;1,667564;3,965259;-1,763875;-0,7399755;2,56587;0,3643923;-2,950792;-2,382059;1,73675;1,752611;-0,06313038;-3,113189
24|RandomParents|0,01523991|-4,207212;3,448963;-1,294651;-0,1967592;3,088371;-1,512998;-2,567538;-3,324837;2,891107;0,3649421;-2,383327;-1,759577;1,715236;4,062864;-4,906094;4,931747;4,156843;3,600821;0,9854717;2,034549;2,04528;-4,40649;-2,063861;-3,983569;-1,546626;-4,281776;0,8604484;-2,827887;-2,381246
25|RandomParents|0,0151966|4,698748;-0,3450685;-1,431695;1,799608;-0,2560906;-3,577769;-4,000726;-1,803012;1,758572;-3,680159;1,302278;0,5203147;-3,653091;0,2607484;0,4776316;-1,733582;3,721852;1,174875;-0,7305579;-3,631779;-3,424154;-1,475795;-1,714487;1,879867;2,662788;-4,171767;3,757833;-3,386299;0,9426661
26|RandomParents|0,01519255|-0,4606099;1,953726;1,965247;-3,557902;-1,055178;-3,284048;-0,07956219;-0,6790166;-2,369962;4,395223;3,632545;1,473976;0,3122668;4,649048;0,7463832;-0,1854343;2,497622;-2,760034;1,302179;-3,769254;0,579217;1,60831;1,564707;2,74067;0,3982859;-4,256467;4,756755;-0,3728576;2,967587
27|RandomParents|0,01519137|1,011216;3,224424;4,620366;-1,654634;3,794173;-4,717258;4,143663;-1,27842;-0,3581829;-4,574942;-0,2744632;4,856147;-1,381426;3,722792;3,479704;-0,0008769035;4,184934;2,234647;-3,480948;-0,1294212;-2,434096;4,363566;0,5001254;2,495755;2,618798;3,964022;-1,670182;1,344172;2,397948
28|RandomParents|0,01518976|1,171515;0,2725525;4,093277;-2,985178;0,4774766;3,410541;-2,632287;-1,076193;-3,052208;3,147009;0,1966958;3,790735;-0,9681182;3,739967;-3,16573;1,084122;1,643914;-0,3759952;4,168325;0,9726028;-3,034478;-3,591677;2,250977;1,943555;-4,668885;3,590007;-3,15164;2,098188;4,746312
29|RandomParents|0,01518934|2,206534;-1,598526;-4,492736;0,1261024;3,55386;-4,517035;-1,287137;-1,599068;4,939026;-1,736602;3,846165;1,556474;-3,769831;-4,883651;1,994669;1,8506;-3,777686;0,7606368;2,792948;-1,985733;-0,4112415;0,08056831;3,99508;-1,851786;2,228855;2,941977;4,627704;0,7998867;-2,840765
30|RandomParents|0,01518516|-3,58745;-1,877264;-1,669683;-0,5542617;-2,265641;4,50573;0,2815561;2,629761;0,4503961;3,836098;4,96105;-3,799505;3,273026;-0,6762333;-4,585236;-1,039641;4,635021;-2,460592;0,7948012;-3,018612;-0,4068785;-3,729805;4,986867;4,699718;-1,255612;2,891274;4,752796;-1,375626;-4,170665
31|RandomParents|0,01518495|2,606823;4,330086;4,842617;1,290226;-0,1480513;2,379272;-4,224941;-1,647399;2,662678;-4,750904;2,256847;-0,3335695;-3,462026;-2,03342;2,399426;4,225016;1,694736;4,50865;0,5532174;1,78968;1,412079;2,374883;0,6421943;1,506334;2,078171;-2,123353;2,996051;-0,1154466;-4,773716
32|RandomParents|0,01518402|-0,3632421;1,259069;-3,068506;-1,822796;2,050933;1,130219;-2,218112;2,648239;1,58582;-0,447288;1,546508;-1,592779;-1,44461;-3,345432;0,8384018;3,923288;-0,8880038;-4,335729;-1,751849;0,4579873;-0,2039151;0,3749471;-4,707136;2,905937;1,438309;-2,981787;4,451501;3,824368;-2,60222
