Generation: 1 | maxFitness: 0,1555607 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1555607
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1555607|1,805373;2,414625;1,225879;1,189708;-4,379156;-2,150889;2,39205;-0,9462171;2,615656;2,548878;-0,620604;3,869408;-3,205042;2,919883;-1,780867;-0,6991272;-4,641314;3,127345;-2,545229;-2,663857;-3,832237;-1,567564;3,730308;-4,893008;4,557096;1,38545;-1,092121;3,883784;-0,8935447
1|TOP2|0,09068958|-4,413141;-3,148393;-0,2704377;0,07897806;-3,459823;2,582587;1,35236;-4,521246;4,467555;-0,7179255;3,277433;1,477061;-3,231506;3,010736;3,350365;-2,859628;-2,562422;-2,546483;-0,8840294;-0,7837291;-0,5433517;-4,860252;1,402016;-1,262947;0,4987593;4,656038;-0,1135511;1,367038;3,404883
2|TOP2|0,08760698|0,562541;2,335249;-0,2028079;3,853785;3,5607;0,07373047;1,758956;-3,435802;-2,374262;3,042879;3,524959;-0,4124041;-2,809225;-1,50386;4,175348;2,37849;4,439554;-3,937403;-3,464991;4,234127;4,309849;3,218395;4,003927;1,342779;0,5720596;1,315256;-0,430625;-2,209835;-2,813173
3|TOP2|0,08607991|4,174427;0,6422801;1,429251;-3,415495;4,704403;-4,17001;-3,641199;4,67168;-2,956572;-2,306531;1,743637;-3,477472;-2,720327;-2,253659;-3,845564;1,601441;4,982645;-3,306427;3,347527;1,428672;-1,604593;0,03557873;2,114067;-4,727711;-4,287971;-1,694699;1,720904;0,4215198;1,92705
4|TOP2|0,07924743|4,578342;0,8585124;-4,459867;-3,650752;2,033634;-1,319844;4,575292;0,1003356;-3,506857;2,181082;1,821108;-2,373696;1,853258;1,146105;4,410707;-2,954893;4,969189;4,642824;-4,928953;4,408546;2,352201;-4,283064;-4,995714;2,644485;-2,71603;-2,553945;-2,309118;-3,641348;3,303627
5|TOP2|0,06621296|0,982718;-1,82873;3,865004;-4,028831;-1,730149;-0,783083;-1,917867;2,908898;-1,826205;-2,782992;4,924591;3,631121;1,766908;-3,609696;-3,76732;-1,438312;-2,377316;3,595942;-4,381515;2,412843;1,279768;-1,35092;-3,443148;-3,188449;-2,843141;0,06232691;0,7419782;-3,908355;-3,529766
6|RandomParents|0,0371975|-2,148898;-4,407245;-3,24517;-3,055506;-1,466265;-3,746673;2,89008;4,080187;2,224856;2,115557;-4,821815;4,701629;1,956466;4,283969;4,85722;0,852993;-4,348003;-3,564656;4,105384;3,931162;4,785398;-0,5354352;-1,690438;-1,149436;-2,399285;2,047578;3,857988;-0,09023857;0,3050404
7|TOP2|0,02925987|-4,189063;4,932576;3,973308;-1,792129;1,706221;0,3127046;-0,6535583;-1,281147;-0,7436533;2,844506;4,244241;4,064779;-0,4063673;-2,409685;0,1712699;3,456677;-4,455984;4,604334;-3,743613;4,770055;-1,8525;-1,323948;2,479929;-0,6396861;2,45406;-2,950033;-0,3672795;0,1963134;-0,9029193
