Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1207605
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1207605|1,94114;-4,328754;1,137564;2,038991;-3,037271;4,781388;-3,3154;4,591152;-4,857306;-0,5732255;1,270108;-0,8055396;-2,150639;3,32953;2,035794;-2,146931;0,4402657;0,9711008;-2,92876;-3,680347;3,697779;0,9754581;-0,3594131;-0,2526956;2,766145;-2,400654;1,187424;-3,124811;-2,067539
1|TOP2|0,1192248|-1,350351;3,754661;2,004657;-2,589533;4,619845;-2,338631;-2,444656;0,993957;-2,331915;-2,293241;3,17318;-1,660726;0,1344447;-1,429679;3,232006;-3,536049;-0,6263227;4,194969;1,138511;0,2941756;1,158243;-0,8979936;3,970211;-1,470541;3,401656;2,375563;-3,705345;4,562248;4,471627
2|TOP2|0,09729794|4,80624;-4,567724;-3,659216;-4,965048;0,7047744;-2,494173;-1,851767;-1,407434;-4,927605;4,651441;-2,296491;-1,125517;-1,675007;0,5719967;3,232927;-0,7659702;-1,827585;-3,592645;-2,714565;3,738697;-1,041283;2,035831;1,998286;-4,736685;1,22926;-4,286361;4,206798;-1,078172;-2,067093
3|TOP2|0,09263788|2,412875;2,638702;-4,599833;-2,499871;0,4054503;-1,813812;-1,640446;-4,343425;-2,194012;-4,858206;-3,601057;3,058083;-3,193683;-1,508362;4,131054;-2,886035;0,5109935;-3,009193;-3,705189;0,7981186;-0,4504542;-2,316386;-0,2856212;4,675178;-4,498382;1,179812;0,796351;2,158568;0,3622551
4|TOP2|0,09020986|4,827204;-1,880219;-0,6293793;1,180749;-1,735978;-4,948863;-4,137215;0,1121492;3,068594;3,347569;-4,760728;3,281849;-4,851647;-3,803744;1,577529;0,5311065;1,235586;-3,247082;-1,940195;4,249942;-1,018219;1,231591;0,8117433;3,162785;-1,187829;2,083765;0,7701678;2,639547;3,129896
5|TOP2|0,08959225|3,777236;0,4691272;-0,8344502;-0,1652627;4,33014;-4,442886;3,693647;-2,880941;0,4411273;-3,561831;-1,460266;-3,964323;2,952442;3,181552;1,269011;-2,877556;4,991774;-4,251138;-1,917286;-1,56214;3,461762;-1,068625;-1,267535;0,9252863;-2,539611;4,480906;1,835428;1,740525;2,959929
6|TOP2|0,08044432|-1,846745;1,194717;2,023798;1,365206;0,8449717;-4,178204;-3,872263;3,715344;-3,682188;1,797602;4,295868;0,4804235;1,86354;1,038099;-3,970847;4,903158;-0,4195089;-0,8393474;-4,472364;2,044348;2,892056;2,949306;-1,877368;1,952635;3,74711;1,674672;-0,7485194;-4,559288;-1,542248
7|TOP2|0,07772007|-1,862728;-3,129709;-3,800617;1,271865;2,672318;-0,288599;2,821031;-0,7837849;-2,043976;4,475204;-4,474149;-3,630548;4,791216;4,781633;-1,590372;-3,010083;-1,398015;-4,916746;-4,57398;1,460175;-2,330667;-1,61665;-3,909626;-2,74733;4,584703;-4,506688;0,9076219;0,2108579;-2,525648
