Generation: 1 | maxFitness: 0,2033141 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2033141
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0

Index|Brain Type|Fitness|BrainData
0|TOP2|0,2033141|-2,81125;-0,3487353;-0,4018335;-2,705369;-0,3383474;2,892008;-1,898019;1,801771;-2,601137;-2,239962;2,670758;-1,384533;-4,620829;3,147279;-2,683139;2,156654;-4,442993;2,408876;1,048083;-1,832881;-0,7411985;2,879753;3,349918;1,07106;-3,007564;-3,882482;-4,64916;0,1496439;0,5020661
1|TOP2|0,176292|-2,020416;2,168715;-3,039263;4,225683;-3,359322;-0,3379698;3,109055;3,346951;2,339576;0,3722863;-1,430182;0,03738117;-0,9790592;-3,30637;-4,60825;-4,907522;-0,9225888;-4,041825;4,675192;3,500126;2,97123;-2,493263;-3,456903;4,96915;3,15895;3,856138;2,11671;2,533358;-1,888999
2|TotallyRandom|0,1215042|3,46598;-0,7806964;2,004969;-0,4110436;-2,937536;-3,929155;-3,265388;-1,059473;0,231884;-3,871423;-0,1602359;-1,372235;2,312041;3,670639;-2,215106;0,4832988;0,3406672;1,155011;3,379769;3,570741;-4,043946;-1,886275;-3,862362;-4,94227;-1,394208;0,9744053;1,157703;4,330059;1,254711
3|TOP2|0,1160214|-2,589206;-3,163911;-3,779125;0,9809499;-3,47115;-3,75445;-1,834239;-0,1833944;4,568933;-3,063164;0,6710987;-4,560955;0,1919169;-1,967108;-2,122302;-1,445131;-0,9449248;-3,832335;4,216629;-1,601394;4,363379;-0,6295605;4,40304;1,163907;-0,3962665;3,574257;-2,964655;3,711184;-2,311502
4|TOP2|0,09894121|1,739868;-1,053617;3,62154;-0,906765;-2,162857;2,946854;-0,1364846;0,1553578;-3,130494;-3,983606;1,833191;-4,975609;0,7936139;-2,964283;1,638154;2,568834;4,631968;4,451556;3,691992;4,507509;-1,105178;-2,234295;-1,423674;3,925116;-4,590456;2,804517;-4,368511;-2,027975;0,837955
5|TOP2|0,09600632|1,032869;2,024496;2,239927;-1,776922;2,380298;-2,742083;0,7810969;2,811588;2,734867;-2,638265;-1,879163;-1,447042;-3,670868;-1,094065;2,998724;-1,081269;0,7050247;-3,758903;-2,943311;-1,897491;-2,747034;2,92046;2,935128;3,462005;-4,765607;0,9416871;-0,7128053;-2,021132;4,717876
6|TOP2|0,08929656|3,740619;-3,965021;-3,840616;-4,852072;0,2646441;-4,369289;-0,6830926;-3,374848;-1,258761;-2,197651;1,466191;2,24492;-3,566736;4,028236;1,442134;1,731544;-3,31685;-0,2297311;-3,384447;4,021789;-1,388714;-0,5548329;-3,162334;-3,371008;-1,489563;4,537003;1,193636;-0,4352922;0,5917935
