Generation: 2 | maxFitness: 0,3703262 | maxFitnessGen: 0,3703262 | maxFitnessGenBuf: 1,522076
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 13 | Name: car 29 | Brain Type: TOP2 | Fitness: 0,7555839 | BrainData : -0,4391761;-3,91309;4,822054;-1,34424;-3,280936;2,90067;-2,028789;3,490208;-4,874464;3,660759;-0,07969904;-4,301549;1,387761;-4,902682;1,030883;2,177395;1,07078;3,371797;-4,61046;-4,32996;-0,05416203;-4,925797;-1,836262;-0,5281372;-5,032932;0,8481903
Index: 14 | Name: car 30 | Brain Type: TOP2 | Fitness: 0,7555839 | BrainData : -0,3978549;-3,957405;4,835676;-1,34424;-3,298727;2,939456;-2,023103;3,490208;-4,906105;3,634622;-0,04685083;-4,301549;1,387761;-4,880871;1,030883;2,146612;1,07078;3,371797;-4,61046;-4,364859;-0,05416203;-4,89551;-1,877192;-0,5281372;-5,020856;0,8481903
Index: 15 | Name: car 31 | Brain Type: TOP2 | Fitness: 0,7555839 | BrainData : -0,4391761;-3,91309;4,835676;-1,345897;-3,298727;2,90067;-2,068847;3,489175;-4,874464;3,634622;-0,07969904;-4,301549;1,387761;-4,869147;1,030883;2,180498;1,07078;3,371797;-4,61046;-4,364859;-0,05416203;-4,89292;-1,836262;-0,5552545;-4,986843;0,8481903
Index: 16 | Name: car 32 | Brain Type: TOP2 | Fitness: 0,7555839 | BrainData : -0,4573898;-3,91309;4,835676;-1,383179;-3,298727;2,90067;-2,028789;3,490208;-4,874464;3,634622;-0,07969904;-4,301549;1,387761;-4,880871;1,030883;2,146612;1,07078;3,371797;-4,599265;-4,364859;-0,05416203;-4,89292;-1,841712;-0,5281372;-4,986843;0,8481903
Index: 17 | Name: car 33 | Brain Type: TOP2 | Fitness: 0,7555839 | BrainData : -0,4391761;-3,91309;4,835676;-1,34424;-3,298727;2,90067;-2,028789;3,490208;-4,874464;3,634622;-0,09749139;-4,301549;1,387761;-4,880871;1,030883;2,146612;1,07078;3,371797;-4,61046;-4,351519;-0,04838284;-4,89292;-1,836262;-0,4880863;-4,986843;0,8481903
Index: 18 | Name: car 34 | Brain Type: TOP2 | Fitness: 0,7555839 | BrainData : -0,4702837;-3,91309;4,835676;-1,34424;-3,291826;2,90067;-2,028789;3,490208;-4,874464;3,634622;-0,07969904;-4,301549;1,387761;-4,880871;1,030883;2,12299;1,034105;3,371797;-4,61046;-4,411028;-0,05416203;-4,89292;-1,836262;-0,5567941;-4,986843;0,8481903
Index: 19 | Name: car 35 | Brain Type: TOP2 | Fitness: 0,7555839 | BrainData : -0,4391761;-3,91309;4,835676;-1,34424;-3,298727;2,890783;-2,02208;3,490208;-4,874464;3,634622;-0,07969904;-4,301549;1,399668;-4,890454;1,030883;2,174181;1,07078;3,371797;-4,61046;-4,346432;-0,05416203;-4,852005;-1,816583;-0,5281372;-4,986843;0,8481903
Index: 20 | Name: car 36 | Brain Type: TOP2 | Fitness: 0,7555839 | BrainData : -0,4391761;-3,91309;4,835676;-1,34424;-3,298727;2,871054;-2,028789;3,464794;-4,874464;3,664316;-0,07969904;-4,301549;1,387761;-4,880871;1,00709;2,146612;1,07078;3,371797;-4,61046;-4,379568;-0,05416203;-4,89292;-1,836262;-0,5281372;-4,986843;0,8481903
Index: 21 | Name: car 37 | Brain Type: TOP2 | Fitness: 0,7555839 | BrainData : -0,4391761;-3,91309;4,835676;-1,34424;-3,298727;2,90067;-2,028789;3,489607;-4,874464;3,634622;-0,07969904;-4,301549;1,387761;-4,880871;1,066462;2,146612;1,07078;3,371797;-4,61046;-4,364859;-0,05416203;-4,89292;-1,836262;-0,5281372;-5,015738;0,8481903
Index: 22 | Name: car 38 | Brain Type: TOP2 | Fitness: 0,7555839 | BrainData : -0,4391761;-3,939749;4,835676;-1,34424;-3,298727;2,90067;-2,028789;3,490208;-4,874464;3,655927;-0,07969904;-4,301549;1,410626;-4,880871;1,030883;2,146612;1,07078;3,371797;-4,61046;-4,364859;-0,07123137;-4,89292;-1,836262;-0,5281372;-4,978932;0,8481903
Index: 23 | Name: car 39 | Brain Type: TOP2 | Fitness: 0,7555839 | BrainData : -0,4391761;-3,91309;4,835676;-1,34424;-3,298727;2,899726;-2,028789;3,490208;-4,874464;3,634622;-0,07969904;-4,301549;1,387761;-4,908076;1,07325;2,146612;1,07078;3,371797;-4,61046;-4,364859;-0,00954023;-4,89292;-1,836262;-0,5281372;-4,986843;0,8481903
Index: 24 | Name: car 21 | Brain Type: TOP2 | Fitness: 0,7555304 | BrainData : -0,4576757;-3,91309;4,835676;-1,392258;-3,298727;2,90067;-2,028789;3,490208;-4,874464;3,634622;-0,07969904;-4,301549;1,387761;-4,880871;1,030883;2,146612;1,07078;3,357415;-4,61046;-4,364859;-0,05416203;-4,904894;-1,823851;-0,5281372;-4,986843;0,8717648
Index: 25 | Name: car 26 | Brain Type: TOP2 | Fitness: 0,7549227 | BrainData : -0,4391761;-3,91309;4,835676;-1,34424;-3,298727;2,920838;-1,979921;3,490208;-4,894052;3,634622;-0,06461373;-4,251825;1,371042;-4,880871;1,030883;2,146612;1,07078;3,371797;-4,61046;-4,364859;-0,05416203;-4,89292;-1,836262;-0,5532052;-4,986843;0,8267954
Index: 26 | Name: car 8 | Brain Type: RandomParents | Fitness: 0,7189754 | BrainData : 2,769718;-4,98086;3,564848;0,4059026;-1,033745;1,900301;3,346422;0,5198921;2,913187;-0,1621299;-4,88678;0,6154389;-2,379823;-3,281802;-4,682342;-2,163395;-4,152632;0,3900547;-2,31197;-1,018408;-4,753213;-2,865458;-1,477761;-3,172328;-1,967443;1,324826
Index: 27 | Name: car 11 | Brain Type: TotallyRandom | Fitness: 0,7076362 | BrainData : -4,845112;0,2093272;4,279406;1,41312;-3,093188;-3,278995;2,847278;3,565913;-1,812149;0,4163198;4,668531;-1,964367;4,135986;2,933924;0,9417777;2,975226;4,578371;0,008131981;0,7666163;4,325027;1,486101;-0,1554923;3,275625;-2,66407;0,2151222;1,539601
Index: 28 | Name: car 6 | Brain Type: RandomParents | Fitness: 0,6558088 | BrainData : 3,855253;-2,602781;-2,852744;-1,269954;-2,615414;-2,59453;1,099349;-1,974559;-2,239611;-0,4966574;-3,678219;1,117716;-3,582039;2,087249;-4,554463;4,169875;-0,7490058;2,557561;2,519603;-4,742537;1,08579;2,648134;-1,898318;-4,330027;1,387261;-0,9421725
