Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,3703262
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 13 | Name: car 6 | Brain Type: RandomParents | Fitness: 0,2397762 | BrainData : 2,500646;3,250137;4,443873;2,070984;-3,862218;-0,8079047;-1,331947;4,233126;3,328035;2,545938;0,7395082;0,09646702;-3,136678;3,169889;0,5712919;-4,220959;2,009957;-2,524215;1,103671;0,005073071;0,2214737;1,162006;-2,070276;1,490035;4,388455;-1,437969
Index: 14 | Name: car 31 | Brain Type: TOP2 | Fitness: 0,2394787 | BrainData : 3,326789;-3,59613;-0,699573;3,028366;-4,233018;4,531746;1,288593;1,466388;2,178948;4,452214;-0,7528429;2,635201;-1,263032;-1,439988;1,22324;2,387713;0,1732082;1,920575;-4,053633;2,592591;2,846001;-3,486049;-4,095602;3,012547;2,79928;-4,62538
Index: 15 | Name: car 11 | Brain Type: TotallyRandom | Fitness: 0,2378026 | BrainData : 1,023552;-3,419013;-3,249434;-4,206758;1,241248;-2,75457;-4,659429;-3,717678;0,4528375;-2,88717;4,962661;-1,170781;4,950292;-0,589097;-2,41257;2,98573;1,75211;-2,397644;-2,851257;-2,384672;-0,008099556;-4,218574;-4,694251;3,009606;4,102432;3,159783
Index: 16 | Name: car 25 | Brain Type: TOP2 | Fitness: 0,2364501 | BrainData : -4,039505;1,592966;4,128673;2,328382;4,609959;2,168036;0,7061548;1,964288;4,635791;-2,846797;-4,596887;0,7646413;-3,60539;-3,165833;4,60482;2,488495;3,663656;-1,844759;-2,800251;3,99338;0,9376626;2,697591;-3,477642;-0,8832641;4,416581;4,658447
Index: 17 | Name: car 33 | Brain Type: TOP2 | Fitness: 0,236353 | BrainData : -2,190524;0,3261976;0,6169004;3,893665;4,843964;-3,271239;0,4826732;0,6860571;3,000774;2,94412;0,4348369;-1,390324;4,284926;-2,21675;-2,179676;-2,819696;4,201776;-1,78103;1,447071;0,07584143;-1,480144;-1,794505;0,8854051;4,433713;3,304279;3,767483
Index: 18 | Name: car 9 | Brain Type: RandomParents | Fitness: 0,2358888 | BrainData : 3,337841;-4,673889;2,858591;2,569076;-2,104266;-2,190258;-4,634076;-0,433219;-3,340045;-3,521784;-2,550379;-1,822682;-3,667426;-1,475045;-3,332185;-0,3758578;-2,386761;-3,929572;3,548747;3,707916;2,488852;-4,257193;-3,568002;3,860723;4,49994;-3,620058
Index: 19 | Name: car 38 | Brain Type: TOP2 | Fitness: 0,2357988 | BrainData : 2,352556;0,949151;-3,600199;4,350841;2,837728;2,635372;2,365308;1,696844;-1,451575;4,555358;-2,469403;-2,057075;-4,373566;1,765685;-4,928989;-2,613094;0,6836181;-2,153203;1,004216;-1,329989;0,9308677;-2,035291;0,8585496;4,345909;4,813584;-3,73913
Index: 20 | Name: car 22 | Brain Type: TOP2 | Fitness: 0,2313316 | BrainData : 2,204975;3,462552;-3,673676;-3,084312;-2,879415;-0,4072981;4,451146;-0,1555018;-0,4663734;-2,440484;4,228813;1,243427;4,272222;3,553493;2,963141;-0,1773529;2,455379;-4,615966;4,811075;1,057585;-0,2824717;3,610359;-2,529731;4,036877;-0,3898497;0,8086734
Index: 21 | Name: car 5 | Brain Type: RandomParents | Fitness: 0,2298348 | BrainData : 4,73422;1,679353;3,949659;-2,597106;-4,69993;-3,410238;3,706188;4,742413;-0,6287856;0,7628222;3,954317;2,116704;2,337601;-0,4183607;-2,993382;2,937868;3,193349;-1,151483;1,951599;1,612774;-1,310918;-2,600868;-0,6456704;3,83871;0,5001431;-4,197824
Index: 22 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,2282876 | BrainData : 2,373882;-1,247566;1,112971;1,280411;-0,9259348;-1,817064;2,284222;3,999896;-0,221539;-4,953239;-2,932937;-2,90855;-1,853098;0,1453977;-3,065205;1,357417;3,607019;1,676888;-4,730953;-1,069118;-0,0002331734;-4,731653;1,709126;-1,74525;-1,268094;-0,2285762
