Generation: 60 | maxFitness: 2,890973 | maxFitnessGen: 1,602891 | maxFitnessGenBuf: 1,627967
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 0 | Name: car 1 | Brain Type: RandomParents | Fitness: 1,627967 | BrainData : -0,2772716;-1,594078;4,128255;-0,5789907;-0,4844956;0,6376446;-0,1835802;1,864767;-3,166742;4,582243;2,633554;3,193208;-2,343767;0,0252298;-1,410191;0,8256523;3,964242;-3,216556;-3,226294;1,300295;-2,33632;-4,877311;-4,411582;-3,9367;2,729754;-0,001458038
Index: 1 | Name: car 2 | Brain Type: RandomParents | Fitness: 1,627967 | BrainData : -0,2772716;-1,61893;4,112391;-0,5789907;-0,4977444;0,667062;-0,1626879;1,858828;-3,202054;4,582243;2,674996;3,171255;-2,393706;0,0252298;-1,410191;0,779714;3,972208;-3,216556;-3,226294;1,300295;-2,33632;-4,91409;-4,365853;-3,890141;2,729754;-0,001458038
Index: 2 | Name: car 3 | Brain Type: RandomParents | Fitness: 1,627967 | BrainData : -0,2772716;-1,594078;4,112391;-0,5789907;-0,5106439;0,6376446;-0,1224943;1,87381;-3,205852;4,550229;2,692315;3,193208;-2,343767;0,0252298;-1,410191;0,8208847;3,964242;-3,22296;-3,267411;1,300295;-2,33632;-4,871254;-4,411582;-3,93013;2,729754;-0,001458038
Index: 3 | Name: car 5 | Brain Type: RandomParents | Fitness: 1,627967 | BrainData : -0,2772716;-1,594078;4,112391;-0,5789907;-0,5106439;0,6750531;-0,1626879;1,858828;-3,166742;4,558025;2,674996;3,193208;-2,343767;-0,003064193;-1,410191;0,7999884;3,877237;-3,248854;-3,226294;1,295196;-2,30318;-4,91409;-4,411582;-3,966529;2,729754;-0,001458038
Index: 4 | Name: car 7 | Brain Type: RandomParents | Fitness: 1,627967 | BrainData : -0,2772716;-1,594078;4,112391;-0,5789907;-0,5106439;0,6376446;-0,1626879;1,858828;-3,178066;4,592985;2,652478;3,193208;-2,317189;0,0252298;-1,394668;0,8256523;3,964242;-3,20105;-3,226294;1,300295;-2,336011;-4,91409;-4,411361;-3,975245;2,759331;-0,001458038
Index: 5 | Name: car 9 | Brain Type: RandomParents | Fitness: 1,627967 | BrainData : -0,2772716;-1,594078;4,112391;-0,5789907;-0,5106439;0,6376446;-0,1626879;1,84213;-3,166742;4,53523;2,674996;3,174944;-2,354217;0,0252298;-1,366468;0,8198895;3,951803;-3,216556;-3,226294;1,28255;-2,328995;-4,88418;-4,418603;-3,9367;2,729754;-0,001458038
Index: 6 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,625119 | BrainData : -0,2772716;-1,623359;4,113634;-0,6143984;-0,3814006;0,6029252;-0,2365677;1,898073;-3,273396;4,573743;2,669238;3,16151;-2,361716;0,01798082;-1,377411;0,8047761;3,943382;-3,198061;-3,255517;1,369762;-2,312946;-4,91753;-4,408376;-3,965787;2,77559;-0,005129766
Index: 7 | Name: car 15 | Brain Type: TOP2 | Fitness: 1,624344 | BrainData : -0,2772716;-1,623359;4,113634;-0,6143984;-0,3814006;0,5820114;-0,2258397;1,898073;-3,273396;4,610233;2,669238;3,16151;-2,361716;0,02625657;-1,377411;0,8047761;3,901042;-3,198061;-3,255517;1,369762;-2,312946;-4,94861;-4,45213;-3,955576;2,785209;-0,006045599
Index: 8 | Name: car 17 | Brain Type: TOP2 | Fitness: 1,624344 | BrainData : -0,2772716;-1,641579;4,074819;-0,6143984;-0,3814006;0,5341772;-0,1996423;1,936058;-3,273396;4,610233;2,669238;3,16151;-2,361716;0,02625657;-1,377411;0,8047761;3,901042;-3,198061;-3,255517;1,369762;-2,312946;-4,91753;-4,45213;-3,965787;2,785209;-0,006045599
Index: 9 | Name: car 19 | Brain Type: TOP2 | Fitness: 1,624344 | BrainData : -0,2432627;-1,623359;4,113634;-0,650112;-0,3814006;0,5820114;-0,2287955;1,928024;-3,273396;4,628055;2,669238;3,16151;-2,361716;0,02625657;-1,377411;0,8047761;3,920633;-3,180369;-3,255517;1,369762;-2,312946;-4,91753;-4,45213;-3,965787;2,785209;-0,006045599
Index: 10 | Name: car 20 | Brain Type: TOP2 | Fitness: 1,624344 | BrainData : -0,2772716;-1,602683;4,163432;-0,6143984;-0,3814006;0,5820114;-0,2287955;1,898073;-3,273396;4,610233;2,669238;3,16151;-2,361716;0,02625657;-1,377411;0,8047761;3,901042;-3,198061;-3,255517;1,328016;-2,358149;-4,91753;-4,445785;-3,965787;2,785209;-0,006045599
