Generation: 46 | maxFitness: 0,6101888 | maxFitnessGen: 0,2372755 | maxFitnessGenBuf: 0,2285507
N TotallyRandom: 1 | N RandomParents: 0 | N Top2: 80 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
17|TOP2|0,1950636|2,164109;-0,6883488;-4,384517;-4,263688;-3,66183;5,015669;-5,107377;-4,651537;-0,05807474;-0,251942;-3,03284;-1,381506;1,74729;1,395945;6,463981;-1,137035;2,932157;3,405583;-0,4881224;-3,113464;4,118454;-2,648287;2,416084;2,434899;-2,403572;2,909595;-6,265073;-3,517212;4,593963
18|TOP2|0,1942466|1,894755;-0,08391686;-5,232347;-4,633492;-3,915611;4,902771;-5,107377;-4,9373;0,09587434;-0,5455313;-3,336831;-1,044343;1,859387;1,033976;6,127071;-1,29398;2,922332;3,58763;-0,489068;-3,113464;4,126193;-2,648287;2,031684;1,925282;-2,403572;2,887817;-6,653107;-3,46818;4,342554
19|TOP2|0,1935072|1,894755;-0,3182493;-4,592634;-4,230991;-3,949415;4,66346;-4,919285;-4,9373;-0,08891836;-0,4916605;-3,336831;-1,381506;1,74729;0,718507;6,501403;-1,115635;2,922332;3,865671;-0,4881224;-3,113464;4,565164;-2,648287;2,031684;2,049523;-2,116651;3,024004;-6,189912;-3,737543;4,342554
20|TOP2|0,1934476|2,364324;-0,6426094;-4,443317;-4,230991;-3,915611;5,015669;-5,107377;-4,9373;0,09587434;-0,4916605;-3,504202;-1,573484;1,74729;0,7803025;6,463981;-1,213679;2,549348;3,865671;-0,1265813;-3,221679;4,565164;-2,153663;1,580344;2,42061;-2,310263;2,909595;-6,265073;-3,46818;4,342554
21|TOP2|0,1928839|1,621872;-0,3182493;-4,751059;-3,958176;-3,915611;5,015669;-5,319417;-4,9373;0,3606829;-0,4916605;-3,336831;-1,381506;1,393711;1,126275;6,463981;-1,041337;2,438582;3,865671;-0,4881224;-3,341491;4,264225;-2,648287;2,031684;2,049523;-2,901363;2,909595;-6,091078;-3,46818;4,342554
22|TOP2|0,1915116|1,894755;-0,3182493;-4,751059;-3,922214;-4,126127;5,015669;-5,36405;-4,9373;0,2950864;-0,7390854;-2,906821;-1,381506;1,74729;1,449697;6,463981;-1,213679;3,296269;3,845801;0,005210578;-3,113464;4,565164;-2,817285;2,468162;2,049523;-2,403572;2,909595;-6,208677;-3,400512;4,342554
23|TOP2|0,1911136|1,894755;-0,3687911;-4,774189;-4,230991;-4,039381;5,317557;-5,107377;-4,9373;0,1901301;-0,4916605;-2,915778;-1,20517;1,74729;0,997595;6,899;-1,534542;3,227495;3,669905;-0,7379791;-3,113464;4,565164;-2,648287;2,031684;1,747949;-2,403572;2,909595;-6,265073;-3,46818;4,218734
24|TOP2|0,1909754|1,814733;-0,3970637;-4,751059;-4,230991;-3,915611;5,015669;-4,967293;-4,9373;-0,2508871;-0,9123105;-3,336831;-1,124892;1,432622;0,997595;6,463981;-1,213679;3,161858;3,865671;-0,3312517;-2,902414;4,681693;-2,648287;2,031684;1,672626;-2,202607;2,909595;-6,478672;-3,825513;4,552106
25|TOP2|0,1906401|1,894755;0,06062108;-4,373044;-4,249135;-4,286813;4,594455;-5,107377;-4,933564;0,09587434;-0,5911009;-3,235296;-1,381506;1,74729;1,264078;6,221709;-1,24752;2,922332;4,187048;-0,4881224;-3,113464;4,799048;-2,648287;2,031684;2,136088;-2,46727;2,909595;-6,265073;-3,46818;3,908766
26|TOP2|0,1900545|1,894755;-0,09610482;-4,751059;-4,230991;-3,915611;5,015669;-5,337134;-4,65897;0,09587434;-0,8004001;-3,336831;-1,381506;1,470327;1,033639;6,463981;-1,213679;2,521329;3,460381;-0,0652284;-3,113464;4,354028;-2,648287;2,031684;2,049523;-2,019701;2,520234;-6,265073;-3,46818;4,773242
27|TOP2|0,1899147|1,584249;-0,3182493;-4,711668;-4,434318;-3,675417;5,015669;-4,818977;-4,863256;0,09587434;-0,4916605;-3,336831;-0,9315002;1,670557;1,312094;6,463981;-1,213679;2,879368;3,865671;-0,4881224;-3,113464;4,181331;-2,78105;2,031684;2,082119;-2,165716;2,909595;-6,305776;-3,480646;4,342554
28|TOP2|0,1887029|1,894755;-0,3182493;-4,751059;-4,01989;-3,631189;4,836734;-5,107377;-4,971624;0,4591865;-0,5769153;-3,380423;-1,381506;1,74729;0,997595;6,463981;-0,9480318;2,990396;3,865671;-0,4881224;-3,113464;4,565164;-2,648287;1,533787;1,794178;-2,123884;3,272297;-6,362725;-3,46818;4,342554
29|TOP2|0,1885552|1,894755;-0,3182493;-4,751059;-4,230991;-3,915611;4,739687;-5,107377;-4,9373;0,2719173;-0,4916605;-3,336831;-1,408569;1,400638;0,997595;6,463981;-1,036628;2,922332;3,759953;-0,6781524;-3,113464;4,565164;-2,648287;2,031684;1,738517;-2,161816;2,75255;-6,402156;-3,04758;4,342554
30|TOP2|0,1867755|1,960982;-0,4068016;-4,751059;-4,557026;-3,915611;5,38114;-4,995898;-4,9373;0,09372136;-0,8135102;-3,336831;-1,615595;1,74729;0,6135674;6,236039;-1,213679;2,922332;4,25769;-0,6014498;-2,999506;4,565164;-2,648287;2,031684;2,049523;-2,063282;2,909595;-6,030519;-3,263313;4,342554
31|TOP2|0,1857555|2,333676;-0,3182493;-4,838884;-4,230991;-3,728294;4,846113;-5,107377;-4,9373;0,09587434;-0,4916605;-3,044947;-1,427877;1,508758;0,7334054;6,463981;-1,213679;3,243507;4,186877;-0,6068239;-3,130958;4,565164;-2,631106;2,031684;1,827953;-2,109985;2,69038;-6,265073;-3,46818;4,342554
32|TOP2|0,1855625|1,894755;-0,3182493;-4,524628;-4,230991;-3,915611;4,826489;-5,107377;-4,9373;-0,3623081;-0,8977326;-2,972064;-1,050919;2,15001;0,997595;6,463981;-1,25247;3,282954;3,865671;-0,9626849;-3,113464;4,565164;-2,618318;2,031684;2,434077;-2,303492;3,100475;-6,265073;-3,256024;4,694774
33|TOP2|0,183969|1,792047;-0,3182493;-4,517275;-4,230991;-3,731475;5,45006;-5,01029;-4,9373;0,09587434;-0,4916605;-3,336831;-1,381506;1,466056;1,128172;6,938021;-1,391514;2,684013;4,347058;-0,4881224;-3,569005;4,565164;-2,628179;2,031684;2,336737;-2,459291;3,206379;-5,853294;-3,072715;4,342554
34|TOP2|0,1815455|1,894755;-0,3407338;-4,751059;-3,947515;-3,915611;4,866221;-4,917204;-4,469471;0,09587434;-0,04236963;-3,336831;-1,554255;1,707222;1,232242;6,237218;-1,213679;2,94838;4,292062;-0,4881224;-2,939482;4,565164;-2,81833;2,236422;2,049523;-2,403572;3,146452;-6,657586;-3,46818;4,342554
35|TOP2|0,1811668|1,539364;-0,6818828;-4,751059;-4,230991;-3,915611;5,015669;-4,6734;-4,9373;-0,1598153;-0,8686137;-2,953187;-1,209636;2,211304;0,997595;6,463981;-1,213679;3,069476;3,430262;-0,2477401;-3,113464;4,565164;-2,648287;2,31563;1,989088;-2,403572;2,992239;-5,945562;-3,607521;3,94351
36|TOP2|0,1806302|2,345679;-0,4932431;-4,751059;-3,910271;-3,915611;5,015669;-5,107377;-4,723124;0,03118345;-0,4916605;-3,336831;-1,636613;1,74729;1,438311;6,463981;-1,213679;3,087266;3,865671;-0,3641045;-3,113464;4,929542;-3,139027;2,031684;2,049523;-2,403572;2,909595;-6,265073;-3,46818;4,706465
37|TOP2|0,18003|2,134344;-0,3182493;-4,829092;-4,230991;-3,905962;5,205263;-5,107377;-4,9373;0,09587434;-0,5704998;-3,167861;-1,244759;1,74729;0,997595;6,463981;-0,7566562;2,922332;4,311957;-0,1863512;-3,113464;4,353045;-2,648287;2,035847;2,049523;-2,403572;2,516454;-6,265073;-3,398951;4,353205
38|TOP2|0,1796548|1,8281;-0,7858966;-4,751059;-4,230991;-3,915611;5,324029;-4,612637;-4,9373;0,4685203;-0,292944;-3,229434;-1,381506;1,74729;0,6319302;6,446032;-1,593521;2,922332;3,546314;-0,7152041;-3,113464;4,344066;-2,704711;1,558778;2,049523;-2,787778;2,909595;-6,652069;-3,46818;4,677473
39|TOP2|0,179361|1,894755;-0,3182493;-4,801921;-4,230991;-3,915611;5,015669;-5,107377;-5,346042;0,09587434;-0,4916605;-2,892797;-1,381506;1,470608;0,997595;6,463981;-1,213679;2,922332;3,865671;-0,4881224;-3,401207;4,565164;-2,648287;2,031684;2,049523;-2,403572;3,146081;-6,253706;-3,46818;4,451401
40|TOP2|0,1782889|1,951475;-0,2594175;-4,559262;-4,144857;-3,915611;5,015669;-4,828478;-4,9373;0,5859885;-0,1105711;-3,336831;-1,381506;1,395794;0,9544421;6,463981;-0,8828843;2,922332;3,865671;-0,4881224;-2,857729;4,94237;-3,108945;2,151568;1,994157;-2,616493;2,781998;-5,949769;-3,379463;4,247578
41|TOP2|0,1781179|1,894755;-0,3182493;-4,751059;-3,958049;-3,991638;5,015669;-5,531205;-4,9373;-0,2833192;-0,130227;-3,297939;-1,776006;1,74729;0,997595;6,463981;-1,213679;2,997225;4,046103;-0,3774114;-3,113464;4,604598;-2,648287;2,031684;1,889982;-2,403572;2,909595;-6,265073;-3,46818;4,054166
42|TOP2|0,1777902|1,518103;-0,3182493;-4,382516;-4,118731;-3,915611;5,015669;-5,289327;-4,700665;-0,3715648;-0,4916605;-3,336831;-1,381506;2,192937;0,997595;6,884646;-1,213679;2,922332;3,418447;-0,4526638;-3,391735;4,565164;-2,176003;2,393629;2,049523;-2,403572;2,909595;-6,265073;-3,451572;4,703503
43|TOP2|0,1762554|1,894755;-0,7210663;-4,751059;-4,230991;-4,291428;5,290098;-5,327859;-4,9373;0,1721176;-0,01768497;-3,084354;-1,347879;1,74729;0,997595;6,517237;-1,213679;2,780678;3,865671;-0,5488092;-3,113464;4,249649;-2,369932;2,031684;2,485184;-2,290414;2,909595;-6,265073;-3,076819;3,904277
44|TOP2|0,1757159|1,779532;-0,02464479;-4,872014;-3,782469;-4,179988;5,015669;-5,107377;-4,9373;0,09540138;-0,4916605;-3,336831;-1,013683;1,74729;1,106122;6,463981;-0,896215;3,267289;4,203939;-0,4881224;-3,564605;4,565164;-2,648287;2,031684;2,049523;-2,403572;2,909595;-6,635664;-3,419136;4,344204
