Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,03688246
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,25

Index|Brain Type|Fitness|BrainData
0|TotallyRandom|0,03688246|0,408525;2,336088;-0,6112914;3,147631;0,847693;3,755234;2,074641;-0,2069039;4,569458;1,149175;0,5124097;2,007599;4,200975;3,076622;-0,6005507;3,249981;-1,127655;-0,2350574;-3,936481;3,354911;-2,979147;-4,574294;1,365151;-3,140745;-1,333664;0,2181201;0,3032308;4,827444;-0,2640886
1|TOP2|0,01794741|-4,905805;1,162467;-2,329536;0,08106899;-4,975244;-3,057244;-0,8679719;3,929582;-3,890608;-4,754052;4,388009;3,307307;-1,642485;-1,936839;-0,6062837;2,20914;0,1249285;0,2183752;0,3933983;-3,753139;3,004243;1,219317;-4,277158;2,98606;-2,228232;2,497138;2,465169;1,569431;-0,2795238
2|TOP2|0,01668188|-3,941982;-3,557948;-3,85497;0,07675219;-4,459268;-0,5906348;-4,325515;1,312667;1,235562;-0,3616743;0,2664108;-3,905338;-2,404645;-0,01028728;3,394055;-2,724247;3,532504;-4,834489;4,518763;-4,2285;-0,7777328;-4,160914;-4,619713;0,7040577;-1,128633;2,501845;2,924484;-0,9402018;0,05891371
3|TOP2|0,01625573|0,4280047;-0,3406329;1,669364;2,797351;-2,166855;2,927976;3,096235;3,019961;4,58167;-1,295891;3,242416;-3,129087;-2,843894;1,516037;-1,062539;3,664458;-2,997665;-4,585646;-3,165707;-0,8694954;-3,153942;-3,960449;-4,111718;1,429279;0,2842884;-2,268394;3,348588;3,945361;-4,190702
4|TOP2|0,01531864|-2,726525;-4,353455;-1,919883;-1,27089;0,1709442;-2,350461;1,88777;-4,741954;-1,960177;-2,506696;4,096726;-4,671705;-4,340786;4,437833;-2,66581;3,638413;-4,329044;1,498961;2,246244;-0,9782953;0,5623956;4,264915;-0,7820539;-1,654214;3,943808;-0,4785852;-1,694154;-0,1280217;-0,9107203
5|TOP2|0,01474626|4,581586;-1,679311;3,437582;3,245991;0,3898759;-0,8294325;0,8934813;0,8816667;-4,221825;0,06436872;-3,184533;-1,385413;-2,344734;4,040073;-3,313204;-4,374885;-0,7429652;-4,429084;4,639244;-2,740443;4,91178;-4,765083;-0,06916237;-1,681874;-0,09987402;3,932197;4,571253;4,529455;2,623463
6|TOP2|0,01349787|4,497368;4,175768;2,16178;2,368634;2,379328;3,241712;0,2580957;1,286258;-4,212395;4,334598;-4,640836;3,517159;1,229551;-3,03646;-3,700547;-3,742428;-4,429632;-4,296095;2,163796;4,6066;-4,102049;-1,264777;-0,01479435;-3,649776;0,9028573;-3,423609;3,023889;-4,238857;3,119493
