Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1086201
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1086201|-0,06801569;0,8900263;-0,6100578;-0,5396261;0,1601592;-0,4242169;0,2998159;0,08586442;-0,007051349;-0,2863787;0,8686121;-0,3113602;0,7234468;-0,03979051;0,7423525;-0,7268007;-0,2728335;-0,7194371;-0,1962961;-0,4430584;-0,3559705;0,3434269;-0,90277;-0,05820668;0,2658415;0,1591295;0,6252081;0,02398694;-0,02062428
1|TOP2|0,1073063|0,5725944;0,3619072;-0,6481473;0,8748627;-0,0622822;0,748117;0,1993994;0,300014;-0,4065493;-0,08832371;-0,2383829;0,09646308;-0,06488836;0,7118058;-0,6353989;0,05930245;0,08195269;-0,08303654;-0,7494557;-0,8797967;0,3577244;-0,5965376;-0,9534702;-0,1593851;-0,0780195;-0,2814108;0,04529798;-0,7958095;0,1129588
2|TOP2|0,1058793|-0,325452;0,7847862;-0,1029025;0,8463559;0,307625;0,2350539;0,7804456;0,8307443;0,9684315;-0,8668129;-0,1367997;-0,3745497;0,6803522;0,984611;-0,1391469;0,2208322;0,7883427;0,9432561;-0,3226472;0,02092993;0,2963321;0,1539735;-0,6552815;0,7672162;-0,3908745;0,9455121;0,8020136;-0,2631508;0,2142018
3|TOP2|0,08686069|0,2861769;-0,3628641;-0,2579817;0,5541537;0,2223862;-0,2252039;-0,1291496;-0,2422153;-0,081303;-0,2754606;0,2127248;-0,1272768;-0,1137401;-0,6289144;-0,7213674;0,4105656;-0,7689469;0,02104747;-0,2609464;0,1616153;0,05178201;0,1532913;0,1825866;-0,46231;-0,5257144;0,6984634;-0,0976187;0,1941403;-0,05186498
4|RandomParents|0,08678526|0,3612692;-0,04168308;0,02425444;0,9532328;-0,1487855;0,8346488;0,3761019;-0,09349334;-0,7631137;0,811408;-0,1846925;0,1810883;0,7089942;0,9782994;-0,1709579;0,7509212;-0,2502805;-0,7802436;-0,6489625;0,7006769;0,9210954;-0,8321629;0,1215872;0,3888347;-0,1781389;0,7583203;-0,149629;-0,199963;0,2649369
5|TOP2|0,06664453|-0,7630069;-0,6982889;0,05183828;0,2347649;-0,03448617;-0,2817374;0,7579465;-0,3741137;-0,2301968;-0,4082321;-0,3634011;0,3518722;0,9196999;-0,1211756;-0,7730086;0,4598572;-0,8133259;-0,6122289;0,08753908;0,7137873;-0,301325;-0,396711;0,5271986;0,1312577;0,0421313;0,4073379;0,01334536;-0,3223017;-0,01248252
6|TOP2|0,03142579|-0,5602419;-0,7195332;0,6470916;0,4839458;0,3297255;0,7302775;-0,5400188;-0,798552;0,8009388;0,4612972;-0,7628486;-0,3600286;0,3038771;0,3677091;0,7767065;0,9880974;0,1354636;-0,06144726;0,4909789;-0,9887471;-0,4843012;0,12758;-0,7911823;0,4154417;0,01430452;0,7414591;0,706532;0,8341901;-0,5451996
