Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,03145048
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,03145048|-0,130674;-0,00172174;-0,453885;0,4351978;0,5943894;0,4585054;-0,3009831;0,9975164;-0,3283385;-0,920083;-0,7079237;-0,8401744;-0,4529384;-0,4341301;-0,460816;0,1029621;-0,7380359;0,09161985;-0,03717244;-0,8267787;-0,7589142;0,2909269;-0,1814464;0,2622132;-0,6853287;0,6987138;0,6111543;-0,8427713;0,1250426
1|TOP2|0,02406913|0,5521038;0,2258652;-0,04764664;0,7199852;-0,6900117;0,437422;0,4025354;0,04774749;-0,2412561;-0,1942812;0,768105;0,2061361;0,5410211;0,8891301;-0,360216;0,7655845;-0,4453872;0,7823379;0,9975262;0,6017604;-0,2920376;0,8261461;0,632911;0,5498865;-0,04737079;0,7322032;-0,8916333;-0,08010972;0,1390582
2|RandomParents|0,02034221|0,9940641;-0,8311179;0,3222112;0,8763459;0,5858624;0,025612;0,2338499;0,4926526;0,3225276;-0,7523642;0,7796638;-0,5422616;0,6238546;0,5554788;0,5659051;-0,3576211;-0,2149752;0,03433025;-0,7619925;0,7125099;0,333286;-0,3049473;-0,5634136;-0,2640535;0,2315644;0,6489565;0,7887702;-0,6372101;-0,2435549
3|TOP2|0,01952511|0,5465083;0,9033368;-0,1570159;-0,8546977;-0,9001217;-0,5925596;0,2435325;0,6247168;-0,8731706;-0,1160189;-0,3123146;-0,4134394;0,3777666;0,1421334;0,007197022;-0,685652;-0,6668136;-0,6933184;-0,9371166;-0,2219547;0,6285074;-0,04005921;-0,2866586;0,7142494;0,1210574;0,4552507;0,2676909;-0,9883275;0,4482131
4|TOP2|0,01910378|-0,8218112;-0,7777877;0,8531563;0,669107;0,7744777;-0,2046736;-0,7848487;-0,4327949;0,3437893;0,4685135;-0,03830993;0,1905783;0,1689523;-0,7755563;0,0656985;-0,3642634;0,6542821;0,02460659;-0,02322972;-0,1531905;0,6030121;-0,1228596;0,1758376;0,2378992;0,3720264;0,920805;0,772162;-0,3001732;-0,01812708
5|TOP2|0,01868418|-0,9136057;0,3272402;0,4461655;-0,4256417;-0,507057;-0,3134333;0,3683402;0,5887017;-0,7180486;0,8504694;-0,118461;-0,5673728;0,8010063;-0,2877744;0,2753873;-0,7983656;0,8569882;-0,009853959;0,5736814;0,1145805;-0,4104558;-0,1922292;-0,5044711;0,7103364;-0,8806095;0,04475248;-0,03491414;-0,4899615;0,6733465
6|TOP2|0,01843799|0,6547704;-0,3475112;0,2283224;-0,9768319;0,935318;0,2929055;-0,8814697;-0,5743628;0,5494833;-0,4280261;-0,7171264;-0,09063804;-0,9764698;0,686034;-0,7822838;0,3488381;-0,8547063;0,134533;0,7744231;0,5854082;-0,6345549;0,1122221;-0,629113;-0,6864872;-0,8665109;-0,1137248;-0,2762753;-0,1150814;-0,1907271
