Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,07993504
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,07993504|-0,4043719;0,4817416;0,6148634;0,6019783;-0,6331847;0,6486776;-0,4203829;0,05437601;0,801337;-0,6201177;0,1769525;-0,3110086;-0,8875055;0,3238344;-0,93385;0,9888425;0,4112072;0,2214245;0,6100235;0,6165249;-0,9273255;0,1890174;-0,6923027;0,3002371;0,5394292;-0,9428272;-0,1654009;-0,5088446;0,4128916
1|TOP2|0,07785609|0,1274954;-0,08734334;-0,1896805;-0,06661665;-0,1390706;0,07045233;0,2947893;0,5556264;0,006944299;0,5153966;0,3992083;-0,4536301;-0,9313192;-0,4201871;0,8853629;-0,06727207;0,9278455;-0,2141932;0,2882824;-0,9386189;-0,436673;0,3001752;0,790168;-0,4292511;0,2218937;-0,6311746;-0,5527375;-0,1019162;0,7062345
2|TOP2|0,07779429|-0,02023971;-0,1006008;-0,06494629;-0,1407236;-0,2423126;-0,4603382;0,8471844;0,7759166;0,9643354;-0,5973465;-0,06641996;0,8643515;-0,7606685;-0,8328831;0,04601777;0,8681633;-0,2958335;0,925252;0,4645276;-0,06605947;-0,1463145;-0,318076;-0,8140118;-0,2722543;0,7829444;0,05744994;-0,2885588;-0,1656312;0,07468474
3|RandomParents|0,07702065|0,4571583;-0,9338174;-0,9399352;0,6745515;-0,2884318;-0,8364999;-0,481306;-0,9688032;-0,08871543;0,411582;0,9312472;0,6778798;-0,3456677;0,833349;0,9938593;0,5279038;-0,9929411;0,5644357;-0,259931;-0,456288;-0,2366501;-0,1562773;-0,07652342;0,204487;-0,1575626;0,3303411;0,9699697;-0,6417289;0,1888055
4|TOP2|0,07336541|-0,2829183;0,8743043;-0,4532512;-0,5214956;-0,1846896;-0,9936323;0,646179;-0,8452389;0,4288282;0,4449491;0,9781177;-0,5057881;0,261384;0,3776376;0,6618867;0,6641715;-0,2877885;0,7564995;0,4881193;0,5157619;-0,6172676;0,1450309;0,06198204;-0,5053632;-0,5456028;-0,08471239;-0,07905376;-0,2406148;-0,0278877
5|TOP2|0,0713274|-0,5164878;-0,9620132;0,920963;-0,02050602;0,3079805;0,6717262;0,3700742;-0,8245089;-0,7302771;-0,612817;-0,6413214;-0,8931603;-0,6484106;-0,8530374;-0,8821309;0,2926514;0,4567132;-0,2456273;-0,4389809;-0,5438936;-0,05212128;0,9556506;-0,7258675;-0,06459892;0,09566844;-0,9959357;0,6411312;0,9895301;0,9358001
6|TOP2|0,07132|0,9551833;0,3683285;-0,7811925;0,8295572;0,970022;0,2365204;0,176047;0,8451445;0,6433241;0,4751835;-0,8453076;0,2129391;0,3040888;0,3384547;0,8229423;-0,6048994;0,8891809;0,9719326;-0,5506685;-0,1574057;-0,5834587;-0,4324976;-0,3500429;0,3601837;0,6365333;0,9813271;-0,8270586;0,422971;-0,2027615
