Generation: 153 | maxFitness: 0,1385353 | maxFitnessGen: 0,1220525 | maxFitnessGenBuf: 0,1227931
N TotallyRandom: 10 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1227931|0,03959602;-0,3986453;0,1628793;0,5483565;0,1511052;-3,105951;0,2225365;-0,897061;1,012201;-1,883143;-3,02535;-1,13261;0,05101365;1,584611;-2,035438;-0,4392833;-0,3567933;-0,1083163;0,3133056;-0,1239531;-2,385003;-0,6516481;-0,9386671;0,1335602;-1,92222;-0,1636453;1,791187;-1,922489;0,2753789
1|TOP2|0,1227931|-0,5036831;-0,846606;0,1628793;0,1581066;1,023474;-1,795038;0,3740552;-1,796116;1,012201;-1,883143;-3,02535;-1,066316;0,05101365;0,7129306;-2,035438;0,3876477;0,3965927;-0,1083163;0,7244611;0,9594121;-2,721159;-0,8339445;-0,4399597;0,1335602;-3,744445;-1,004472;1,31504;-1,922489;0,2753789
2|TOP2|0,1227931|0,03959602;-1,32459;-0,656074;0,5483565;1,737591;-3,16912;0,2225365;-1,102507;1,201225;-1,518297;-3,502095;-1,458224;0,05101365;0,7129306;-2,035438;0,3876477;-0,196413;0,6150969;0,4311177;0,5417297;-2,721159;-0,6516481;-0,4399597;0,1335602;-3,605375;-0,7870487;2,554456;-1,922489;0,2753789
3|TOP2|0,1227931|0,03959602;0,187373;0,1628793;-0,4021998;1,508474;-2,177429;0,159709;-2,309353;1,012201;-1,70945;-3,142828;-1,304758;0,9953019;0,6648856;-2,035438;0,3876477;0,3965927;-1,010715;0,3398688;0,5417297;-2,353414;-1,082386;-0,4399597;0,1335602;-2,656669;-1,004472;2,312746;-1,922489;0,2753789
4|TOP2|0,1227931|0,03959602;-0,3986453;1,026297;0,5483565;1,278289;-2,188855;0,6323432;-2,18409;1,964219;-1,883143;-3,790286;-2,192765;0,05101365;0,7129306;-2,035438;0,3876477;0,8074062;0,7653483;-0,5545291;1,353625;-2,721159;-0,7356154;-0,4399597;0,1335602;-2,83189;-1,004472;1,791187;-1,922489;0,2753789
5|RandomParents|0,1197854|-0,9233589;-0,8231741;1,079274;0,369854;-0,6482567;0,2795829;2,002037;-1,325176;-0,4832011;0,6770738;2,159758;-0,06052637;0,926344;-1,255505;0,1140805;1,074649;-0,5032285;-0,04263882;0,6153836;-1,925268;1,712247;1,196955;0,9493001;-0,3358417;0,05127001;0,8642297;0,297534;-1,023349;-1,358696
6|TOP2|0,1101285|0,03959602;-0,3986453;0,2857873;0,9174842;1,023474;-2,782021;0,2225365;-1,796116;1,012201;-2,165661;-3,224954;-1,27828;0,1321128;0,7129306;-2,035438;0,5760195;-0,3846811;0,4149138;0,2660559;0,803292;-2,721159;-0,007674992;-0,4399597;0,4094529;-2,026707;-1,805792;1,424482;-1,922489;0,8692415
7|RandomParents|0,1044235|0,03959602;0,2663494;0,1162213;0,6061154;1,252241;-2,059819;-0,8970249;-2,539212;1,278617;-0,970865;-4,28818;-0,8965288;-1,017167;0,4068813;-1,320621;-0,03837013;1,159065;0,1141996;0,4108118;0,137946;-3,148398;-0,9766191;-1,911732;-0,2212043;-2,823569;-0,9751846;1,129214;-2,388635;0,1092699
8|TOP2|0,1003041|0,03959602;-0,3986453;0,1628793;0,3837815;1,023474;-2,188855;0,2225365;-1,796116;1,074939;-2,659504;-3,682184;-1,292304;0,366845;0,7129306;-2,172744;0,5368838;0,3965927;-0,8754607;0,2660559;0,1035584;-2,913387;-1,603242;0,4698787;0,1335602;-2,183758;-1,004472;0,8670702;-0,9596788;-0,1634873
9|TotallyRandom|0,0979353|0,1863948;-0,4771475;-0,02880967;-0,9838006;0,2577991;0,01110923;-0,4243439;0,5006418;-0,9638805;0,8606155;-0,618243;-0,5988142;0,7577624;-0,1127809;0,08414114;-0,5130811;-0,0696789;-0,7542858;-0,6919096;-0,04336464;-0,367793;0,8024118;-0,9424477;0,9700806;-0,8765113;-0,02028382;-0,5068078;0,7276266;-0,568593
10|TOP2|0,08869807|0,03959602;-0,2222004;0,1628793;1,200023;1,023474;-2,510265;0,2225365;-2,138608;1,012201;-1,883143;-2,578021;-0,4743235;0,05101365;0,7129306;-2,360829;0,0604679;0,4142461;-0,9446131;1,125544;0,5417297;-3,390868;-1,611727;-0,4008151;0,1511985;-3,689501;-0,2627797;1,521208;-1,922489;0,2753789
11|TOP2|0,08812944|0,8122072;-0,3986453;0,335997;0,5072482;1,023474;-2,254533;0,2225365;-2,565418;0,7411306;-1,5631;-3,02535;-1,27828;0,9861311;0,7129306;-2,035438;0,3876477;0,3965927;0,8729497;0,2660559;0,5417297;-2,721159;-0,6516481;-0,4399597;0,1335602;-2,231124;-1,004472;0,9933016;-2,045936;0,2753789
12|TOP2|0,07783069|0,4966685;-0,3986453;0,4267107;1,266411;1,140942;-2,459742;0,2225365;-1,796116;0,9577658;-1,883143;-3,02535;-1,27828;0,05101365;0,7129306;-2,836248;0,3876477;-0,2300593;-0,1083163;0,8990985;-0,171422;-2,721159;-0,6516481;-0,925361;0,1335602;-3,246975;-0,2446082;1,706315;-1,59841;0,2753789
13|TOP2|0,07607941|-0,2774424;-0,3986453;-0,490976;1,119395;0,9114906;-1,605654;0,2225365;-2,052345;1,012201;-1,77532;-2,249112;-1,27828;0,05101365;0,7129306;-2,035438;0,3876477;-0,560542;-0,7059034;0,2760303;0,5417297;-2,721159;-0,1346803;-0,4399597;0,1335602;-2,83189;-1,004472;1,536211;-2,505608;0,2753789
14|TOP2|0,07112607|-0,7176777;-0,3986453;0,04018708;1,482053;0,1169603;-2,188855;0,1576176;-1,796116;1,012201;-1,883143;-2,469492;-1,27828;0,05101365;1,679199;-2,215841;-0,5477294;0,1950137;-0,1083163;0,2660559;0,9855826;-1,875281;-0,6516481;-0,4399597;0,1335602;-2,83189;-1,358298;1,791187;-2,567467;0,2753789
