Generation: 467 | maxFitness: 0,1438737 | maxFitnessGen: 0,1161765 | maxFitnessGenBuf: 0,1413354
N TotallyRandom: 10 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,493

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1413354|0,3950231;0,1122628;-1,377941;-0,2611672;-0,08780491;0,5169814;1,151452;-1,066699;-1,492558;-0,8875036;0,9733818;0,6099818;1,694515;1,990478;1,135456;0,9899807;0,1888956;-1,216821;-0,1291907;-0,6625148;0,1973366;0,3226716;-0,417972;0,3267969;-1,100459;0,9702549;0,6841351;0,1508377;-0,05072725
1|RandomParents|0,1413354|0,3950231;0,1122628;-0,5217669;0,1905455;-0,08780491;0,5169814;1,151452;-1,066699;-1,492558;-0,8875036;0,9733818;0,6099818;0,9792671;1,990478;1,135456;0,9899807;0,1888956;-1,216821;-0,1291907;-0,6625148;0,1973366;0,3226716;-0,5912173;0,3267969;-1,100459;0,9702549;0,6841351;0,1508377;-0,05072725
2|TOP2|0,137526|0,3950231;0,5123239;-0,5217669;0,1071668;0,211387;0,5169814;0,2942687;-1,066699;-2,147754;-0,8875036;0,9733818;1,406705;0,5291482;1,803625;1,135456;0,9899807;0,1888956;-1,216821;-0,1291907;-0,6625148;0,1973366;0,7898163;-0,2373698;0,3267969;-1,100459;0,3998232;0,6841351;0,1508377;-0,05072725
3|TOP2|0,1268827|0,3950231;0,1122628;-0,5217669;0,4854456;-0,08780491;1,274579;1,151452;-0,490046;-2,295597;-1,537231;0,9733818;0,191378;0,1666641;1,91009;1,899091;0,9899807;0,1369524;-1,216821;0,7080123;-1,626875;0,1973366;0,3226716;-0,5912173;0,3267969;-1,100459;1,008027;0,2018297;0,1508377;-0,05072725
4|TotallyRandom|0,106943|-0,1700944;-0,6185064;0,6913676;0,3550765;0,8595998;0,3280644;0,5067487;0,5036998;-0,3898853;-0,2762233;-0,2215086;-0,1262137;0,5204248;0,3146171;0,9569449;-0,5680335;-0,01230991;0,04230726;0,1847922;-0,8753762;0,03000796;-0,2955109;0,5879629;-0,2589673;0,2447871;0,5049558;-0,4377717;-0,2226707;0,303663
5|TOP2|0,09149345|0,9009187;0,1122628;-0,3837069;0,1905455;-0,4445369;0,01917166;1,151452;-1,066699;-1,529291;-1,538971;0,9733818;0,8899891;0,9792671;1,990478;1,135456;1,815434;0,1888956;-1,216821;-0,1291907;-0,6625148;0,1973366;0,3226716;-0,0380168;0,3267969;-1,100459;0,5488006;0,6841351;0,1508377;-0,0408895
6|TOP2|0,05723768|0,3950231;-0,7231821;-0,6370853;0,1905455;-0,6777889;0,5169814;1,151452;-1,066699;-1,492558;-0,8875036;1,849748;0,6099818;0,9792671;2,063012;1,135456;0,9899807;0,1888956;-1,069589;-0,1544055;-0,6625148;0,1973366;0,3226716;-1,358817;0,3267969;-1,100459;1,102737;0,6841351;0,1508377;-0,05072725
7|RandomParents|0,05500953|0,3218439;-0,3408754;-0,8477308;0,1236573;0,410389;1,17363;1,958214;-1,270191;-1,19367;0,01051521;0,4736436;-0,1791098;0,9792671;1,990478;2,009508;0,6975598;0,2077341;-1,628607;-0,4850367;-0,7769058;0,09844133;-0,3544369;-0,721908;-0,1743537;-1,100459;-0,5821157;0,4680903;0,04092008;0,283764
8|TOP2|0,05473822|1,001306;0,1122628;-0,5217669;-0,6409944;-0,08780491;-0,433751;1,324741;-1,74363;-1,492558;-0,8875036;0,812627;0,6099818;0,9792671;1,990478;0,6465256;1,506233;0,1888956;-1,216821;-0,4121841;-0,6625148;0,1973366;0,3226716;-0,6837088;0,3267969;-0,6490902;0,9702549;0,1419655;0,1508377;-0,05072725
9|TOP2|0,0543919|0,6019484;0,6010605;-0,9588772;0,1905455;-0,08780491;0,8698506;1,151452;-1,066699;-1,492558;-1,403716;0,9733818;0,6099818;1,792156;1,990478;1,135456;0,9899807;0,1030719;-1,776279;-0,1291907;-1,304696;0,4329961;0,9440102;-0,2632764;-0,6392688;-1,100459;0,9702549;0,6841351;-0,8165681;-0,248313
10|TotallyRandom|0,04068937|-0,0779165;0,8154509;-0,3300163;-0,272895;-0,7595501;0,2778656;-0,08714807;-0,5465009;0,64324;-0,710695;0,3124525;0,06454265;0,9675827;0,01628363;0,7987487;0,7361093;-0,4669267;-0,5831006;-0,2421421;0,1303335;0,3484783;0,358236;-0,9542708;-0,9866817;-0,7305133;0,229195;0,08298552;-0,06640017;0,4047992
11|TOP2|0,04013543|-0,1113119;0,1122628;-0,5217669;-0,3562842;-0,08780491;-0,2784328;1,151452;-1,066699;-1,492558;-0,8875036;0,1650017;0,9959745;1,078599;1,314155;1,135456;0,9899807;0,1888956;-0,4308577;-0,1291907;-0,6625148;0,1973366;0,3226716;-0,5912173;0,3267969;-1,160799;1,05051;0,6841351;0,1508377;0,09898496
12|TOP2|0,03989972|0,3950231;0,7596946;-0,5217669;0,1905455;-0,08780491;0,5169814;0,823359;-1,066699;-1,906507;-0,6098626;1,156814;0,3284241;0,9792671;1,990478;1,135456;0,9899807;0,6902488;-0,6487904;-0,1291907;-1,347988;0,1973366;-0,3537191;-0,5912173;0,3267969;-1,100459;1,30779;1,190954;0,1508377;-0,05072725
13|TOP2|0,03989972|-0,3747389;0,1122628;-0,5217669;0,1905455;-0,08780491;0,5169814;0,2568823;-0,7033;-1,980711;-0,9849287;0,9733818;0,6099818;0,82208;1,990478;1,132183;0,9899807;0,395071;-1,216821;-0,1291907;-0,6625148;0,1973366;-0,5896178;-0,5912173;0,3267969;-1,100459;0,9702549;0,6841351;0,1508377;-0,05072725
14|TOP2|0,03970703|0,3950231;0,7193175;-0,1470762;-0,6061345;0,601133;0,5169814;0,3881687;-1,101333;-0,8713088;-0,8875036;0,9733818;0,6099818;1,864196;2,60801;1,75345;0,6050392;0,1888956;-2,043228;-0,9185307;-1,357464;0,1973366;0,3226716;0,08489418;0,3267969;-1,100459;0,9702549;0,6841351;0,5464427;-0,05072725
15|TOP2|0,039638|-0,5760295;0,9263099;-0,5217669;0,1905455;-0,08780491;0,5169814;0,1517929;-1,066699;-1,492558;-1,535547;0,9733818;0,6099818;0,9792671;2,348145;1,075831;0,9899807;0,3185802;-1,303457;0,5816329;-0,6625148;0,1973366;-0,4338449;-1,212219;0,3267969;-1,100459;0,9702549;0,6841351;0,1285574;0,4623667
16|TotallyRandom|0,03950634|0,1587433;0,7077034;-0,6735344;-0,0218116;-0,1965002;0,07340729;-0,6054466;0,8330164;0,882349;-0,9026582;0,08302391;0,06081951;0,7346628;-0,3626047;-0,1591691;-0,08548295;-0,5767713;-0,8492777;0,6962554;0,3676142;0,2716875;0,3687064;0,3602209;0,7023599;-0,6911578;0,1776341;0,8317943;0,7034452;-0,3751582
17|TOP2|0,0393079|1,138409;-0,6700913;-0,5217669;0,1905455;-0,08780491;0,5169814;1,151452;-1,739441;-0,6800835;-0,8875036;1,665048;0,6099818;0,7351507;1,990478;0,5566243;0,9899807;-0,6620976;-0,832978;-0,1291907;-0,6625148;-0,7550789;0,3226716;-0,5912173;0,3267969;-1,100459;0,9702549;1,620593;0,1508377;-0,05072725
18|TOP2|0,03628829|0,01585352;0,1122628;-0,5217669;0,1905455;-0,08780491;0,5169814;1,336078;-1,066699;-1,492558;-0,8875036;0,9733818;0,6099818;0,9792671;1,990478;1,135456;0,9899807;-0,7912296;-1,216821;-0,1291907;-0,6202328;0,1973366;-0,3075772;-0,5912173;0,3267969;-0,9302864;1,593796;0,001051068;0,1508377;-0,05072725
19|TOP2|0,03559045|0,3950231;0,2146041;-0,5217669;0,1083553;-0,08780491;0,5169814;1,151452;-1,197609;-1,492558;-0,8875036;0,9733818;0,6099818;1,602454;2,014593;1,135456;0,9899807;0,1888956;-1,216821;-0,6586375;-0,6625148;0,1720074;0,3226716;-0,5912173;0,04817224;-1,100459;0,9702549;0,7030923;0,1508377;-0,4092138
20|TOP2|0,03503586|-0,1307404;0,3143937;0,4482336;0,2314926;0,2141992;0,5169814;1,005096;-0,4387183;-1,492558;-0,7628518;0,2280915;0,6099818;0,9792671;1,990478;0,1528903;0,9899807;1,007253;-1,216821;0,2668747;-1,070065;0,1973366;0,3226716;-0,4697462;0,3267969;-1,264914;0,7236017;0,6841351;0,1508377;-0,3208907
21|TOP2|0,03486237|0,4887143;0,1122628;-0,5217669;0,1905455;0,3252707;1,191867;1,151452;-1,473067;-1,492558;-0,6118844;1,865972;-0,1571586;0,2700038;1,990478;0,6053458;0,9899807;-0,6208133;-1,216821;0,0625125;-0,6625148;0,1973366;0,1783853;-0,6546651;-0,009191036;-1,100459;0,3666539;0,6841351;0,07092111;-0,05072725
