Generation: 13 | maxFitness: 0,1050543 | maxFitnessGen: 0,1050543 | maxFitnessGenBuf: 0,1227756
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1227756|0,1489286;-2,202789;-1,221481;-0,08150655;-1,370006;1,824721;-0,5841616;2,903637;0,2200223;-0,5322402;0,3105683;-1,793541;-1,632934;-1,605583;-1,74415;1,46281;0,9273137;0,5825818;-0,1378681;1,577592;-1,16595;-2,556417;-1,500362;0,2364057;-0,6544623;-2,07612;-1,149108;0,2059702;0,06690896
1|TOP2|0,1118834|0,9421415;-0,9918602;-0,8012037;-1,56242;-1,022299;0,9497679;-0,6959495;3,936826;0,2200223;-0,6513754;-0,6607697;-3,107046;-1,632934;-0,704974;-2,529841;0,47572;1,089831;1,181247;0,2267134;2,931876;-1,109482;-1,590114;-1,444909;0,06439954;0,1560197;-2,141303;-1,590331;-0,6703805;0,06690896
2|TOP2|0,1107726|0,8894014;-1,511488;-0,8012037;0,2603342;-1,022299;1,260195;-0,5841616;3,05128;0,8821379;-0,6513754;0,2838698;-2,944619;-1,156192;0,2811391;-2,529841;-0,4480287;2,031118;0,5825818;0,1918923;2,511267;-1,607163;-1,590114;-0,5257488;0,09821242;0,1560197;-2,327421;-2,572814;-0,5169227;0,06690896
3|TOP2|0,110336|0,1489286;-0,5717919;-0,8012037;-0,4412796;-1,022299;0,6876273;0,01998156;3,05128;0,2200223;-0,6513754;0,4699236;-2,042426;-0,9004225;0,2388195;-2,529841;0,47572;1,04208;0,5825818;-0,6269966;3,036182;-1,838167;-1,590114;-1,444909;0,09821242;-0,253178;-2,808226;-2,267764;-0,6703805;0,06690896
4|TOP2|0,110336|1,085921;-1,511488;-0,8012037;-1,215377;-1,022299;1,260195;-0,8148057;2,097259;0,2200223;-0,6513754;0,7791578;-2,266482;-1,632934;-0,1130834;-3,289783;0,1413233;0,6837976;0,7795572;-0,2091458;2,511267;-1,16595;-1,590114;-1,444909;0,09821242;0,1560197;-2,941775;-1,590331;-0,6703805;0,06690896
5|TOP2|0,110336|0,1489286;-1,128906;-0,7812732;-1,138719;-1,022299;0,3812282;0,3103046;3,836058;0,6450949;-0,6513754;0,3105683;-2,138426;-1,676951;-0,704974;-2,529841;0,47572;1,405519;0,5825818;0,1918923;2,646403;-0,895914;-2,118845;-0,9466571;0,09821242;0,8561792;-1,432458;-2,097072;-0,6703805;0,06690896
6|TOP2|0,110336|0,1489286;-1,91088;-1,581763;-0,6688073;-1,022299;1,260195;-0,3186193;3,05128;-0,556106;-0,6513754;0,1379724;-2,895744;-0,8623732;-0,704974;-1,930971;0,47572;1,405519;0,4653184;0,1918923;2,819184;-1,16595;-1,500495;-1,086785;0,09821242;0,1560197;-2,141303;-1,674709;-0,6703805;0,06690896
7|TOP2|0,110336|0,4995009;-1,511488;-1,216231;0,1110045;-1,022299;1,260195;-1,483813;3,05128;0,2200223;-0,6513754;-0,1923521;-2,138426;-2,265384;-0,704974;-3,236852;0,47572;1,420949;0,5825818;0,1918923;2,512137;-1,869757;-1,590114;-1,315896;0,09821242;-0,503799;-2,77983;-2,455253;-0,6703805;0,06690896
