Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,08917159
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,25

Index|Brain Type|Fitness|BrainData
0|TOP2|0,08917159|-0,7578874;0,9920599;-0,9208641;-0,5819058;-0,9062572;-0,7974608;-0,2983674;-0,2802175;0,02721751;0,9806616;0,8486123;0,4477262;0,7783165;0,1589547;0,3614351;-0,4762934;-0,5238357;0,08327544;-0,5477977;0,9639461;-0,6368892;-0,6120262;-0,1829044;-0,07438433;0,7052279;0,05093873;0,7220919;-0,7251966;0,05243576
1|TOP2|0,08162301|0,1240875;0,04532301;0,8798711;-0,4545811;-0,8165488;0,2524173;-0,6619835;0,3098621;-0,3006822;0,8643458;-0,02534401;0,3009765;-0,9844153;0,2004563;-0,1710235;0,3787849;0,5531142;0,1269525;-0,1799656;-0,3845185;-0,7663081;0,03384984;0,1637677;0,1018761;0,9345939;-0,06131971;0,5688741;0,3778183;-0,1498829
2|TOP2|0,06982511|-0,3402075;0,7006159;0,3758781;-0,314782;0,339874;0,7996109;-0,5728977;0,08493817;-0,008509755;-0,8383796;0,3465261;-0,9824171;-0,6756988;-0,7484016;0,5909109;-0,2642943;0,9059405;0,6987562;0,7121532;-0,6417542;-0,4456612;0,865196;0,5157557;0,8570645;0,6744864;0,1083401;-0,4013463;-0,2452453;0,402018
3|TOP2|0,04574369|0,2631664;-0,2448615;-0,1735941;-0,6052155;0,934016;0,4241805;-0,8997715;-0,7453446;-0,0801326;0,9086885;-0,2674309;0,2202624;-0,3430325;0,8060465;0,9687562;-0,6783588;0,596581;-0,1541473;-0,8439503;-0,05536497;0,2310058;-0,6785302;0,5568917;0,5663736;0,9900129;0,6560893;0,9241595;-0,9161685;-0,3022982
4|TOP2|0,04084214|-0,2649206;-0,1493253;0,5002108;-0,1344618;-0,6512847;0,5153141;-0,1335431;0,2254311;-0,5445011;0,8253453;-0,7450457;0,03527057;0,8770728;0,9907653;-0,8226798;0,07192266;-0,04368007;-0,4773713;0,618264;0,9300563;0,1838297;-0,005200744;0,1564499;-0,7621825;-0,910423;0,5136459;-0,5163186;-0,8469741;0,1569709
5|TotallyRandom|0,02056009|0,594243;0,4022598;-0,3065163;-0,3275303;0,8771172;-0,901386;0,8043375;0,1776844;-0,08631337;-0,4403874;-0,62181;-0,3315178;0,8885486;0,3952031;0,8274913;0,03691494;0,6886215;-0,5843091;-0,6090312;-0,1344999;0,5844963;0,2008282;0,2750749;-0,8585021;0,2597377;-0,6818612;0,3684654;0,2346221;-0,3212434
6|TOP2|0,02037518|-0,6324754;0,4258706;0,9423852;-0,806906;-0,3779672;-0,09146273;0,4942715;0,5014746;0,7993088;0,3249976;-0,273827;0,7586563;0,5920362;0,1353027;0,1772894;0,7786794;0,4945635;0,6726937;-0,5368538;0,6210082;0,8740036;0,2484146;-0,100515;-0,2609738;-0,01446807;-0,5294206;-0,8917558;-0,4830688;0,4245107
