Generation: 16 | maxFitness: 0,1227756 | maxFitnessGen: 0,109834 | maxFitnessGenBuf: 0,1100263
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1100263|0,1489286;-2,957276;-1,670706;-0,5873697;-1,182689;2,942789;-0,6283564;2,903637;0,2200223;-1,02359;-0,6567861;-1,793541;-1,78952;-0,6758941;-1,74415;1,46281;0,9273137;2,707706;-0,6704425;2,63937;-2,127464;-2,556417;-1,448451;0,2364057;0,7077098;-1,670106;-0,7445303;0,2059702;0,06690896
1|TOP2|0,1100263|0,1489286;-2,002684;-0,8592929;0,5808315;-0,9131544;1,863093;-0,7004331;2,018832;0,2200223;0,05791141;-0,06913912;-1,793541;-2,516375;-0,687354;-2,015643;2,138109;0,9273137;1,894637;-0,1551796;2,993966;-1,090918;-2,313282;-1,448451;0,2364057;0,7077098;-0,8596851;-1,591623;0,2059702;0,06690896
2|TOP2|0,1100263|-0,1202409;-3,10995;-1,400455;-0,08150655;-0,7504891;1,747326;-1,090538;3,719823;0,2200223;-0,1238607;-0,6567861;-1,793541;-3,079152;-0,6758941;-1,74415;0,9608083;0,8296256;1,894637;-0,1551796;3,16924;-2,352536;-2,556417;-1,448451;0,2364057;1,490238;-1,425501;-1,270831;0,2059702;0,06690896
3|RandomParents|0,1100263|0,1489286;-2,939171;-1,221481;-0,08150655;-0,9124631;1,824721;-0,5841616;2,903637;0,2200223;-0,5322402;0,08389458;-1,793541;-1,632934;-0,7852385;-1,74415;1,46281;0,9273137;1,512364;-0,1378681;2,065016;-1,869995;-2,556417;-1,500362;0,2364057;0,2265189;-1,425501;-1,927504;0,2059702;0,06690896
4|TotallyRandom|0,1025776|-0,01246822;-0,6929321;0,1539217;0,9225242;0,9182553;0,4215409;0,1712703;0,582372;0,7607236;-0,7046385;0,1850725;-0,0355283;0,3198161;0,1734668;-0,2092036;0,8475196;-0,4656564;-0,2288822;0,9588699;-0,9619198;0,8432372;-0,7537084;0,175913;0,4602775;0,3028221;-0,6515439;0,5934696;0,359982;-0,439279
5|TOP2|0,09166175|0,5562493;-2,957276;-0,6732813;-0,08150655;-0,2039593;1,928505;-0,6283564;2,872342;0,1829243;-0,1238607;-0,6567861;-1,793541;-2,041177;-0,5716307;-1,74415;0,9464836;1,292256;1,626098;-0,4878027;3,322826;-2,292899;-2,556417;-1,099051;0,2364057;1,583548;-1,425501;-1,023548;-0,6379465;0,2557843
6|TOP2|0,09087032|-0,7491913;-2,566231;-1,716353;-0,5106542;-1,120245;1,586274;-0,6283564;2,430356;0,2898605;-0,1238607;0,08676302;-1,793541;-2,516375;-0,6758941;-2,240772;1,493773;-0,04789364;1,894637;-0,1551796;2,993966;-1,869995;-2,556417;-1,448451;1,12998;1,368786;-1,425501;-1,591623;-0,02277157;0,06690896
7|TOP2|0,08994709|0,1489286;-2,957276;-1,221481;-0,1899204;-0,7504891;2,561491;-0,6283564;2,903637;0,2200223;0,6985885;-0,6567861;-2,130899;-2,516375;-0,6758941;-2,473208;1,46281;0,9273137;1,894637;0,6979119;3,531009;-1,023575;-3,257409;-2,335377;0,2364057;0,4892038;-2,211164;-0,8255397;-0,1630935;0,06690896
