Generation: 114 | maxFitness: 18,90282 | maxFitnessGen: 18,90282 | maxFitnessGenBuf: 26,00457

Index: 0 : -0,847568;4,224662;0,1055033;2,111846;-3,040082;-4,356837;-5,002731;-1,339516;2,921514;0,9981765;-2,315319;-3,870995;-0,9566799;-1,251482;1,983412;-2,154404;0,4674107;1,057084;2,598017;-2,607452;-1,549438;-1,391518;1,064553;-2,101017;4,360852;-2,410227 | Fitness: 26,00457
Index: 1 : -0,8728837;4,332397;0,2037905;2,132803;-2,985126;-4,442353;-4,954975;-1,13395;2,943301;0,7029589;-2,361794;-3,895924;-0,9586769;-0,9865795;1,863544;-1,839033;0,394727;0,9029418;2,59614;-2,558443;-1,493291;-1,302451;1,034262;-1,980923;4,476407;-2,428066 | Fitness: 21,88117
Index: 2 : -0,8784173;4,311164;0,09307212;2,127674;-2,944989;-4,434442;-4,954975;-1,181671;2,943301;0,7029589;-2,302717;-3,891962;-0,966939;-0,9865795;1,908116;-1,786128;0,4434082;0,8899158;2,575206;-2,617886;-1,498309;-1,330667;1,094248;-1,9703;4,455307;-2,419928 | Fitness: 19,16957
Index: 3 : -0,8533725;4,408916;0,1766472;2,082794;-2,94779;-4,511869;-4,976179;-1,101629;2,992326;0,6942542;-2,35361;-4,01243;-0,8274384;-0,9829059;1,764031;-2,016221;0,4453086;0,8732504;2,491012;-2,49453;-1,474605;-1,339226;1,02324;-2,034539;4,502025;-2,349245 | Fitness: 17,29112
Index: 4 : -0,8878113;4,408875;0,09561229;2,069519;-2,950556;-4,369107;-4,91466;-1,065214;3,07308;0,664522;-2,353368;-3,988919;-0,9206616;-1,021618;1,809939;-1,795362;0,4407542;0,9680111;2,474019;-2,549304;-1,406901;-1,343002;1,02134;-2,068635;4,546811;-2,436074 | Fitness: 7,679135
Index: 5 : -0,8069489;4,285395;0,2314579;2,114042;-2,909727;-4,594061;-5,091939;-1,208721;2,879025;0,846494;-2,153286;-3,956816;-0,9346271;-0,9091584;1,814525;-1,984349;0,376592;0,9537615;2,476979;-2,463282;-1,478018;-1,412245;1,069324;-1,937269;4,579039;-2,283996 | Fitness: 4,737798
Index: 6 : -0,8398306;4,311164;0,09307212;2,127674;-2,88735;-4,462149;-4,939747;-1,172296;2,943301;0,7029589;-2,302717;-3,898781;-0,9406138;-0,9716526;1,931887;-1,829769;0,4434082;0,8873366;2,575206;-2,617886;-1,498309;-1,330667;1,075246;-1,992724;4,479909;-2,419928 | Fitness: 2,901968
Index: 7 : -0,8211097;4,235918;0,1168368;2,157161;-3,040082;-4,356837;-5,037014;-1,400217;2,909257;0,972233;-2,315319;-3,88464;-0,9235272;-1,222774;2,030091;-2,183292;0,5380294;1,015366;2,617811;-2,571111;-1,549438;-1,368504;1,079257;-2,101743;4,303722;-2,404094 | Fitness: 2,885015
Index: 8 : -0,8728837;4,332397;0,1941847;2,127674;-2,993318;-4,44609;-4,953778;-1,13395;2,943301;0,6919556;-2,370677;-3,895924;-0,9131841;-0,9865795;1,863544;-1,824895;0,394727;0,8899158;2,575206;-2,573234;-1,483437;-1,325429;1,030227;-1,992724;4,501923;-2,434194 | Fitness: 2,211002
Index: 9 : -0,9157175;4,396814;0,0843391;2,194387;-3,133742;-4,397347;-5,060371;-1,136282;2,950151;0,6912783;-2,112752;-3,952088;-0,9654541;-1,15251;1,888018;-1,985054;0,5658819;0,8751422;2,455025;-2,515587;-1,429313;-1,431998;1,022405;-1,955393;4,581875;-2,238164 | Fitness: 2,066755
Index: 10 : -0,9419526;4,274053;0,1132657;2,038511;-3,052538;-4,408149;-4,999883;-1,29778;2,930253;0,9440249;-2,199056;-4,080307;-0,9434369;-1,275126;2,072171;-2,154404;0,5157521;0,9087476;2,62939;-2,652768;-1,683435;-1,459329;1,033638;-2,016814;4,484255;-2,411791 | Fitness: 1,991009
Index: 11 : -0,933936;4,398714;0,0843391;2,184626;-3,133742;-4,397347;-5,024787;-1,185859;2,950151;0,7278795;-2,153336;-3,992372;-0,9269261;-1,108401;1,92487;-1,990964;0,5658819;0,8628468;2,410797;-2,515587;-1,429313;-1,388456;1,039965;-1,955393;4,581875;-2,220636 | Fitness: 1,889961
Index: 12 : -0,8596527;4,425112;0,09561229;2,069519;-2,989168;-4,369107;-4,959607;-1,065214;3,07308;0,6745815;-2,344377;-3,99957;-0,9654477;-1,064753;1,85707;-1,756722;0,4127651;0,9680111;2,474019;-2,59299;-1,406901;-1,405385;1,001419;-2,038471;4,527442;-2,433724 | Fitness: 1,887547
