Generation: 122 | maxFitness: 26,42486 | maxFitnessGen: 2,591955 | maxFitnessGenBuf: 24,00402

Index: 0 : -0,8169958;4,330831;0,07948776;2,188101;-3,067197;-4,419581;-4,955855;-1,398732;2,880804;0,9885268;-2,24219;-3,950961;-0,961175;-1,217924;1,817291;-2,181408;0,5341688;0,9899728;2,642452;-2,48108;-1,44988;-1,364608;1,082837;-2,080224;4,384153;-2,41526 | Fitness: 24,00402
Index: 1 : -0,7920811;4,330831;0,07948776;2,187384;-3,067197;-4,419581;-4,91382;-1,371209;2,880804;1,013621;-2,233913;-3,950961;-0,9609416;-1,217924;1,899303;-2,13429;0,5393304;0,9956838;2,612756;-2,48108;-1,44988;-1,335533;1,082837;-2,080224;4,358604;-2,382519 | Fitness: 20,69478
Index: 2 : -0,9438186;4,277156;0,03636854;2,027555;-2,99919;-4,365488;-4,975446;-1,333679;2,937258;1,038279;-2,291801;-3,93347;-0,9465637;-1,22152;1,942384;-2,158606;0,5349818;0,9921651;2,621049;-2,530735;-1,486017;-1,366626;1,100501;-2,087392;4,331485;-2,42788 | Fitness: 2,960075
Index: 3 : -0,9309077;4,278171;0,02447816;2,092911;-3,047073;-4,409543;-4,947015;-1,32421;2,930026;0,9612231;-2,263065;-3,905165;-1,012584;-1,24986;2,102996;-2,242325;0,5173377;1,009636;2,62939;-2,610189;-1,674865;-1,458029;1,089714;-2,046096;4,469955;-2,436233 | Fitness: 2,864795
Index: 4 : -0,9156513;4,303881;0,0396728;2,054829;-3,035079;-4,395771;-4,988773;-1,403661;2,940798;0,9221786;-2,152287;-3,961299;-0,9970111;-1,248353;2,09257;-2,154404;0,4883387;0,9522855;2,62939;-2,608636;-1,697451;-1,424332;1,120115;-2,043684;4,460965;-2,432804 | Fitness: 2,83115
Index: 5 : -0,9062051;4,282192;0,1164153;1,986627;-3,022194;-4,426348;-4,969633;-1,410931;2,91951;0,9883048;-2,173317;-3,931038;-0,9224028;-1,252969;1,917091;-2,130296;0,5413448;1,030096;2,595097;-2,516425;-1,435403;-1,460192;1,07959;-2,158236;4,302438;-2,442595 | Fitness: 2,638912
Index: 6 : -0,9156513;4,286895;0,0396728;2,054829;-3,004023;-4,395771;-4,968382;-1,346109;2,940798;0,9675075;-2,20039;-3,946102;-0,9950228;-1,248353;2,07525;-2,154404;0,444675;0,9761757;2,62939;-2,57119;-1,697451;-1,456579;1,120115;-2,043684;4,469955;-2,419324 | Fitness: 2,318852
Index: 7 : -0,8081487;4,303598;0,04140803;2,148198;-3,064508;-4,420603;-4,945872;-1,434556;2,938622;0,9451867;-2,149175;-3,996806;-1,000987;-1,23009;2,023457;-2,1617;0,5442041;1,066643;2,646538;-2,503832;-1,547347;-1,390245;1,068408;-2,121601;4,379404;-2,441842 | Fitness: 2,097841
Index: 8 : -0,8645576;4,30418;0,1295983;2,105273;-3,088354;-4,447415;-4,987471;-1,230423;2,915379;0,9924774;-2,29352;-3,863627;-0,9477211;-1,215266;1,989217;-2,111149;0,4193138;1,071465;2,616647;-2,666515;-1,528185;-1,34392;1,083291;-2,111184;4,344368;-2,405451 | Fitness: 1,82606
Index: 9 : -0,8396879;4,330831;0,07948776;2,188101;-3,067197;-4,419581;-4,877443;-1,371209;2,880804;1,013621;-2,233913;-3,941819;-0,9667208;-1,217924;1,911106;-2,114669;0,5393304;0,9758832;2,642452;-2,527344;-1,436516;-1,319281;1,082837;-2,080224;4,382454;-2,43293 | Fitness: 1,823601
Index: 10 : -0,8154415;4,295525;0,1055033;2,06306;-3,099391;-4,374797;-4,961514;-1,296728;2,917764;0,9240683;-2,253722;-3,945566;-0,924933;-1,166954;1,976852;-2,188741;0,4040323;1,074496;2,598392;-2,516199;-1,45809;-1,35633;1,03969;-2,101017;4,360852;-2,448774 | Fitness: 1,815357
Index: 11 : -0,8401458;4,316204;0,04266062;2,108521;-3,055299;-4,420769;-4,962709;-1,381253;2,953376;1,02825;-2,165665;-4,01303;-1,023036;-1,224898;1,91674;-2,113149;0,5438402;1,020295;2,659084;-2,486739;-1,469045;-1,346982;1,082837;-2,066316;4,416404;-2,396842 | Fitness: 1,814361
Index: 12 : -0,8565274;4,303598;0,04140803;2,148198;-3,04392;-4,420603;-4,945872;-1,434556;2,897985;0,9451867;-2,16729;-3,996806;-1,000987;-1,214157;2,023457;-2,1617;0,5771595;1,066643;2,646538;-2,508688;-1,537262;-1,390245;1,022259;-2,121601;4,379404;-2,441842 | Fitness: 1,810685
Index: 13 : -0,8145231;4,316204;0,04266062;2,107014;-3,068222;-4,449616;-4,90801;-1,385783;2,953376;0,978395;-2,165665;-4,01303;-1,023036;-1,197062;1,88467;-2,101465;0,5438402;1,053165;2,659084;-2,486739;-1,469045;-1,375389;1,054632;-2,073637;4,416404;-2,396842 | Fitness: 1,810119
Index: 14 : -0,8214489;4,316204;0,06336445;2,107014;-3,051869;-4,449616;-4,949135;-1,381253;2,953376;0,978395;-2,165665;-4,017673;-1,042343;-1,198336;1,91674;-2,113149;0,5438402;1,012914;2,706748;-2,486739;-1,508997;-1,375389;1,072561;-2,070752;4,460063;-2,396842 | Fitness: 1,780361
Index: 15 : -0,8154415;4,295525;0,1055033;2,053396;-3,099391;-4,374797;-4,961514;-1,354654;2,917764;0,9240683;-2,255721;-3,906579;-0,924933;-1,118831;1,989217;-2,133157;0,4040323;1,044772;2,548651;-2,589954;-1,439008;-1,345141;1,015577;-2,101017;4,384486;-2,448774 | Fitness: 1,778621
Index: 16 : -0,8214489;4,316204;0,04266062;2,107014;-3,068222;-4,449616;-4,949135;-1,381253;2,953376;0,978395;-2,165665;-4,01303;-1,023036;-1,197062;1,91674;-2,113149;0,5438402;1,020295;2,659084;-2,486739;-1,469045;-1,375389;1,082837;-2,070752;4,416404;-2,396842 | Fitness: 1,756801
Index: 17 : -0,8779238;4,283437;0,000923153;2,092911;-3,029697;-4,351881;-5,016883;-1,369519;2,939224;0,9683173;-2,228037;-3,961299;-0,9970111;-1,248353;2,085813;-2,192637;0,5173377;0,9349635;2,62939;-2,57793;-1,697451;-1,436881;1,13865;-2,101267;4,469955;-2,419324 | Fitness: 1,715477
Index: 18 : 4,280733;1,83426;0,9569626;-2,925916;0,4048462;1,475395;-4,923211;-3,187095;-3,362732;3,462913;-2,835759;1,712752;-1,647554;-3,078485;-0,9404783;-3,341846;0,7206135;-0,493751;0,03370714;-1,592401;0,3165455;-4,385209;-0,8906131;-1,647672;3,930014;1,119745 | Fitness: 1,699202
Index: 19 : -0,8944278;4,282192;0,07891087;2,012693;-3,022194;-4,444448;-4,955552;-1,410931;2,91951;1,026605;-2,173317;-3,93429;-0,9420905;-1,252969;1,925509;-2,151037;0,5775367;1,030096;2,595097;-2,516425;-1,44561;-1,460192;1,075339;-2,158236;4,331444;-2,414012 | Fitness: 1,67611
Index: 20 : -0,8870918;4,273828;0,05564188;2,162929;-3,070539;-4,449616;-4,95149;-1,381253;2,929325;0,9830756;-2,185252;-3,950961;-1,002916;-1,17609;1,975801;-2,158771;0,5393304;1,024948;2,754787;-2,442369;-1,449723;-1,402326;1,100937;-2,094389;4,295197;-2,393724 | Fitness: 1,664539
Index: 21 : -0,8700975;4,302526;0,08914859;2,092463;-3,095042;-4,406093;-5,002731;-1,265965;2,925109;0,9506713;-2,29352;-3,89491;-0,8863158;-1,215266;1,989217;-2,119022;0,4198396;1,148906;2,564644;-2,681827;-1,562599;-1,345217;1,035383;-2,075764;4,367288;-2,405451 | Fitness: 1,663769
Index: 22 : -0,8948162;4,290699;0,05564188;2,162929;-3,112791;-4,449616;-4,95149;-1,415624;2,901953;0,9980913;-2,233256;-3,950961;-1,002916;-1,212805;1,959431;-2,113149;0,5213904;1,016354;2,754787;-2,442369;-1,449723;-1,402326;1,089107;-2,094389;4,335395;-2,393724 | Fitness: 1,650238
Index: 23 : -0,8468381;4,286895;0,03855222;2,092911;-3,058441;-4,442545;-5,016883;-1,369519;2,905688;0,9307429;-2,262338;-3,961299;-0,9718895;-1,248353;2,090247;-2,13709;0,5173377;0,9781449;2,650244;-2,57793;-1,72972;-1,440409;1,13865;-2,101267;4,469955;-2,463985 | Fitness: 1,64772
Index: 24 : -0,9030453;4,32357;0,09841476;2,027555;-3,013114;-4,426348;-4,937148;-1,386898;2,91951;1,032837;-2,17786;-3,895534;-1,004389;-1,252969;1,94947;-2,159519;0,5991449;0,9885065;2,595097;-2,511754;-1,463764;-1,411677;1,127309;-2,158236;4,381077;-2,433692 | Fitness: 1,627144
Index: 25 : -0,8944278;4,318713;0,06165861;2,027555;-3,022194;-4,426348;-4,955552;-1,410931;2,869705;1,024583;-2,173317;-3,931038;-0,9591152;-1,252969;1,924629;-2,142222;0,5775367;1,030096;2,595097;-2,552207;-1,426766;-1,460192;1,07959;-2,140422;4,311032;-2,433692 | Fitness: 1,614591
Index: 26 : 1,729561;3,213923;3,267508;-1,371252;0,08238171;1,268292;4,298028;-0,03130227;3,843963;0,3317857;3,734186;-2,945669;1,40863;-1,046026;-4,766307;3,250346;3,278935;-2,704207;1,665897;-3,105108;-4,406773;0,2111066;-1,434411;-0,8749278;-2,048532;-0,627234 | Fitness: 1,606195
Index: 27 : 1,729561;3,212053;3,267508;-1,371252;0,1497833;1,268292;4,298028;-0,03130227;3,843963;0,2851872;3,6994;-2,945669;1,40863;-1,046026;-4,791315;3,250346;3,197312;-2,704207;1,665897;-3,141363;-4,405522;0,2074006;-1,42419;-0,8749278;-2,063745;-0,6327921 | Fitness: 1,606195
Index: 28 : 1,71666;3,1716;3,109342;-1,377216;0,1344758;1,165489;4,159693;0,1021322;3,868072;0,3429058;3,734523;-2,857291;1,350365;-0,9870887;-4,769175;3,222709;3,121789;-2,62957;1,693717;-3,253781;-4,31048;0,2193109;-1,317628;-0,8006061;-2,158645;-0,6281735 | Fitness: 1,60619
Index: 29 : 1,779954;3,213923;3,141008;-1,332017;0,07141966;1,268292;4,340307;-0,01760154;3,881139;0,3572243;3,715461;-3,00032;1,350595;-1,043293;-4,870371;3,306741;3,269369;-2,690262;1,698668;-3,106894;-4,38625;0,1704745;-1,479094;-0,9422819;-2,142341;-0,6352416 | Fitness: 1,606188
