Generation: 28 | maxFitness: 0,6101888 | maxFitnessGen: 0,2443517 | maxFitnessGenBuf: 0,2850708
N TotallyRandom: 1 | N RandomParents: 0 | N Top2: 80 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,2850708|2,663687;-1,217467;-4,759192;-4,396547;-3,799069;5,624171;-4,369658;-4,563924;0,06314082;-0,08135456;-3,779289;-0,4087022;0,7502293;-0,349169;5,597563;-0,5920287;3,519903;2,557212;0,3420939;-1,912052;5,085208;-3,404075;2,359013;2,363426;-2,427544;3,804934;-5,747942;-2,196392;5,087088
1|TOP2|0,2444731|3,045955;-0,8286324;-4,238945;-4,396547;-3,799069;5,624171;-4,369658;-4,563924;-0,3822514;0,3870433;-3,779289;-0,4087022;0,8858419;-0,4846238;5,509321;-1,028007;3,519903;2,352161;0,3810694;-2,562129;5,085208;-3,537696;1,893844;2,762877;-2,246365;3,804934;-5,278125;-1,987669;4,894814
2|TOP2|0,240436|2,795968;-0,8286324;-4,73105;-4,396547;-3,799069;5,624171;-4,369658;-4,563924;-0,1550174;0,5770693;-3,779289;-0,4087022;0,7502293;0,1103571;5,143163;-0,7878134;3,519903;2,292207;0,3810694;-2,407746;5,174938;-3,297789;1,95168;2,762877;-2,652848;3,804934;-5,368189;-1,987669;4,894814
3|TOP2|0,2360658|3,007751;-0,8398221;-4,48221;-3,927326;-3,349545;5,624171;-4,369658;-4,563924;0,06314082;0,3870433;-3,91987;-0,4087022;0,635314;-0,349169;5,143163;-1,028007;3,89929;2,352161;0,3810694;-2,407746;5,085208;-3,261929;1,893844;2,33961;-2,246365;3,804934;-5,610438;-1,987669;4,894814
4|TOP2|0,2312077|3,007751;-0,8286324;-4,086425;-4,438864;-3,466269;5,624171;-4,58489;-4,563924;0,06314082;0,3870433;-3,779289;-0,4087022;0,7502293;-0,4419917;5,143163;-1,028007;3,536808;2,249126;0,7583224;-2,022048;5,041586;-3,50135;2,087085;2,762877;-2,355803;3,956468;-5,564816;-1,987669;5,390311
5|TOP2|0,2297939|3,45417;-0,8286324;-4,453965;-4,133974;-3,799069;5,851814;-4,572112;-5,010447;-0,3787852;0,5118508;-3,779289;-0,2229321;1,139747;-0,349169;4,771829;-1,028007;3,524449;2,352161;0,3810694;-2,551636;5,48194;-3,50135;2,052714;2,762877;-2,246365;3,804934;-6,028401;-2,271886;4,715183
6|TOP2|0,2265348|3,434903;-0,6743447;-4,498418;-4,396547;-3,658271;5,377704;-4,369658;-4,658211;0,06314082;0,3870433;-3,779289;-0,4087022;0,7502293;-0,349169;5,143163;-1,492644;3,109875;2,232137;0,3810694;-2,407746;5,085208;-3,50135;1,893844;2,762877;-2,246365;3,804934;-5,466328;-1,961171;5,025971
7|TOP2|0,2259548|2,98578;-0,8286324;-4,073524;-4,013359;-4,093408;5,624171;-4,369658;-4,133177;0,4615152;0,3870433;-3,936859;0,05773932;0,793716;-0,349169;5,592591;-1,028007;3,37021;2,352161;0,2114635;-2,407746;5,085208;-3,123223;1,893844;2,830703;-2,194382;4,014857;-5,564816;-1,987669;5,27846
