Generation: 11 | maxFitness: 1,555193 | maxFitnessGen: 1,555193 | maxFitnessGenBuf: 0,3374029

Index: 0 : -3,813535;-0,09220611;-2,280227;2,610225;2,414648;-0,09220611;-2,280227;2,610225;2,414648;-0,09220611;-2,280227;2,610225;2,414648;-0,09220611;-2,280227;2,610225;2,414648;-0,09220611;-2,280227;2,610225;0;0;0;0;0,09556303;-0,04330703 | Fitness: 0,3374029
Index: 1 : -1,739451;1,494456;4,981876;4,201535;3,859363;1,494456;4,981876;4,201535;3,859363;1,419787;4,981876;4,201535;3,859363;1,419787;4,972326;4,201535;3,859363;1,419787;4,972326;4,108816;0;0;0;0;0;0,02810397 | Fitness: 0,3140244
Index: 2 : 4,936751;1,019536;-1,398429;-1,114008;-2,510226;1,019536;-1,398429;-1,114008;-2,510226;1,040417;-1,398429;-1,114008;-2,510226;1,040417;-1,312814;-1,114008;-2,510226;1,040417;-1,312814;-1,242457;0;0;0;0;0;0,01612218 | Fitness: 0,3068833
Index: 3 : 4,995661;1,084484;-1,266636;-1,094623;-2,732632;1,084484;-1,266636;-1,094623;-2,732632;1,084794;-1,266636;-1,094623;-2,732632;1,084794;-1,171173;-1,094623;-2,732632;1,084794;-1,171173;-1,087891;0;0;0;0;0;0 | Fitness: 0,2988328
Index: 4 : -3,357752;1,06231;1,949811;0,6898775;-2,560384;1,06231;1,949811;0,6898775;-2,560384;0,9698945;1,949811;0,6898775;-2,560384;0,9698945;1,873638;0,6898775;-2,560384;0,9698945;1,873638;0,6951098;0;0;0;0;0;0 | Fitness: 0,2988328
Index: 5 : -3,891656;-0,0424015;-2,195475;2,688128;2,4212;-0,0424015;-2,195475;2,688128;2,4212;-0,09220611;-2,195475;2,688128;2,4212;-0,09220611;-2,280227;2,688128;2,4212;-0,09220611;-2,280227;2,610225;0;0;0;0;0;0 | Fitness: 0,2988328
Index: 6 : 4,760989;1,163571;-1,265105;-1,106945;-2,787595;1,163571;-1,265105;-1,106945;-2,787595;1,163571;-1,265105;-1,106945;-2,787595;1,163571;-1,211205;-1,106945;-2,787595;1,163571;-1,211205;-1,074354;0;0;0;0;0;0 | Fitness: 0,2988328
Index: 7 : -1,818938;1,426338;4,890512;4,201535;3,804423;1,426338;4,890512;4,201535;3,804423;1,426338;4,890512;4,201535;3,804423;1,426338;4,890512;4,201535;3,804423;1,426338;4,890512;4,272767;0;0;0;0;0;0 | Fitness: 0,2988328
Index: 8 : -3,821236;-0,136597;-2,205704;2,424473;2,575514;-0,136597;-2,205704;2,424473;2,575514;-0,136597;-2,205704;2,424473;2,575514;-0,136597;-2,122306;2,424473;2,575514;-0,136597;-2,122306;2,389486;0;0;0;0;0;0 | Fitness: 0,2988328
Index: 9 : -3,784903;-0,01050432;-2,276897;2,341091;2,575514;-0,01050432;-2,276897;2,341091;2,575514;-0,09647096;-2,276897;2,341091;2,575514;-0,09647096;-2,201025;2,341091;2,575514;-0,09647096;-2,201025;2,424473;0;0;0;0;0;0 | Fitness: 0,2988328
Index: 10 : 1,640756;4,438972;-5,070563;-2,80215;-3,21835;4,438972;-5,070563;-2,80215;-3,21835;4,380128;-5,070563;-2,80215;-3,21835;4,380128;-5,070563;-2,80215;-3,21835;4,380128;-5,070563;-2,71409;0;0;0;0;0;0 | Fitness: 0,2988328
Index: 11 : -3,281096;1,015375;1,949811;0,6259834;-2,664914;1,015375;1,949811;0,6259834;-2,664914;1,015375;1,949811;0,6259834;-2,664914;1,015375;1,949811;0,6259834;-2,664914;1,015375;1,949811;0,7704008;0;0;0;0;0;0 | Fitness: 0,2988328
Index: 12 : 4,57994;2,211097;-2,547064;-1,99709;-1,768416;2,211097;-2,547064;-1,99709;-1,768416;2,214802;-2,547064;-1,99709;-1,768416;2,214802;-2,547064;-1,99709;-1,768416;2,214802;-2,547064;-1,99709;0;0;0;0;0;0 | Fitness: 0,2988328
