Generation: 10 | maxFitness: 1,852206 | maxFitnessGen: 1,61606 | maxFitnessGenBuf: 1,718691
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 13 | Name: car 37 | Brain Type: TOP2 | Fitness: 0,7314651 | BrainData : -3,480273;-1,610379;0,620858;6,216644;-2,818977;0,4611666;-0,4344344;-3,482886;-0,2063126;3,453057;3,174554;-1,495925;-0,781278;1,139259;-3,172409;0,9716331;0,5371878;6,548037;4,290979;0,1609888;4,066053;-2,265114;4,344831;-5,269243;-0,5548706;4,877691
Index: 14 | Name: car 23 | Brain Type: TOP2 | Fitness: 0,622439 | BrainData : -3,480273;-1,610379;-0,2198238;7,38136;-2,818977;0,4611666;-0,0499239;-3,777153;-0,2063126;3,453057;3,174554;-2,501845;-0,781278;1,139259;-3,172409;0,9716331;0,5371878;6,548037;4,290979;0,1609888;4,066053;-3,738558;5,153623;-6,15384;-0,5548706;4,877691
Index: 15 | Name: car 3 | Brain Type: RandomParents | Fitness: 0,6007703 | BrainData : -2,744206;-0,35969;-0,2198238;6,216644;-1,243641;1,901311;2,008847;-3,777153;-0,2063126;3,453057;2,193221;-1,291239;-0,781278;1,688294;-3,172409;3,02769;0,2363844;3,331788;6,322632;0,1609888;3,483101;-3,167006;4,728599;-2,826037;-0,5548706;4,877691
Index: 16 | Name: car 35 | Brain Type: TOP2 | Fitness: 0,5300235 | BrainData : -3,480273;-1,610379;-0,2198238;6,216644;-2,818977;0,4611666;-0,0499239;-3,777153;-0,2063126;2,182708;3,174554;-1,495925;-0,781278;1,139259;-3,172409;0,9716331;0,5371878;6,548037;4,290979;0,1609888;3,189571;-3,517844;4,771316;-6,15384;-0,5548706;4,877691
Index: 17 | Name: car 39 | Brain Type: TOP2 | Fitness: 0,4705407 | BrainData : -3,480273;-1,610379;-0,2198238;6,216644;-4,438295;0,4611666;-0,0499239;-3,777153;-0,2063126;1,341193;4,69062;-1,495925;-0,781278;1,585132;-3,172409;0,9716331;0,5371878;6,548037;6,208821;0,1609888;4,066053;-2,336981;7,10001;-6,430256;-0,5548706;6,778177
Index: 18 | Name: car 21 | Brain Type: TOP2 | Fitness: 0,463366 | BrainData : -2,982738;-1,748541;-1,581319;8,490678;-2,818977;0,4611666;-0,9437947;-3,777153;-0,2063126;3,453057;3,174554;-1,942367;-0,781278;1,139259;-5,671224;0,9716331;-0,4036367;6,548037;6,159292;0,1609888;2,876021;-2,265114;4,771316;-4,237896;-0,5548706;4,877691
Index: 19 | Name: car 31 | Brain Type: TOP2 | Fitness: 0,3933675 | BrainData : -3,480273;-1,610379;-0,2198238;6,216644;-2,818977;0,4611666;-0,0499239;-6,169998;-0,2063126;3,453057;3,492687;-1,387128;-1,378109;1,139259;-3,172409;0,9716331;0,5371878;6,548037;4,290979;0,1609888;5,027581;-2,265114;4,771316;-6,15384;-0,5548706;6,711613
Index: 20 | Name: car 7 | Brain Type: RandomParents | Fitness: 0,3744561 | BrainData : -2,744206;-0,35969;-0,2198238;6,760261;-2,032856;1,901311;-0,2697361;-3,777153;-0,2063126;3,453057;2,193221;-1,291239;-0,781278;1,688294;-3,172409;3,69424;0,2363844;4,865489;4,290979;0,1609888;5,420439;-3,167006;4,728599;-4,298319;-0,5548706;4,877691
Index: 21 | Name: car 18 | Brain Type: TOP2 | Fitness: 0,3689115 | BrainData : -3,480273;-1,610379;-0,2198238;5,641655;-5,076091;0,4611666;-0,0499239;-2,166779;-0,2063126;3,453057;1,097513;-1,495925;-0,781278;1,139259;-3,172409;0,9716331;0,5371878;6,548037;4,290979;0,1609888;4,066053;-2,265114;6,22663;-7,268198;-0,5548706;7,208772
Index: 22 | Name: car 24 | Brain Type: TOP2 | Fitness: 0,3686539 | BrainData : -3,480273;-1,610379;-0,2198238;6,216644;-2,818977;0,4611666;-0,0499239;-2,752488;-2,306367;3,453057;3,174554;-1,495925;-0,781278;1,139259;-0,7253265;-1,092192;0,5371878;6,548037;4,290979;0,1609888;1,874831;-2,265114;4,771316;-6,15384;-0,4800701;4,877691
