Generation: 48 | maxFitness: 1,889639 | maxFitnessGen: 1,790402 | maxFitnessGenBuf: 1,724083
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 0 | Name: car 8 | Brain Type: RandomParents | Fitness: 1,724083 | BrainData : -0,5254248;5,526881;3,561084;4,934345;-9,922267;3,881928;-0,04227877;-5,738214;-0,2631617;1,447672;5,098554;-8,136962;1,609393;2,781243;-5,350402;4,042681;-0,2672247;11,98814;8,110848;5,31761;4,029921;-3,462609;4,771316;-2,65536;-0,5548706;4,877691
Index: 1 | Name: car 9 | Brain Type: RandomParents | Fitness: 1,724083 | BrainData : -0,5254248;5,526881;3,561084;4,934345;-9,354944;2,224296;-1,109475;-5,738214;-0,2631617;1,842249;5,098554;-7,559155;0,3085073;2,781243;-6,913507;4,211991;1,614995;11,98814;7,532465;5,31761;4,029921;-4,290052;4,771316;-2,65536;-0,5548706;4,877691
Index: 2 | Name: car 15 | Brain Type: TOP2 | Fitness: 1,724083 | BrainData : -0,5254248;3,235904;3,526949;7,018247;-8,484444;2,10078;-2,69755;-4,39869;-0,3563228;1,447672;4,538903;-8,136962;1,640938;2,781243;-8,784511;2,705199;-0,2672247;12,74377;11,92849;5,312491;4,029921;-3,00007;4,771316;-1,606416;-0,5548706;4,877691
Index: 3 | Name: car 18 | Brain Type: TOP2 | Fitness: 1,724083 | BrainData : -0,5254248;3,235904;3,526949;4,934345;-6,612741;1,578216;-0,7023195;-3,858868;-0,3563228;1,447672;5,903387;-8,136962;0,3645538;2,781243;-8,784511;2,705199;-0,2672247;12,74377;11,03769;5,312491;4,029921;-3,00007;4,771316;-1,606416;-0,5548706;4,877691
Index: 4 | Name: car 22 | Brain Type: TOP2 | Fitness: 1,724083 | BrainData : -0,5254248;3,235904;3,526949;4,934345;-6,612741;1,578216;-0,7023195;-3,858868;-0,3563228;1,447672;5,57185;-8,136962;0,3718256;2,781243;-8,784511;2,705199;-0,2672247;13,65319;11,03769;3,850492;4,029921;-3,00007;4,771316;-1,606416;-0,5548706;4,877691
Index: 5 | Name: car 23 | Brain Type: TOP2 | Fitness: 1,724083 | BrainData : 0,7618238;3,235904;3,526949;4,934345;-6,612741;1,578216;1,62669;-3,858868;-0,3563228;1,447672;5,903387;-8,136962;1,910825;2,781243;-8,784511;2,705199;-0,006024271;12,74377;11,03769;7,432643;4,029921;-3,00007;4,771316;-1,606416;-0,5548706;4,877691
Index: 6 | Name: car 26 | Brain Type: TOP2 | Fitness: 1,724083 | BrainData : -0,5254248;3,235904;2,644609;5,918452;-7,816797;1,578216;-0,7023195;-3,858868;-0,3563228;1,447672;7,636771;-8,136962;2,219293;2,781243;-8,784511;2,705199;-0,2693969;12,74377;11,03769;5,312491;4,029921;-3,00007;4,771316;-1,606416;-0,5548706;4,877691
Index: 7 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,724083 | BrainData : -2,553377;3,235904;3,526949;4,934345;-6,612741;1,578216;-0,7023195;-3,858868;0,2448816;1,447672;5,903387;-8,136962;1,609393;2,781243;-8,784511;2,705199;-0,2672247;12,74377;11,03769;5,312491;4,029921;-3,00007;4,771316;-1,606416;-0,5548706;4,877691
Index: 8 | Name: car 28 | Brain Type: TOP2 | Fitness: 1,724083 | BrainData : -0,5254248;3,235904;3,526949;4,934345;-5,486755;1,578216;-0,7023195;-3,858868;-1,954391;1,447672;5,903387;-6,343712;1,609393;2,781243;-8,784511;2,760877;-0,2672247;12,74377;11,03769;5,312491;4,029921;-3,00007;4,771316;-1,228047;-0,5548706;4,877691
Index: 9 | Name: car 30 | Brain Type: TOP2 | Fitness: 1,724083 | BrainData : -0,5254248;3,235904;3,526949;4,934345;-6,612741;2,759283;-0,7023195;-3,858868;-0,3563228;1,447672;5,903387;-9,851107;1,609393;2,781243;-8,784511;2,705199;-0,2672247;13,95548;11,03769;5,312491;4,029921;-3,00007;4,771316;-1,606416;-0,5548706;4,877691
Index: 10 | Name: car 31 | Brain Type: TOP2 | Fitness: 1,724083 | BrainData : -0,5254248;3,235904;3,526949;4,934345;-6,612741;1,578216;-0,7023195;-3,858868;-0,4423063;1,447672;5,903387;-8,136962;-0,4360815;2,781243;-10,27726;2,705199;-0,2672247;12,74377;11,03769;5,312491;4,029921;-4,433548;4,771316;-2,410376;-0,5548706;4,877691
