Generation: 40 | maxFitness: 1,852206 | maxFitnessGen: 1,802599 | maxFitnessGenBuf: 1,767043
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 14 | Name: car 34 | Brain Type: TOP2 | Fitness: 0,7966622 | BrainData : 1,087463;5,526881;0,06395304;6,86887;-9,414713;1,831674;-2,874638;-3,657343;-2,595942;1,447672;6,206933;-5,296229;2,308242;2,781243;-4,520588;2,148709;-0,2672247;12,25666;11,03769;4,760056;4,029921;-3,00007;4,771316;-0,880432;-0,5548706;4,710353
Index: 15 | Name: car 20 | Brain Type: TOP2 | Fitness: 0,548964 | BrainData : 2,557284;5,526881;-0,6700667;6,86887;-7,144749;0,7354708;-2,874638;-3,657343;-2,595942;1,447672;6,206933;-5,296229;0,9698334;2,781243;-4,494144;2,148709;1,718121;13,33914;11,03769;4,760056;2,047701;-3,00007;4,771316;1,158619;-0,5548706;4,877691
Index: 16 | Name: car 33 | Brain Type: TOP2 | Fitness: 0,5127022 | BrainData : 1,087463;5,526881;-0,6700667;6,747375;-7,144749;0,7354708;-2,874638;-5,498967;-2,595942;1,447672;6,206933;-5,296229;0,9698334;1,263861;-5,184554;2,148709;-0,2672247;13,33914;11,03769;4,760056;5,183857;-1,754765;2,644153;-0,880432;-0,5548706;4,877691
Index: 17 | Name: car 9 | Brain Type: RandomParents | Fitness: 0,4212908 | BrainData : 2,117056;3,41852;-0,4964219;4,945211;-7,144749;-2,07384;-2,874638;-4,396495;1,434402;-0,5831614;4,621947;-3,244503;2,473966;5,214293;-5,041545;-0,2370971;-0,2672247;11,60928;11,03769;0,8172342;2,59992;-3,624593;4,771316;-2,65536;-0,5548706;5,019698
Index: 18 | Name: car 30 | Brain Type: TOP2 | Fitness: 0,4200222 | BrainData : 0,02230871;5,526881;-0,6700667;7,270132;-7,144749;0,7354708;-2,874638;-4,653554;-2,595942;1,447672;4,308517;-6,469384;0,9698334;1,018613;-2,049128;2,148709;-0,2672247;13,33914;11,19945;4,760056;4,029921;-3,00007;2,914639;-0,880432;-0,5548706;4,877691
Index: 19 | Name: car 15 | Brain Type: TOP2 | Fitness: 0,4199679 | BrainData : -0,2427052;6,690554;-0,6700667;6,86887;-7,144749;0,7354708;-2,874638;-3,657343;-2,595942;0,9483303;6,206933;-5,296229;0,9698334;2,781243;-3,385265;2,148709;-0,2672247;13,33914;11,03769;4,760056;3,773707;-3,00007;3,117415;-0,880432;-0,5548706;4,877691
Index: 20 | Name: car 39 | Brain Type: TOP2 | Fitness: 0,3929504 | BrainData : -1,022949;5,526881;-0,6700667;8,120182;-7,144749;0,7354708;-3,346287;-3,657343;-2,595942;1,447672;6,206933;-5,296229;0,9698334;2,781243;-4,494144;2,148709;1,20513;13,33914;11,03769;4,760056;5,464025;-3,00007;4,771316;-0,880432;-0,5548706;4,877691
Index: 21 | Name: car 24 | Brain Type: TOP2 | Fitness: 0,3898143 | BrainData : 1,087463;5,526881;-0,6700667;6,86887;-7,144749;0,7354708;-1,423053;-3,657343;-2,595942;1,619083;6,206933;-5,296229;0,947787;2,781243;-4,494144;2,148709;-0,2672247;13,33914;11,03769;4,760056;4,029921;-4,330339;6,259778;-0,880432;-0,5548706;4,877691
Index: 22 | Name: car 23 | Brain Type: TOP2 | Fitness: 0,385909 | BrainData : 1,087463;5,526881;-0,6700667;6,86887;-7,144749;0,7354708;-3,103366;-3,657343;-2,595942;1,447672;6,206933;-5,296229;-0,6992768;2,781243;-4,571147;2,148709;-0,2672247;13,33914;11,03769;6,563345;4,029921;-3,00007;4,771316;-3,345826;-0,5548706;6,439304
Index: 23 | Name: car 6 | Brain Type: RandomParents | Fitness: 0,360754 | BrainData : 2,079046;5,526881;-0,6700667;6,86887;-7,335723;-1,588593;-2,747488;-5,239334;-0,2631617;1,447672;6,206933;-5,653214;0,9698334;4,782151;-2,132456;2,148709;-2,336965;11,98814;11,03769;4,760056;4,029921;-3,00007;4,771316;-2,65536;-0,5548706;3,845635
Index: 24 | Name: car 37 | Brain Type: TOP2 | Fitness: 0,3606576 | BrainData : 1,087463;4,934407;-1,488;8,055764;-5,412428;0,7354708;-2,874638;-1,429923;-2,595942;1,447672;6,206933;-5,296229;-0,7623081;2,781243;-4,494144;2,148709;-0,2672247;13,33914;11,03769;4,760056;5,892519;-3,00007;4,771316;-0,880432;-0,5548706;4,877691
Index: 25 | Name: car 4 | Brain Type: RandomParents | Fitness: 0,354972 | BrainData : 1,087463;3,41852;-0,9248828;6,86887;-7,144749;-3,193233;-0,615777;-6,12312;0,4802107;-0,5831614;5,833934;-5,296229;-1,457348;5,214293;-2,749715;0,04627864;-1,915461;12,51943;9,866438;4,882819;4,029921;-7,6676;5,117594;-3,674398;-0,2112532;4,877691
Index: 26 | Name: car 11 | Brain Type: TotallyRandom | Fitness: 0,3491589 | BrainData : 1,717777;-2,948933;-3,844584;-2,869367;0,8139305;3,648663;-3,979186;-2,354991;2,088436;1,604913;3,863418;-0,5596476;4,80767;3,368693;-0,7289739;2,522093;4,2188;1,230173;-4,176341;-1,932776;1,983592;-2,840719;2,974453;-4,074528;1,384797;-2,158695
Index: 27 | Name: car 26 | Brain Type: TOP2 | Fitness: 0,3482077 | BrainData : 1,087463;5,526881;-0,6700667;6,86887;-9,296949;0,7354708;-2,874638;-3,657343;-2,595942;-0,8335909;6,206933;-5,296229;0,9698334;0,9827473;-4,494144;4,62723;-0,2672247;13,33914;11,03769;4,760056;5,715853;-3,00007;4,771316;0,5289603;-0,5548706;4,877691
