Generation: 21 | maxFitness: 1,852206 | maxFitnessGen: 1,666367 | maxFitnessGenBuf: 1,825172
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 14 | Name: car 39 | Brain Type: TOP2 | Fitness: 1,825172 | BrainData : -4,605571;-0,3248618;-2,50438;4,22409;-6,860704;-0,7948309;-1,527847;1,077421;1,036993;2,077484;5,399904;-4,112939;0,911275;5,214293;-4,443138;1,67279;2,432452;8,87553;6,201122;-1,071779;4,029921;-4,138168;4,771316;-5,628581;-0,5548706;4,877691
Index: 15 | Name: car 33 | Brain Type: TOP2 | Fitness: 0,6079146 | BrainData : -2,436684;-0,3248618;-2,50438;5,865297;-6,860704;-0,7948309;0,4979284;1,077421;2,711929;2,077484;5,399904;-5,314775;0,911275;5,214293;-4,443138;0,9716331;2,432452;8,87553;4,79453;-1,071779;2,552113;-4,138168;5,51449;-5,628581;-0,5548706;4,877691
Index: 16 | Name: car 25 | Brain Type: TOP2 | Fitness: 0,6073288 | BrainData : -2,436684;-0,3248618;-2,50438;4,22409;-6,860704;-0,7948309;-1,527847;1,077421;1,036993;3,786403;5,399904;-4,112939;0,911275;6,039923;-5,046547;0,9716331;0,4200871;8,87553;6,201122;-2,641705;4,029921;-1,795539;4,007477;-5,628581;-0,5548706;4,877691
Index: 17 | Name: car 29 | Brain Type: TOP2 | Fitness: 0,5992807 | BrainData : -0,9855832;-0,3248618;-2,50438;4,22409;-6,860704;-0,7948309;-1,527847;1,077421;1,433612;2,077484;5,399904;-4,676847;-0,04316604;5,214293;-4,443138;0,9716331;2,432452;8,87553;6,201122;-1,071779;3,24068;-4,138168;4,771316;-6,480214;-0,5548706;4,877691
Index: 18 | Name: car 20 | Brain Type: TOP2 | Fitness: 0,5343187 | BrainData : -3,9378;-0,3248618;-2,50438;4,22409;-6,860704;-0,7948309;-1,527847;-1,332486;1,036993;1,213417;5,399904;-4,112939;0,911275;7,301846;-4,443138;0,9716331;2,432452;8,87553;6,201122;-1,071779;2,977501;-4,138168;4,771316;-5,628581;-0,5548706;4,877691
Index: 19 | Name: car 2 | Brain Type: RandomParents | Fitness: 0,4643408 | BrainData : -3,473496;0,5875088;-0,2198238;4,22409;-7,222511;-0,7948309;-3,713317;-0,6020286;0,9627662;2,096468;5,084185;-4,972491;1,733646;2,99613;-6,763108;1,578856;2,30932;10,64668;8,331286;0,7554824;2,10539;-4,521386;4,771316;-3,981693;-0,5548706;4,877691
Index: 20 | Name: car 7 | Brain Type: RandomParents | Fitness: 0,4361925 | BrainData : -3,473496;0,5875088;1,669806;2,719239;-4,832415;-0,7948309;-3,110065;-0,6020286;0,9627662;2,096468;5,232606;-4,972491;1,995451;4,186913;-6,763108;0,9716331;2,30932;8,87553;7,144088;0,7554824;4,029921;-4,521386;2,753934;-3,981693;-0,5548706;4,907397
Index: 21 | Name: car 37 | Brain Type: TOP2 | Fitness: 0,4354237 | BrainData : -0,4285235;-0,3248618;-2,50438;4,22409;-6,860704;-0,8584448;-1,527847;1,077421;-0,6320001;2,077484;5,399904;-4,112939;-1,090989;5,214293;-4,443138;0,9716331;2,432452;8,87553;6,201122;-1,071779;5,343859;-4,138168;4,771316;-5,628581;-0,5548706;4,877691
Index: 22 | Name: car 15 | Brain Type: TOP2 | Fitness: 0,4098143 | BrainData : -2,436684;-0,3248618;-2,50438;4,22409;-6,860704;-0,7948309;-1,527847;1,077421;1,036993;2,077484;5,399904;-4,112939;0,911275;5,214293;-5,489741;0,9716331;2,432452;8,87553;6,201122;-1,071779;5,428115;-2,252462;4,771316;-5,628581;-0,5548706;4,877691
Index: 23 | Name: car 3 | Brain Type: RandomParents | Fitness: 0,404796 | BrainData : -3,239009;0,5875088;-0,2198238;6,06904;-4,832415;-0,7948309;-5,769314;-0,6020286;0,9627662;3,30695;4,733513;-4,972491;1,733646;3,993552;-8,829384;1,739716;2,30932;8,87553;7,144088;0,7554824;2,289424;-4,521386;3,238632;-3,665907;-0,5548706;4,877691
