Generation: 37 | maxFitness: 1,852206 | maxFitnessGen: 1,82304 | maxFitnessGenBuf: 1,765527
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 13 | Name: car 15 | Brain Type: TOP2 | Fitness: 0,5664111 | BrainData : 1,087463;3,41852;-0,6700667;6,86887;-7,144749;-2,559028;-0,739881;-3,657343;-0,2631617;-0,5831614;5,833934;-5,799006;0,9698334;5,214293;-4,494144;-0,2370971;0,192123;12,09787;11,03769;2,593269;4,029921;-3,624593;5,339405;-2,65536;-0,5548706;4,877691
Index: 14 | Name: car 3 | Brain Type: RandomParents | Fitness: 0,4866976 | BrainData : 1,561462;3,41852;-0,6700667;6,86887;-7,154527;-2,559028;-2,757102;-2,275458;-0,3141313;-0,5831614;7,10768;-4,593503;1,098184;5,214293;-5,629837;-0,2370971;-0,1043204;11,66276;9,532434;4,815017;4,257639;-2,626094;4,745682;-1,74402;-0,5548706;5,589075
Index: 15 | Name: car 16 | Brain Type: TOP2 | Fitness: 0,4603167 | BrainData : 1,087463;3,41852;-0,6700667;6,86887;-7,144749;-2,559028;-1,426742;-3,657343;-1,309682;-0,5831614;5,833934;-5,296229;0,9698334;5,214293;-5,096128;-0,2370971;-0,2672247;11,60928;11,03769;2,593269;4,029921;-3,624593;5,676771;-2,65536;-0,5548706;4,877691
Index: 16 | Name: car 1 | Brain Type: RandomParents | Fitness: 0,4338244 | BrainData : 1,087463;4,552611;-1,277813;6,449101;-7,998102;-2,22338;-4,60864;-0,3501482;-0,504601;-1,86492;7,755287;-2,172871;1,694387;5,214293;-3,496358;-0,2370971;0,5816816;9,485832;17,18658;-1,097046;5,066787;-3,22139;4,771316;-3,357555;-0,5548706;4,877691
Index: 17 | Name: car 33 | Brain Type: TOP2 | Fitness: 0,4208436 | BrainData : 2,117056;3,41852;-0,6700667;6,86887;-7,144749;-1,842215;-2,874638;-4,396495;-0,2631617;-0,5831614;4,010542;-5,296229;0,9698334;5,214293;-4,494144;-0,2370971;-0,2672247;11,60928;11,03769;2,593269;2,59992;-3,624593;4,771316;-2,65536;-0,5548706;5,019698
Index: 18 | Name: car 34 | Brain Type: TOP2 | Fitness: 0,3924047 | BrainData : 1,087463;3,41852;-0,6700667;8,190157;-7,144749;-2,559028;-2,874638;-3,657343;-1,784601;-0,2260523;5,833934;-5,277935;0,9698334;5,214293;-4,494144;-0,2370971;-0,2672247;11,60928;11,03769;1,272694;4,029921;-3,624593;2,523844;-2,65536;-0,5548706;4,877691
Index: 19 | Name: car 12 | Brain Type: TotallyRandom | Fitness: 0,3923661 | BrainData : -1,306123;1,255784;3,68934;2,029071;3,250818;-1,201718;-0,6060224;4,378925;1,999218;-2,227604;-0,1083426;-0,6931715;4,117555;2,060637;-2,304849;2,365525;-4,906437;-0,1364059;2,674536;-3,026725;-1,650253;-1,813406;-4,72899;-3,319533;0,7869954;1,256668
Index: 20 | Name: car 6 | Brain Type: RandomParents | Fitness: 0,3621253 | BrainData : 1,663734;4,552611;-3,102917;8,680036;-7,998102;-2,559028;-6,778714;-2,754137;0,1934919;0,5504009;7,755287;-2,440667;2,905391;5,214293;-3,496358;-0,2370971;1,892213;9,770529;17,18658;-1,097046;3,299287;-1,086191;2,286957;-3,357555;-0,5548706;4,877691
Index: 21 | Name: car 7 | Brain Type: RandomParents | Fitness: 0,3614326 | BrainData : -0,4506205;4,552611;-1,585926;8,680036;-7,998102;-1,452322;-4,60864;-2,754137;0,1934919;-0,3904344;7,755287;-2,440667;1,694387;5,214293;-4,247071;-0,2370971;0,1951064;12,8135;18,91461;-1,097046;4,201064;-2,313409;4,771316;-3,357555;-0,330224;4,877691
Index: 22 | Name: car 2 | Brain Type: RandomParents | Fitness: 0,3603246 | BrainData : -0,4858845;4,552611;-0,6746514;8,680036;-7,998102;-2,145691;-4,60864;-2,754137;0,1934919;0,5504009;7,755287;-1,427471;2,905391;3,135098;-3,496358;-0,2370971;0,5816816;8,672192;15,88175;0,6056489;1,686627;-2,94366;4,771316;-4,007882;-0,5548706;2,570465
