Generation: 107 | maxFitness: 2,206185 | maxFitnessGen: 1,847861 | maxFitnessGenBuf: 1,749572
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 14 | Name: car 39 | Brain Type: TOP2 | Fitness: 1,749572 | BrainData : -4,162686;8,593952;-0,01145564;3,34559;-16,64932;7,405519;-5,221743;-11,88736;9,585579;8,226133;3,664532;-5,557013;9,053093;2,991125;3,910373;7,390294;2,539133;8,611671;13,38511;1,314379;4,029921;-6,268474;4,771316;-3,181172;-0,5548706;4,86351
Index: 15 | Name: car 36 | Brain Type: TOP2 | Fitness: 0,8890567 | BrainData : -4,162686;8,593952;-0,1778978;3,34559;-16,64932;7,615604;-5,221743;-10,06395;9,585579;8,226133;3,664532;-5,428636;9,053093;2,125888;1,756842;7,390294;2,539133;8,611671;13,38511;1,314379;4,282828;-6,268474;4,771316;-3,181172;-0,5548706;4,86351
Index: 16 | Name: car 20 | Brain Type: TOP2 | Fitness: 0,5223522 | BrainData : -4,162686;8,593952;-0,1778978;3,34559;-16,64932;7,615604;-5,221743;-10,06395;9,585579;8,226133;3,664532;-5,428636;9,053093;2,991125;1,756842;7,390294;2,539133;8,611671;13,38511;1,314379;4,029921;-6,268474;3,68989;-3,181172;-0,5548706;4,86351
Index: 17 | Name: car 22 | Brain Type: TOP2 | Fitness: 0,5212033 | BrainData : -4,162686;8,593952;1,400705;3,34559;-16,64932;7,615604;-5,221743;-10,06395;10,20842;8,226133;3,664532;-5,428636;9,053093;2,991125;1,756842;7,390294;2,539133;8,611671;13,38511;1,314379;4,029921;-7,292395;3,609089;-3,181172;-0,5548706;4,86351
Index: 18 | Name: car 21 | Brain Type: TOP2 | Fitness: 0,4604255 | BrainData : -4,162686;9,309052;-0,1778978;3,34559;-16,64932;7,615604;-5,221743;-10,06395;9,585579;8,226133;3,664532;-5,428636;11,39641;2,991125;0,4211031;7,390294;3,237186;11,06591;13,38511;1,314379;2,474623;-6,268474;4,771316;-3,467633;-0,5548706;4,86351
Index: 19 | Name: car 38 | Brain Type: TOP2 | Fitness: 0,423276 | BrainData : -4,162686;8,593952;-0,1778978;3,34559;-16,64932;7,615604;-5,221743;-10,06395;7,484678;8,226133;3,664532;-5,428636;9,053093;2,991125;0,009248614;7,390294;2,539133;8,611671;13,38511;1,314379;4,029921;-6,268474;4,771316;-3,332655;-0,5548706;6,294764
Index: 20 | Name: car 9 | Brain Type: RandomParents | Fitness: 0,3931344 | BrainData : -4,162686;8,794144;-0,1778978;3,34559;-16,64932;7,615604;-5,221743;-10,06395;7,519406;8,226133;2,743282;-5,428636;9,053093;1,611199;1,756842;7,390294;2,539133;8,611671;13,38511;1,314379;4,029921;-6,268474;4,771316;-3,181172;-0,3452647;4,86351
Index: 21 | Name: car 8 | Brain Type: RandomParents | Fitness: 0,3931344 | BrainData : -4,162686;8,593952;-0,1778978;3,34559;-16,64932;7,615604;-5,221743;-8,89999;9,585579;8,226133;2,743282;-5,428636;9,053093;1,611199;2,647527;7,042878;2,539133;8,611671;13,38511;1,314379;4,029921;-4,959777;4,771316;-3,181172;-0,3452647;4,86351
Index: 22 | Name: car 32 | Brain Type: TOP2 | Fitness: 0,3634183 | BrainData : -4,162686;8,593952;-0,1778978;2,289047;-16,64932;7,615604;-5,221743;-12,31262;9,852517;8,226133;3,664532;-5,428636;9,053093;2,991125;1,756842;8,565091;2,539133;8,611671;11,49191;1,314379;4,029921;-6,268474;6,704525;-3,181172;-0,5548706;4,86351
Index: 23 | Name: car 7 | Brain Type: RandomParents | Fitness: 0,3631421 | BrainData : -4,162686;6,693055;-0,1778978;3,34559;-16,64932;7,615604;-5,221743;-10,06395;11,06976;8,226133;3,664532;-5,428636;8,867519;2,991125;0,2809774;7,390294;2,539133;6,441712;13,38511;1,314379;4,029921;-8,017554;6,713608;-3,181172;-0,5548706;4,86351
Index: 24 | Name: car 23 | Brain Type: TOP2 | Fitness: 0,3608761 | BrainData : -4,162686;10,26778;2,31178;3,34559;-18,74328;6,702902;-3,458325;-11,58835;9,585579;6,833931;4,877326;-5,428636;9,053093;2,991125;0,3718714;7,390294;2,539133;8,611671;13,38511;1,314379;6,047081;-6,268474;4,771316;-3,181172;-0,5548706;4,86351
Index: 25 | Name: car 37 | Brain Type: TOP2 | Fitness: 0,3369328 | BrainData : -4,162686;10,26027;-0,1778978;3,34559;-16,64932;9,719582;-4,605194;-10,06395;9,585579;8,226133;3,664532;-5,428636;10,4625;2,991125;1,756842;6,503186;2,539133;8,611671;13,38511;0,3539815;4,029921;-6,268474;4,771316;-3,181172;0,1551107;4,86351
Index: 26 | Name: car 12 | Brain Type: TotallyRandom | Fitness: 0,3364157 | BrainData : -3,745163;0,9945278;-2,107194;-1,766738;4,593058;3,649224;-3,680155;2,440261;-2,824339;-4,133165;-2,752628;3,782521;1,298928;-3,98191;4,483193;2,638171;-2,874005;-1,633217;-1,798489;-3,011388;-0,5870695;-4,490667;2,394007;1,188417;2,934868;-1,351616
Index: 27 | Name: car 3 | Brain Type: RandomParents | Fitness: 0,3364015 | BrainData : -4,162686;6,875598;-0,1778978;3,34559;-16,64932;7,615604;-5,221743;-11,78179;11,85906;8,226133;3,664532;-4,428654;8,867519;2,991125;0,5928744;7,390294;2,539133;8,611671;13,38511;1,314379;4,029921;-6,268474;6,713608;-3,181172;0,3793046;4,86351
Index: 28 | Name: car 14 | Brain Type: TotallyRandom | Fitness: 0,3364005 | BrainData : -1,193035;2,537184;0,3013544;-4,583994;-0,8776193;4,936977;-4,085956;-1,381195;-0,8883162;1,406907;2,596679;-3,987089;-0,6216316;1,27272;-1,97647;-2,338236;-1,150558;2,329265;-2,228423;-1,069489;-1,00961;1,499616;-2,61004;2,279291;2,281139;0,2929764
Index: 29 | Name: car 1 | Brain Type: RandomParents | Fitness: 0,335534 | BrainData : 2,042813;-5,939867;2,291088;3,297973;-0,2526214;-6,868421;-4,663204;-3,206558;-1,185055;-2,966152;-1,773299;-0,8534436;3,381117;2,709799;-4,729576;-3,918014;1,352772;1,843081;-2,704181;0,8854966;-1,846122;1,685189;2,716596;-3,458649;3,468227;-3,456609
Index: 30 | Name: car 6 | Brain Type: RandomParents | Fitness: 0,33406 | BrainData : -2,352438;10,69697;-0,1778978;3,34559;-16,64932;9,092484;-5,221743;-10,06395;9,585579;9,68039;3,609972;-5,428636;8,193404;2,991125;1,756842;7,390294;2,539133;10,39467;13,38511;1,314379;4,029921;-6,268474;4,771316;-3,181172;1,483446;2,75876
Index: 31 | Name: car 29 | Brain Type: TOP2 | Fitness: 0,3338433 | BrainData : -2,282484;8,593952;-0,1778978;3,34559;-16,64932;7,615604;-5,221743;-10,06395;9,585579;8,226133;3,664532;-6,799756;9,053093;2,991125;1,756842;7,390294;2,539133;8,611671;11,16469;2,807819;4,029921;-6,268474;4,771316;-3,181172;1,388775;4,814709
Index: 32 | Name: car 40 | Brain Type: RandomParents | Fitness: 0,3334639 | BrainData : -0,7192678;4,032035;-3,232754;4,240108;3,096872;0,4154091;4,349233;-3,297484;3,347229;4,643135;-2,889594;4,800377;3,745345;-4,578983;-3,481833;-4,696255;0,2480154;2,061196;-2,721896;4,241376;-4,120558;-1,525287;3,861977;-4,374857;4,216175;3,412751
Index: 33 | Name: car 24 | Brain Type: TOP2 | Fitness: 0,3255696 | BrainData : -4,162686;8,593952;2,231214;3,34559;-16,64932;9,176333;-5,221743;-10,06395;9,585579;8,226133;3,664532;-2,930914;9,053093;2,991125;1,756842;7,390294;2,539133;8,611671;15,5175;1,314379;4,029921;-6,268474;4,771316;-3,181172;-0,5548706;2,928042
Index: 34 | Name: car 2 | Brain Type: RandomParents | Fitness: 0,3231366 | BrainData : 2,15463;-2,278624;-3,177782;-3,248403;-4,312562;3,5018;-4,775519;2,001414;-2,599564;0,2009063;-4,332851;3,665088;0,9447651;4,472177;3,758043;0,6140976;-0,778615;4,372411;2,057884;0,5929799;2,344051;-1,292896;2,011873;-4,626741;0,5568008;-4,466446
Index: 35 | Name: car 5 | Brain Type: RandomParents | Fitness: 0,2956222 | BrainData : -5,174152;8,593952;1,948001;5,297668;-16,64932;6,571559;-5,221743;-10,43705;9,630047;8,226133;3,664532;-5,428636;9,053093;2,991125;1,756842;7,927635;2,539133;8,165893;13,38511;1,314379;6,496296;-6,268474;4,771316;-3,181172;-0,5548706;3,142058
Index: 36 | Name: car 10 | Brain Type: TotallyRandom | Fitness: 0,2585606 | BrainData : -2,347594;-4,938359;-1,332496;2,005203;1,779735;-1,362125;0,749001;-4,647094;3,811625;-1,772745;-0,5744786;-2,253328;3,257312;-0,2477236;3,873897;-0,4136186;-4,571513;0,7744222;-0,6727023;-1,49348;3,804915;0,3696985;3,957652;-1,162403;-1,441119;1,040295
Index: 37 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,2584931 | BrainData : -2,473506;-1,484358;4,113902;-2,027772;-4,470234;0,5396848;-1,316174;-1,066269;-4,584165;4,972692;0,3184004;4,316221;-0,761394;-4,7267;0,4365211;4,296489;-1,086092;1,309085;-2,384228;-1,538884;-1,241922;0,07836533;0,9598513;3,289186;-2,337896;-0,6204648
Index: 38 | Name: car 4 | Brain Type: RandomParents | Fitness: 0,2519909 | BrainData : -4,162686;6,875598;-0,1778978;3,34559;-14,61566;7,615604;-5,711003;-8,242389;9,585579;8,226133;3,664532;-5,428636;8,867519;2,991125;0,2809774;7,693795;2,539133;8,611671;13,38511;2,044381;4,029921;-6,268474;6,713608;-3,181172;-2,40842;4,86351
Index: 39 | Name: car 13 | Brain Type: TotallyRandom | Fitness: 0,2517272 | BrainData : -0,6114154;-2,020941;-3,7509;0,6829147;3,304462;-3,864676;2,983617;0,9047012;3,172494;-3,942241;0,9101076;-4,054327;-2,360442;-0,475152;0,6902199;3,088183;2,440785;2,631352;-1,559364;1,102772;1,347136;4,529853;1,241056;1,786665;-1,928237;-4,684734
Index: 40 | Name: car 11 | Brain Type: TotallyRandom | Fitness: 0,2516218 |
