Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,5020929
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 13 | Name: car 1 | Brain Type: RandomParents | Fitness: 0,2573264 | BrainData : -0,2831535;3,483606;2,571739;-0,3164868;3,512267;-1,928761;-3,993221;-3,577043;0,9547191;-0,4661555;-1,67949;3,967538;0,4089003;1,221478;-3,891781;1,793625;3,070612;-2,943276;-1,1506;4,14578;1,242352;2,742186;2,186366;0,1406283;3,017604;1,758985
Index: 14 | Name: car 28 | Brain Type: TOP2 | Fitness: 0,2572131 | BrainData : 4,553619;2,252259;0,7730527;2,305362;1,054874;1,106859;3,769825;3,436051;-2,357748;3,271156;-2,494699;-2,187569;-2,549563;-0,2945848;4,17438;-2,73834;-1,871595;2,279272;3,284254;-3,636022;-2,954438;-4,473194;1,11463;3,085761;4,477454;3,357275
Index: 15 | Name: car 3 | Brain Type: RandomParents | Fitness: 0,2570508 | BrainData : -4,524075;2,336876;2,713824;-3,628322;-2,251513;4,648071;4,619586;1,268384;4,901868;-4,867599;2,636514;-0,4217453;3,278959;-0,9689469;1,698649;1,429047;-1,28555;1,134576;-1,6419;-3,699817;-4,080361;1,410358;2,918112;1,087494;4,390402;0,6764574
Index: 16 | Name: car 17 | Brain Type: TOP2 | Fitness: 0,2559698 | BrainData : -4,323675;-2,09867;-3,117098;-0,7214899;-4,779543;-3,662076;1,043482;4,15971;1,472266;-4,015865;3,786743;-0,2937155;-3,129515;4,132673;-1,636756;2,096035;-0,7901459;2,211478;2,829376;-4,195154;-3,624724;-1,266124;0,2771444;-1,792441;-1,821132;-1,293834
Index: 17 | Name: car 16 | Brain Type: TOP2 | Fitness: 0,2535244 | BrainData : -3,869318;3,960951;3,371735;0,677424;1,381267;4,877414;4,382217;2,426722;-1,596208;-1,053608;3,151927;1,377988;-0,2536244;0,9556074;1,211396;-3,250597;-0,4338055;4,112817;0,01298141;-2,548237;-2,542956;4,963104;0,154994;4,87502;4,970695;4,607081
Index: 18 | Name: car 35 | Brain Type: TOP2 | Fitness: 0,2497603 | BrainData : 3,731737;3,023008;-1,700366;4,800718;4,20864;-4,821144;-0,8865886;3,167747;2,515323;-4,555875;-1,168147;3,51413;-2,125688;-1,999152;2,070787;3,157127;-3,354469;-2,955835;-4,293659;-3,439074;-0,3339343;-3,964295;2,11211;-4,912382;-2,17099;1,671488
Index: 19 | Name: car 15 | Brain Type: TOP2 | Fitness: 0,2288345 | BrainData : 2,046131;-4,554811;0,05345631;-2,72727;4,960212;-3,284825;-1,5974;-4,020555;-2,060793;-1,09273;-0,07589865;-0,9868078;1,822968;-3,225481;-0,3170209;3,494543;1,741363;-0,002570629;-0,6802077;-4,915303;3,022445;-2,79376;-0,09645414;2,582975;-0,5290122;-0,7655687
Index: 20 | Name: car 37 | Brain Type: TOP2 | Fitness: 0,2286188 | BrainData : -0,756454;3,445454;-3,284643;-2,737521;-3,935657;4,068998;2,0965;-3,509092;0,1588936;-2,610215;-2,094758;2,022648;3,438078;-1,098075;2,239438;0,8306842;-4,183969;-2,041125;0,4985352;-2,190881;-3,557764;-2,044831;-4,899102;-1,140565;4,968834;-3,766539
Index: 21 | Name: car 31 | Brain Type: TOP2 | Fitness: 0,228524 | BrainData : 3,987763;-4,128479;2,758556;-0,5262442;2,275849;-3,946892;4,125992;-3,342299;-1,013899;-2,057963;0,3351564;-2,074251;0,312572;1,891226;4,537556;-3,854999;1,143427;-4,519516;2,595335;3,644335;-0,8374472;0,8472424;-3,949728;-4,52792;0,5280585;-4,229817
Index: 22 | Name: car 7 | Brain Type: RandomParents | Fitness: 0,2225117 | BrainData : -2,15175;1,05513;4,907946;3,128275;2,208091;1,717372;-2,063324;-0,9126682;-3,555561;-2,161295;1,279504;1,711224;-1,807174;1,329485;-4,153638;-2,34792;4,939603;-2,21057;-2,211352;-1,578527;-2,015328;1,52912;0,03028584;-0,4735999;-2,555795;-2,473962
Index: 23 | Name: car 9 | Brain Type: RandomParents | Fitness: 0,2222414 | BrainData : -2,523136;1,993381;-3,953588;-0,9618621;2,98067;-3,244097;-3,740034;-0,2158685;-4,219294;-0,06260681;3,212517;3,152097;2,774892;-0,06804752;-1,8273;-0,040061;1,582192;4,333347;-4,025754;4,73056;-1,128177;-4,32543;0,1429386;4,777582;-0,5708246;-3,760975
Index: 24 | Name: car 20 | Brain Type: TOP2 | Fitness: 0,2206574 | BrainData : 3,051023;-0,3961201;3,293885;-0,05153465;-1,295925;-3,198755;-1,260574;3,184216;2,245183;-3,529087;-0,9438152;-4,06947;1,420069;4,447522;1,255378;-1,225894;1,697744;4,930984;0,2044578;3,39644;1,336949;0,05447674;-4,681404;-2,508303;-1,86785;-4,544712
Index: 25 | Name: car 22 | Brain Type: TOP2 | Fitness: 0,2018208 | BrainData : 3,622892;-1,507588;2,465073;2,781801;-0,06482315;-4,762897;4,262586;4,092588;-4,076095;4,030146;3,645069;-0,641932;2,210592;-4,45927;-4,90625;-3,112902;-3,871079;1,154215;4,939802;-2,413693;-0,1149745;-2,043244;-2,068892;1,887942;-4,949114;-2,599783
Index: 26 | Name: car 8 | Brain Type: RandomParents | Fitness: 0,2005918 | BrainData : -0,645793;1,028076;4,206472;4,97154;-0,5854659;-3,173254;-3,92561;2,398153;1,497023;-0,2862744;-4,58721;3,507393;-4,818863;-1,337192;-1,923234;2,910529;-0,8750205;4,109928;-2,349134;-0,2728062;-1,654584;1,083526;3,049278;-3,204869;-4,50225;4,725804
Index: 27 | Name: car 27 | Brain Type: TOP2 | Fitness: 0,2002707 | BrainData : 2,014885;4,844088;-4,549905;0,9344978;2,795042;-0,9888391;-2,961403;4,866462;0,3499289;0,7449918;-1,445329;1,777143;1,49672;0,8601112;-1,820971;-0,1824422;-3,889943;3,233799;4,037823;1,953237;2,89326;3,514704;-4,154476;-4,882174;-1,50453;-4,887019
Index: 28 | Name: car 39 | Brain Type: TOP2 | Fitness: 0,2002359 | BrainData : 3,383378;2,64703;-1,822126;-4,706607;-1,704278;-3,468411;-0,9443398;-1,074167;0,04473972;-3,796319;-2,587416;-0,001236916;3,95246;-1,928201;3,108454;-2,011409;-1,45065;4,003514;2,88584;1,993829;-4,014793;3,120491;1,428796;-1,849549;-3,766874;2,538745
Index: 29 | Name: car 14 | Brain Type: TotallyRandom | Fitness: 0,1987901 | BrainData : -1,668901;3,305948;-2,016893;3,435826;3,611358;-2,589388;-0,1096373;-3,042118;-2,019675;-2,429774;-4,478668;-4,26482;3,278255;-1,619332;-0,7831211;1,935736;-2,250099;-1,732592;-2,281713;-1,38257;2,156556;4,060934;-4,459492;4,219414;-1,800153;1,369538
Index: 30 | Name: car 29 | Brain Type: TOP2 | Fitness: 0,1980565 | BrainData : 3,819652;0,5441637;-2,758235;1,493853;4,917913;-4,598145;4,916014;2,177551;0,2882524;3,348289;-0,6125312;0,5490212;-4,249077;3,906847;-4,373524;-3,260477;2,779049;-3,631845;1,862277;0,1701994;1,30175;3,206958;4,287759;-1,037884;-1,770238;-4,291123
Index: 31 | Name: car 33 | Brain Type: TOP2 | Fitness: 0,1977222 | BrainData : -3,396132;-0,5804772;4,326731;2,051424;-4,329206;-4,3202;-4,109197;-3,226057;2,779149;-2,718625;2,051661;0,313961;-1,032341;4,435817;-1,071382;3,290493;2,801205;-4,708332;0,1659245;0,09937716;-4,876838;2,579475;-2,772768;1,093311;-4,766462;-3,652967
Index: 32 | Name: car 21 | Brain Type: TOP2 | Fitness: 0,1975158 | BrainData : 3,170839;-4,478298;0,9140391;2,764001;0,008213997;4,245299;2,606924;3,405198;-2,049263;0,3650694;0,5449386;1,715639;0,7420712;-4,068885;2,747484;4,017324;2,773287;-1,145739;-2,595567;-4,364747;3,702755;3,852067;-1,010048;3,934135;-1,742278;-2,035548
Index: 33 | Name: car 12 | Brain Type: TotallyRandom | Fitness: 0,1971758 | BrainData : 3,038434;-4,690285;-0,6906838;4,755728;-4,667231;-0,07983637;4,348186;1,379999;1,452532;-2,137103;-3,921137;-2,570393;0,4321904;-2,87744;3,927088;-2,445565;1,986203;2,832228;1,235687;-4,671553;4,426437;-1,403167;-4,204716;1,342566;-3,853711;-1,178083
Index: 34 | Name: car 32 | Brain Type: TOP2 | Fitness: 0,1970927 | BrainData : 4,885488;4,426898;-4,328987;-3,08302;-2,332029;-2,436702;1,088705;-1,046706;3,096718;1,363293;-3,651056;-0,8148618;4,988636;-2,785025;-0,3996844;4,440556;3,834522;-0,01880836;4,74674;-3,305202;-3,264541;-3,182565;2,078612;3,180788;-4,310273;-1,168658
Index: 35 | Name: car 25 | Brain Type: TOP2 | Fitness: 0,1961074 | BrainData : 3,02475;-4,021396;-0,6312137;-0,9652634;1,854238;-2,146817;-4,686223;-1,404023;-4,456477;-3,47494;1,268208;-3,257231;4,328972;4,014596;0,7505102;0,4457502;0,08505869;2,275984;4,359145;-1,831755;3,167399;3,483799;-3,570395;0,4780488;-4,389366;0,8793612
Index: 36 | Name: car 36 | Brain Type: TOP2 | Fitness: 0,1958366 | BrainData : -2,468265;0,9943609;-4,099365;1,30134;0,01837444;2,588433;-3,213902;2,105098;2,381736;1,954884;4,001507;0,4840465;3,30633;0,7000642;4,76133;3,213191;4,486061;2,157795;-0,04035997;-3,242707;2,785028;4,618458;-2,824512;-3,988074;-4,515123;0,5342503
Index: 37 | Name: car 18 | Brain Type: TOP2 | Fitness: 0,1957413 | BrainData : -4,408895;-1,957908;0,1042895;2,829145;-2,863961;-1,847038;-3,17013;2,304168;4,150776;-4,375;3,432983;-4,988237;4,782063;-3,613943;-2,324253;1,909307;2,617902;-0,632103;-1,972509;-0,495717;1,538374;3,873673;2,652937;-3,906778;-4,813479;4,95966
Index: 38 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,1950888 | BrainData : -3,766223;4,663278;0,2331538;-4,558517;-2,575202;4,675397;-4,769766;-3,897262;1,717255;-3,58094;2,377018;-2,316851;1,169744;-0,9296517;3,229725;1,917968;3,659308;3,755529;1,8295;4,808643;2,357363;3,187066;4,782128;3,888245;-2,797784;-2,544715
Index: 39 | Name: car 10 | Brain Type: TotallyRandom | Fitness: 0,1944903 | BrainData : -2,822497;-1,686242;0,9251552;-1,399665;0,8803754;-2,685134;1,03304;2,425874;-3,014999;-2,998319;0,4496317;
