Generation: 19 | maxFitness: 1,852206 | maxFitnessGen: 1,712204 | maxFitnessGenBuf: 1,752089
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 13 | Name: car 3 | Brain Type: RandomParents | Fitness: 1,636047 | BrainData : -3,473496;-0,3733964;-0,2198238;4,22409;-4,832415;-0,7948309;-2,273063;-0,9278488;0,9627662;0,7746978;5,084185;-3,509448;2,172666;2,745619;-6,763108;0,9716331;2,30932;8,87553;7,222809;-1,071779;4,029921;-4,188235;4,771316;-5,700335;-0,5166781;4,580302
Index: 14 | Name: car 15 | Brain Type: TOP2 | Fitness: 0,7878181 | BrainData : -3,411368;-0,3248618;-2,50438;4,22409;-6,860704;-0,7948309;-2,39786;-0,9278488;0,9627662;1,008311;5,084185;-2,76715;3,139102;5,214293;-6,140232;0,9716331;2,30932;9,336914;6,201122;-1,071779;4,029921;-3,193269;4,771316;-5,628581;-0,533443;4,877691
Index: 15 | Name: car 32 | Brain Type: TOP2 | Fitness: 0,6892585 | BrainData : -3,411368;-0,3248618;-2,50438;4,22409;-6,860704;-2,400297;-2,430759;-0,9278488;0,9627662;1,008311;5,084185;-5,000449;3,405566;5,214293;-6,140232;0,9716331;1,010878;8,87553;6,201122;-1,071779;3,591387;-3,193269;4,771316;-4,841065;-0,5548706;4,877691
Index: 16 | Name: car 26 | Brain Type: TOP2 | Fitness: 0,6689822 | BrainData : -3,411368;-0,3248618;-2,50438;4,22409;-6,860704;1,100535;-2,39786;-0,9278488;0,9627662;3,394117;5,084185;-4,972491;1,733646;5,214293;-6,140232;0,9716331;2,836631;8,87553;6,201122;-1,071779;3,553369;-4,963017;4,771316;-7,329557;-0,5548706;4,877691
Index: 17 | Name: car 35 | Brain Type: TOP2 | Fitness: 0,5489275 | BrainData : -3,411368;-0,3248618;-2,50438;4,22409;-6,860704;-2,323786;-2,39786;0,4785633;0,9627662;1,008311;5,084185;-4,972491;2,53878;5,214293;-6,140232;1,730239;2,30932;8,87553;6,201122;1,256884;4,029921;-2,627689;4,771316;-5,628581;-0,5548706;4,551884
Index: 18 | Name: car 23 | Brain Type: TOP2 | Fitness: 0,5032517 | BrainData : -3,411368;-0,3248618;-1,535707;4,22409;-6,860704;-0,7948309;-2,39786;-0,4366543;0,9627662;1,008311;5,084185;-4,972491;1,733646;5,214293;-6,140232;0,9716331;2,30932;8,87553;3,767435;0,9013355;3,958534;-3,193269;3,92475;-5,628581;-0,5548706;4,877691
Index: 19 | Name: car 20 | Brain Type: TOP2 | Fitness: 0,4002721 | BrainData : -3,411368;-0,3248618;-2,50438;4,22409;-6,860704;-0,7948309;-4,645523;-2,488036;2,985758;1,008311;5,084185;-4,972491;1,733646;5,214293;-4,348293;0,9716331;2,30932;8,87553;6,201122;-1,071779;4,029921;-3,193269;2,726285;-5,628581;-0,5548706;4,877691
Index: 20 | Name: car 33 | Brain Type: TOP2 | Fitness: 0,3961695 | BrainData : -3,411368;-0,3248618;-2,50438;4,22409;-6,860704;-3,052361;-2,39786;-0,9278488;0,9627662;1,008311;5,084185;-4,972491;1,733646;5,214293;-7,473622;0,9716331;2,30932;8,87553;6,201122;-1,071779;5,367702;-3,193269;4,771316;-5,628581;-0,5548706;4,877691
Index: 21 | Name: car 36 | Brain Type: TOP2 | Fitness: 0,3957328 | BrainData : -3,411368;-0,3248618;-2,50438;4,22409;-8,609793;-0,7948309;-2,179172;-0,9278488;2,550934;1,008311;5,084185;-3,008157;1,733646;5,214293;-5,139108;0,9716331;2,30932;8,87553;6,201122;-1,071779;4,029921;-3,193269;2,446514;-5,628581;-0,5548706;4,877691
Index: 22 | Name: car 19 | Brain Type: TOP2 | Fitness: 0,3957028 | BrainData : -3,411368;0,2108078;-0,6117281;4,22409;-6,860704;-0,7948309;-1,553203;-0,9278488;0,9627662;1,008311;5,084185;-4,972491;0,8897549;5,214293;-6,140232;0,9716331;2,30932;8,87553;6,201122;-1,071779;4,029921;-3,193269;2,46356;-5,628581;-0,5548706;4,877691
