Generation: 82 | maxFitness: 1,889639 | maxFitnessGen: 1,666627 | maxFitnessGenBuf: 1,749254
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 0 | Name: car 7 | Brain Type: RandomParents | Fitness: 1,749254 | BrainData : -3,837018;5,282349;3,652836;3,272279;-9,734247;7,8061;-3,198414;-8,832426;2,457328;3,976835;2,847342;-8,523226;8,470661;1,507697;-2,980091;8,038589;4,460889;14,457;4,789629;0,8502634;4,029921;-2,125084;4,771316;-1,183412;-0,5548706;4,86351
Index: 1 | Name: car 17 | Brain Type: TOP2 | Fitness: 1,749254 | BrainData : -4,682064;3,962183;2,12899;5,638791;-9,734247;7,89683;-3,198414;-11,03312;5,879154;3,976835;3,602946;-7,281204;4,378078;1,507697;-2,980091;7,605934;6,150752;10,20519;7,579282;1,314379;4,029921;-0,05076838;4,771316;-1,183412;-0,5548706;4,86351
Index: 2 | Name: car 18 | Brain Type: TOP2 | Fitness: 1,749254 | BrainData : -4,682064;4,337584;2,12899;5,638791;-9,734247;7,89683;-3,198414;-11,03312;4,75124;3,976835;3,602946;-8,745595;4,210811;1,507697;-2,980091;7,605934;6,150752;10,20519;7,579282;1,314379;4,029921;-0,05076838;4,771316;-1,183412;-0,5548706;4,86351
Index: 3 | Name: car 20 | Brain Type: TOP2 | Fitness: 1,749254 | BrainData : -4,682064;3,962183;2,12899;5,638791;-9,734247;7,89683;-3,198414;-11,88759;7,558989;3,976835;3,602946;-8,745595;4,378078;1,507697;-2,980091;7,605934;6,150752;10,20519;7,579282;1,314379;4,029921;-0,05076838;4,771316;-1,183412;-0,5548706;4,86351
Index: 4 | Name: car 21 | Brain Type: TOP2 | Fitness: 1,749254 | BrainData : -4,682064;3,962183;2,12899;5,638791;-9,734247;5,787006;-3,198414;-11,03312;5,879154;3,976835;3,602946;-6,54177;4,378078;1,507697;-2,980091;7,605934;6,150752;10,20519;7,579282;1,314379;4,029921;-0,05076838;4,771316;-1,183412;-0,5548706;4,86351
Index: 5 | Name: car 24 | Brain Type: TOP2 | Fitness: 1,749254 | BrainData : -4,682064;3,962183;2,12899;5,638791;-9,734247;7,89683;-3,198414;-11,03312;5,879154;3,976835;5,492615;-8,745595;2,914252;1,507697;-2,980091;7,605934;7,016851;10,20519;7,579282;1,314379;4,029921;-0,05076838;4,771316;-1,183412;-0,5548706;4,86351
Index: 6 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,749254 | BrainData : -2,624094;3,962183;2,12899;5,638791;-10,28915;8,362785;-3,198414;-11,03312;5,879154;2,217057;3,602946;-8,745595;4,378078;1,507697;-2,980091;7,605934;6,150752;10,20519;7,579282;1,314379;4,029921;-0,05076838;4,771316;-0,1721429;-0,5548706;4,86351
Index: 7 | Name: car 32 | Brain Type: TOP2 | Fitness: 1,749254 | BrainData : -4,682064;1,464687;2,12899;5,638791;-9,734247;7,89683;-3,198414;-11,03312;5,879154;3,976835;3,602946;-8,745595;3,474372;1,507697;-3,886605;7,605934;6,150752;10,20519;7,579282;2,284065;4,029921;-0,05076838;4,771316;-1,183412;-0,5548706;4,86351
Index: 8 | Name: car 33 | Brain Type: TOP2 | Fitness: 1,749254 | BrainData : -4,682064;3,962183;2,12899;5,638791;-9,734247;7,89683;-3,198414;-11,03312;5,879154;3,976835;3,602946;-7,41923;4,378078;1,507697;-2,980091;7,605934;6,150752;10,20519;7,579282;1,314379;4,029921;-0,05076838;4,771316;-1,183412;-0,5548706;4,86351
Index: 9 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,749254 | BrainData : -4,682064;3,962183;2,063301;5,638791;-9,734247;7,89683;-2,086016;-11,03312;5,879154;3,976835;3,602946;-8,745595;4,378078;1,507697;-2,980091;7,605934;4,093215;10,20519;7,712495;1,314379;4,029921;-0,05076838;4,771316;-1,183412;-0,5548706;4,86351
Index: 10 | Name: car 37 | Brain Type: TOP2 | Fitness: 1,749254 | BrainData : -4,682064;3,962183;1,567469;5,638791;-9,734247;7,89683;-3,198414;-11,03312;5,879154;3,976835;3,602946;-9,665463;4,101731;1,507697;-2,980091;7,605934;6,150752;10,20519;7,579282;1,314379;4,029921;-0,05076838;4,771316;-2,004396;-0,5548706;4,86351
Index: 11 | Name: car 39 | Brain Type: TOP2 | Fitness: 1,749254 | BrainData : -2,75706;5,027181;2,12899;5,638791;-9,734247;7,89683;-4,574468;-11,03312;5,879154;3,976835;3,602946;-8,745595;4,378078;1,507697;-2,980091;7,605934;6,150752;9,790668;7,579282;1,314379;4,029921;-0,05076838;4,771316;-1,183412;-0,5548706;4,86351
Index: 12 | Name: car 22 | Brain Type: TOP2 | Fitness: 0,7899289 | BrainData : -4,679943;3,962183;2,12899;5,638791;-9,734247;7,89683;-1,605302;-8,883708;5,879154;3,976835;3,602946;-8,745595;4,378078;1,507697;-2,980091;7,605934;6,150752;10,20519;5,88389;1,314379;4,970727;-1,532224;4,085134;-1,183412;-0,5548706;4,86351
Index: 13 | Name: car 5 | Brain Type: RandomParents | Fitness: 0,6331702 | BrainData : -3,837018;5,154343;3,652836;3,272279;-9,835489;7,89683;-3,198414;-11,03312;4,045301;4,716907;5,302093;-8,745595;8,470661;1,507697;-2,980091;8,038589;4,525295;12,59191;4,789629;0,887861;4,029921;0,4326291;4,771316;-1,183412;-0,5548706;4,86351
