Generation: 24 | maxFitness: 1,852206 | maxFitnessGen: 1,729359 | maxFitnessGenBuf: 1,743937
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 14 | Name: car 37 | Brain Type: TOP2 | Fitness: 0,4074732 | BrainData : -0,3799779;1,838472;-2,50438;6,934078;-6,860704;-3,865931;-3,770787;-0,04772949;1,036993;1,101654;6,930293;-4,112939;0,911275;5,214293;-3,353376;1,64629;2,817712;10,38366;9,981907;-0,472451;4,029921;-3,686342;2,47917;-4,206326;-0,5548706;4,877691
Index: 15 | Name: car 20 | Brain Type: TOP2 | Fitness: 0,3616146 | BrainData : -0,3799779;1,838472;-2,50438;6,934078;-6,860704;-2,559028;-3,770787;-1,574059;1,036993;1,101654;5,53516;-4,112939;0,911275;5,214293;-3,353376;1,64629;2,817712;11,62591;8,019267;-0,472451;4,029921;-4,138168;4,771316;-4,206326;-0,5548706;4,034818
Index: 16 | Name: car 31 | Brain Type: TOP2 | Fitness: 0,3552547 | BrainData : -0,3799779;1,838472;-3,322757;6,934078;-6,860704;-2,559028;-3,770787;-1,574059;2,192992;1,101654;6,930293;-4,112939;0,911275;5,214293;-3,353376;1,64629;3,86233;10,38366;9,928293;-0,472451;5,174612;-4,138168;4,771316;-6,073852;-0,5548706;7,272181
Index: 17 | Name: car 10 | Brain Type: TotallyRandom | Fitness: 0,353673 | BrainData : 4,188877;2,403489;0,8708115;-2,272094;-1,593308;2,307242;-1,606467;-2,663965;2,038854;3,041268;3,408829;4,174677;-0,5073543;-2,790584;-0,3592353;-1,908658;2,615958;3,541058;0,1900859;-1,375737;-1,58482;-4,569324;-2,131269;-2,874813;0,6184669;2,632357
Index: 18 | Name: car 22 | Brain Type: TOP2 | Fitness: 0,3494233 | BrainData : -0,3799779;1,838472;-2,50438;6,934078;-6,860704;-2,559028;-3,807003;0,03907871;1,631024;1,101654;6,930293;-4,112939;0,911275;5,214293;-3,353376;1,64629;2,817712;10,38366;9,981907;-0,472451;5,01918;-4,876382;4,407609;-4,206326;-0,1633644;5,463143
Index: 19 | Name: car 24 | Brain Type: TOP2 | Fitness: 0,3260388 | BrainData : -0,3799779;1,838472;-2,50438;6,934078;-9,052574;-2,559028;-3,770787;-1,574059;-1,036442;1,101654;6,930293;-4,112939;0,911275;5,214293;-3,353376;1,64629;2,817712;10,38366;9,981907;-0,472451;4,029921;-4,138168;4,771316;-4,206326;0,1294431;4,877691
Index: 20 | Name: car 40 | Brain Type: RandomParents | Fitness: 0,3249117 | BrainData : -0,8248491;2,506356;-0,2217431;4,975159;2,849239;-2,085462;1,143445;3,779511;1,768343;2,574446;-2,331648;-3,725892;0,9634404;-4,350533;1,079829;-3,972982;-3,667718;-1,517837;0,3054805;0,2954583;-2,639088;-0,4109306;3,026628;-3,468451;3,419607;-2,530728
Index: 21 | Name: car 21 | Brain Type: TOP2 | Fitness: 0,3231042 | BrainData : -1,051143;1,838472;-2,50438;6,934078;-7,85545;-2,559028;-3,770787;-1,574059;1,036993;1,101654;6,930293;-2,246871;0,911275;5,214293;-3,353376;1,64629;2,817712;10,38366;9,981907;-0,472451;4,029921;-3,81246;7,018775;-4,206326;-0,5548706;4,877691
Index: 22 | Name: car 28 | Brain Type: TOP2 | Fitness: 0,3196224 | BrainData : -1,400685;3,271647;-2,50438;6,934078;-6,860704;-2,559028;-3,770787;-1,574059;1,036993;1,101654;6,930293;-4,112939;-0,03711331;4,728708;-3,353376;-0,2224576;2,817712;11,07925;12,16521;1,267052;4,029921;-4,138168;4,771316;-4,206326;-0,8490837;5,95728
Index: 23 | Name: car 4 | Brain Type: RandomParents | Fitness: 0,3177581 | BrainData : -1,136192;-0,3248618;-2,50438;4,22409;-5,510686;-0,2698597;0,6824296;1,077421;1,036993;6,440907;6,455696;-4,112939;-1,039654;4,033742;-2,042642;0,9716331;3,531022;8,87553;3,977634;-1,071779;4,029921;-1,70169;7,252155;-5,628581;-0,5548706;4,877691
Index: 24 | Name: car 39 | Brain Type: TOP2 | Fitness: 0,3150073 | BrainData : -0,3799779;1,838472;-2,50438;6,934078;-6,860704;-2,559028;-3,770787;-2,556728;1,036993;1,101654;6,10609;-4,112939;0,911275;5,214293;-3,353376;1,64629;2,817712;10,38366;9,981907;-0,472451;4,029921;-4,138168;4,771316;-4,206326;-0,5548706;3,232329
Index: 25 | Name: car 33 | Brain Type: TOP2 | Fitness: 0,3033686 | BrainData : -0,3799779;1,838472;-3,537391;6,934078;-6,860704;-2,559028;-3,770787;-1,807325;1,036993;-0,5383391;6,930293;-4,112939;0,911275;5,214293;-3,353376;1,64629;3,991338;10,38366;9,981907;-0,472451;4,029921;-5,469617;4,771316;-4,206326;0,5185083;5,21422
