Generation: 41 | maxFitness: 1,852206 | maxFitnessGen: 1,767043 | maxFitnessGenBuf: 1,797075
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 14 | Name: car 28 | Brain Type: TOP2 | Fitness: 1,033122 | BrainData : -0,5254248;5,526881;-0,6700667;6,86887;-6,566753;0,05763578;-2,874638;-3,657343;-0,2631617;1,447672;6,206933;-5,296229;3,389124;2,781243;-7,796338;2,148709;-0,2672247;11,5229;11,03769;4,760056;4,029921;-0,6093826;4,525319;-2,65536;-0,5548706;4,877691
Index: 15 | Name: car 5 | Brain Type: RandomParents | Fitness: 0,5208682 | BrainData : -1,022949;5,526881;0,6213746;8,120182;-7,144749;0,7354708;-3,346287;-3,301614;-2,595942;1,447672;6,206933;-5,296229;0,9698334;2,781243;-4,494144;2,148709;1,20513;13,87214;11,03769;4,760056;2,966769;-3,00007;4,771316;-0,880432;-0,5548706;4,877691
Index: 16 | Name: car 9 | Brain Type: RandomParents | Fitness: 0,5128856 | BrainData : -0,9434141;6,867632;-0,6700667;6,86887;-7,144749;0,7354708;-2,874638;-3,657343;-2,595942;1,447672;7,275033;-4,513903;0,9698334;2,781243;-4,494144;2,624724;1,705384;11,8976;11,03769;4,760056;4,029921;-3,00007;4,771316;-0,880432;-0,5548706;5,550522
Index: 17 | Name: car 24 | Brain Type: TOP2 | Fitness: 0,4831815 | BrainData : -0,5254248;5,526881;-0,6700667;6,86887;-6,566753;1,578216;-4,542061;-3,657343;-0,2631617;1,447672;6,206933;-5,296229;3,389124;0,3856037;-5,559335;2,148709;-0,2672247;11,98814;11,03769;6,952883;4,969762;-5,015141;4,771316;-3,547695;-0,5548706;4,877691
Index: 18 | Name: car 35 | Brain Type: TOP2 | Fitness: 0,4550709 | BrainData : -0,5254248;5,526881;-0,6700667;6,86887;-6,566753;1,578216;-2,874638;-3,657343;-0,2631617;1,447672;6,206933;-5,296229;1,516115;2,781243;-5,592207;0,3613459;-0,2672247;11,98814;11,03769;4,760056;2,267814;-3,00007;4,771316;-2,65536;-0,5548706;4,877691
Index: 19 | Name: car 7 | Brain Type: RandomParents | Fitness: 0,3952107 | BrainData : 0,3251218;5,526881;-2,121564;6,86887;-7,144749;-0,03461909;-2,874638;-3,657343;-2,595942;1,447672;6,206933;-5,296229;0,9698334;2,781243;-4,494144;2,148709;-0,2672247;13,33914;11,03769;4,760056;4,823284;-3,00007;6,808806;-0,880432;-0,5548706;8,400757
Index: 20 | Name: car 15 | Brain Type: TOP2 | Fitness: 0,3933417 | BrainData : -0,5254248;5,526881;-0,6700667;6,86887;-6,566753;1,578216;-2,874638;-3,657343;-0,2631617;1,447672;5,321442;-5,296229;3,389124;2,781243;-5,428742;2,148709;-0,2672247;11,98814;11,03769;4,760056;4,029921;-3,00007;6,449417;-4,074941;-0,5548706;4,877691
Index: 21 | Name: car 10 | Brain Type: TotallyRandom | Fitness: 0,3914699 | BrainData : -4,531044;1,121392;-3,329106;-4,075445;-2,209389;0,576808;1,105292;3,224148;-3,467885;1,723544;-4,58049;1,975664;2,559706;0,2043896;0,5900688;4,031573;4,986538;-1,70829;3,514665;0,7882528;-1,350706;-3,714767;0,02643538;3,209083;0,3788762;-2,184286
Index: 22 | Name: car 29 | Brain Type: TOP2 | Fitness: 0,37095 | BrainData : -0,5254248;6,217742;-0,817098;6,86887;-6,566753;3,375793;-2,874638;-3,657343;-2,296484;1,447672;6,206933;-5,296229;3,389124;2,781243;-5,559335;0,6180152;2,038288;11,98814;11,03769;4,760056;3,879929;-3,00007;6,885717;-2,65536;-0,5548706;4,877691
Index: 23 | Name: car 14 | Brain Type: TotallyRandom | Fitness: 0,37021 | BrainData : -3,753642;3,328253;0,4889412;3,296892;4,600953;-3,380263;1,827128;-4,615728;-0,1657696;-3,872877;-4,139262;3,22155;-0,940557;0,4543071;3,656722;-3,65435;3,661543;-3,218737;0,7719893;2,569282;2,63234;1,559888;-3,214808;-1,363667;0,5043406;0,288475
Index: 24 | Name: car 8 | Brain Type: RandomParents | Fitness: 0,3693721 | BrainData : 1,642623;5,526881;-2,74498;6,86887;-8,843401;-1,175053;-2,874638;-3,657343;-0,2631617;-0,01198375;6,206933;-7,285719;0,9698334;2,781243;-6,275875;5,045607;-0,2672247;11,98814;10,68965;4,760056;4,029921;-3,00007;4,771316;-3,702371;0,1890125;1,434517
Index: 25 | Name: car 3 | Brain Type: RandomParents | Fitness: 0,3634682 | BrainData : 1,642623;5,526881;-2,74498;6,86887;-6,518934;1,548225;-2,874638;-3,657343;-0,2631617;-0,01198375;6,206933;-5,296229;1,682943;2,781243;-6,275875;5,045607;-0,2672247;11,98814;12,2895;4,760056;4,029921;-4,894301;4,030372;-3,702371;0,1890125;3,84346
Index: 26 | Name: car 38 | Brain Type: TOP2 | Fitness: 0,3572501 | BrainData : -0,5254248;5,526881;-0,6700667;6,86887;-4,267063;1,578216;-2,874638;-3,657343;-0,2631617;1,447672;6,206933;-5,296229;3,389124;2,781243;-5,559335;2,148709;-0,2672247;11,98814;10,99399;4,760056;4,029921;-3,00007;7,138646;-2,65536;-0,5548706;4,877691
Index: 27 | Name: car 34 | Brain Type: TOP2 | Fitness: 0,3507694 | BrainData : -0,5254248;5,526881;-0,6700667;6,86887;-6,566753;1,578216;-2,874638;-3,657343;-0,2631617;1,447672;6,206933;-5,296229;3,389124;2,781243;-5,091492;2,148709;-0,2672247;11,98814;12,68415;4,760056;5,418513;-3,00007;4,771316;-2,65536;-0,5548706;4,208969
