Generation: 8 | maxFitness: 1,852206 | maxFitnessGen: 1,665313 | maxFitnessGenBuf: 1,759348
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 13 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,759348 | BrainData : -3,441677;-1,707351;-0,2198238;4,131188;-1,075495;0,4611666;-0,0499239;-3,777153;2,106288;3,453057;2,193221;-0,2215722;-2,297986;1,139259;-3,172409;1,24567;0,2363844;6,153862;4,290979;0,1609888;4,066053;-3,167006;4,728599;-4,099075;-0,5548706;4,877691
Index: 14 | Name: car 40 | Brain Type: RandomParents | Fitness: 0,574585 | BrainData : -0,2008991;4,595155;2,857422;0,2850943;3,989289;0,4235129;3,879375;-2,413092;-1,256842;-2,605428;-1,109302;-3,634693;1,92742;-2,180957;0,3009849;-0,674438;-4,580951;-1,74042;-0,8482604;0,5211883;-2,560185;-1,792021;-2,949986;2,836958;1,610322;-4,219972
Index: 15 | Name: car 33 | Brain Type: TOP2 | Fitness: 0,5347194 | BrainData : -2,744206;-4,352896;-0,2198238;4,131188;-1,075495;0,4611666;-0,0499239;-3,777153;-0,2063126;2,095027;1,136382;-2,233249;-0,781278;1,139259;-3,172409;1,24567;0,2363844;6,548037;4,290979;0,1609888;3,25589;-3,167006;4,728599;-4,099075;-0,5548706;4,877691
Index: 16 | Name: car 17 | Brain Type: TOP2 | Fitness: 0,480356 | BrainData : -2,744206;-1,908566;-0,2198238;4,131188;-1,075495;0,8275132;-0,0499239;-3,777153;-0,2063126;3,453057;2,193221;-2,233249;-0,781278;0,8764511;-3,172409;1,24567;0,2363844;6,548037;4,290979;0,1609888;4,066053;-3,167006;3,957593;-4,099075;-0,5548706;4,02208
Index: 17 | Name: car 18 | Brain Type: TOP2 | Fitness: 0,4464621 | BrainData : -2,744206;-1,908566;1,833259;4,131188;-3,559246;0,1228699;-0,0499239;-3,777153;-0,2063126;3,453057;0,8522377;-2,233249;-0,781278;2,154761;-4,848115;1,24567;0,2363844;6,548037;4,290979;0,1609888;2,678157;-1,287081;7,040887;-4,099075;-0,5548706;4,877691
Index: 18 | Name: car 10 | Brain Type: TotallyRandom | Fitness: 0,4429119 | BrainData : 1,005846;-0,01691151;-4,493176;4,411708;1,337981;0,09394932;2,243373;4,379419;-1,398442;-3,933642;-1,240718;4,910603;-3,773576;-0,527751;-4,319517;3,937253;-4,548479;3,018541;-0,3999896;-1,101642;-3,072644;0,9559293;2,40271;-4,518924;-1,540689;4,643735
Index: 19 | Name: car 39 | Brain Type: TOP2 | Fitness: 0,4070884 | BrainData : -2,744206;-1,908566;-0,2198238;4,131188;-1,075495;0,4611666;-0,0499239;-3,777153;-0,2063126;3,453057;2,193221;-2,233249;-0,781278;1,139259;-3,172409;1,24567;0,4601309;6,548037;4,290979;0,1609888;2,289936;-3,167006;4,728599;-4,099075;-0,5548706;4,877691
Index: 20 | Name: car 25 | Brain Type: TOP2 | Fitness: 0,4022342 | BrainData : -3,471958;-1,908566;-0,2198238;4,131188;0,1880119;0,4611666;-0,0499239;-3,777153;-0,2063126;3,453057;3,694221;-2,233249;-0,781278;1,139259;-3,172409;2,670033;0,2363844;6,548037;4,290979;0,1609888;4,066053;-3,167006;2,819698;-4,099075;-0,5548706;4,877691
Index: 21 | Name: car 7 | Brain Type: RandomParents | Fitness: 0,3718702 | BrainData : -4,037897;-2,54796;-3,872463;0,8625574;0,904963;-3,418493;-1,146142;3,209153;4,0397;3,995656;-1,392135;-2,360459;2,249964;-2,13984;1,365893;1,616715;1,992907;-3,086599;-1,963995;0,9015913;0,6683869;-4,563476;-0,40834;-2,108558;-4,246545;1,973841
Index: 22 | Name: car 15 | Brain Type: TOP2 | Fitness: 0,3701529 | BrainData : -2,744206;-1,908566;-0,4408054;4,131188;-1,075495;0,4611666;0,6003401;-3,777153;-0,2063126;3,453057;2,193221;-4,611119;-0,781278;1,139259;-3,172409;1,24567;0,2363844;6,548037;4,290979;1,792758;4,066053;-3,167006;4,728599;-4,099075;-0,5548706;6,333653
