Generation: 35 | maxFitness: 1,852206 | maxFitnessGen: 1,786521 | maxFitnessGenBuf: 1,759916
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 13 | Name: car 38 | Brain Type: TOP2 | Fitness: 0,8472522 | BrainData : 1,087463;3,41852;-0,6700667;6,86887;-6,887154;-2,559028;-5,116361;-2,275458;-0,7877495;-0,5831614;5,680568;-5,296229;-1,188043;5,214293;-3,496358;-0,2370971;0,5816816;10,63745;11,03769;2,593269;4,272368;-3,624593;4,771316;-4,409809;-0,5548706;4,877691
Index: 14 | Name: car 22 | Brain Type: TOP2 | Fitness: 0,744575 | BrainData : 1,087463;3,41852;-0,6700667;6,86887;-6,887154;-2,559028;-3,109872;-2,275458;-0,2631617;1,785087;8,430422;-6,283117;0,9698334;5,214293;-3,496358;0,2919452;0,5816816;10,63745;11,03769;2,593269;3,63818;-3,624593;4,771316;-4,409809;-0,5548706;4,877691
Index: 15 | Name: car 28 | Brain Type: TOP2 | Fitness: 0,4945117 | BrainData : 1,087463;3,586564;-0,6700667;6,86887;-6,887154;-2,559028;-3,109872;-2,275458;-0,2631617;-0,5831614;6,789222;-5,296229;0,9698334;5,214293;-3,496358;-0,2370971;0,5816816;10,63745;10,92206;2,593269;4,029921;-3,624593;5,53412;-4,409809;-0,5548706;4,877691
Index: 16 | Name: car 21 | Brain Type: TOP2 | Fitness: 0,4818559 | BrainData : -0,6497321;3,41852;-0,6700667;6,86887;-6,855727;-2,559028;-3,109872;-4,113389;-0,2631617;-2,962668;6,676407;-5,296229;0,9698334;5,214293;-3,496358;-0,2370971;0,5816816;8,734138;11,03769;2,593269;2,828928;-3,624593;4,771316;-4,409809;-0,5548706;4,877691
Index: 17 | Name: car 16 | Brain Type: TOP2 | Fitness: 0,481794 | BrainData : 1,087463;3,41852;-0,6700667;6,86887;-6,887154;-2,559028;-4,259932;-2,275458;-0,2631617;-0,5831614;6,676407;-7,412532;0,9698334;5,214293;-3,496358;-0,2370971;0,5816816;10,63745;11,03769;2,142887;2,819167;-3,624593;4,771316;-1,996031;-0,5548706;4,877691
Index: 18 | Name: car 32 | Brain Type: TOP2 | Fitness: 0,4817638 | BrainData : 3,369942;3,41852;-0,6700667;9,168785;-6,887154;-2,559028;-4,004836;-2,275458;1,404458;-1,862958;6,676407;-5,296229;0,9698334;6,911098;-3,496358;-0,2370971;-1,63475;10,63745;11,03769;2,593269;4,900114;-3,624593;4,771316;-4,409809;-0,5548706;6,035377
Index: 19 | Name: car 34 | Brain Type: TOP2 | Fitness: 0,4718424 | BrainData : 1,087463;3,41852;-0,6700667;6,86887;-6,887154;-2,559028;-3,109872;-2,275458;0,2094052;-0,5831614;6,676407;-5,296229;0,9698334;5,214293;-3,496358;-0,2370971;-0,7118298;10,83497;11,03769;2,593269;4,864766;-3,624593;4,771316;-4,409809;-0,5548706;4,877691
Index: 20 | Name: car 37 | Brain Type: TOP2 | Fitness: 0,4560487 | BrainData : 0,3748118;3,41852;-0,6700667;7,652817;-6,887154;-2,559028;-3,109872;-2,275458;-0,2631617;-1,567913;6,676407;-5,561752;0,9698334;5,214293;-3,496358;-1,307502;1,363155;11,74732;11,03769;2,593269;4,029921;-2,051376;5,722292;-4,409809;-0,5548706;4,877691
Index: 21 | Name: car 4 | Brain Type: RandomParents | Fitness: 0,4298603 | BrainData : 1,087463;5,91075;-0,4323958;6,86887;-6,358432;-2,559028;-2,456691;-0,6560744;2,075962;-1,063523;5,220963;-4,072811;5,181988;5,214293;-3,496358;1,243562;-0,238891;8,891141;16,20703;0,5886199;5,037951;-2,266221;4,771316;-4,409809;-0,5548706;4,877691
Index: 22 | Name: car 8 | Brain Type: RandomParents | Fitness: 0,4241582 | BrainData : 1,087463;4,319395;3,877717;7,841093;-5,314901;-2,559028;-3,109872;-0,6560744;2,562212;-2,453494;6,930293;-3,446867;3,042623;5,214293;-3,496358;-0,2370971;0,5816816;9,770529;12,5473;0,5886199;4,029921;-3,624593;3,024762;-4,409809;-0,5548706;4,877691
Index: 23 | Name: car 29 | Brain Type: TOP2 | Fitness: 0,3960831 | BrainData : 1,087463;5,659081;-0,09724486;8,284222;-6,887154;-2,559028;-3,410851;-2,275458;-0,2631617;-0,5831614;6,676407;-3,208436;0,7076197;4,212882;-3,496358;-0,2370971;0,5816816;10,63745;11,03769;2,593269;1,856571;-3,624593;4,771316;-4,409809;-0,5548706;4,877691
Index: 24 | Name: car 1 | Brain Type: RandomParents | Fitness: 0,3951967 | BrainData : 0,7026906;-2,593083;-3,957253;-2,559653;-1,197869;1,682095;0,8093855;-0,4954581;2,789695;3,855594;-4,588631;0,04395199;-4,899542;-1,750896;4,773299;-0,8601995;4,50207;1,923817;0,4432373;-2,27292;0,3655414;1,677077;-3,143382;2,262802;1,442797;-4,909307
Index: 25 | Name: car 26 | Brain Type: TOP2 | Fitness: 0,3910448 | BrainData : 1,087463;3,41852;-0,6700667;6,86887;-6,887154;-2,559028;-3,109872;-2,275458;-0,2631617;-0,5831614;6,676407;-5,296229;0,9698334;4,580313;-3,496358;-0,2370971;0,5816816;10,63745;11,03769;2,593269;4,029921;-3,624593;4,771316;-4,409809;-0,5548706;6,601058
